metric,auc,dataset,fold_id
cosine,0.5466000000000001,amazon,0
euclidean,0.5527333333333333,amazon,0
manhattan,0.5527666666666667,amazon,0
cosine,0.5565666666666668,amazon,1
euclidean,0.5396333333333333,amazon,1
manhattan,0.5417666666666666,amazon,1
cosine,0.5462333333333333,amazon,2
euclidean,0.5432666666666667,amazon,2
manhattan,0.5434333333333333,amazon,2
cosine,0.5595,amazon,3
euclidean,0.5379666666666667,amazon,3
manhattan,0.5358999999999999,amazon,3
cosine,0.5424333333333333,amazon,4
euclidean,0.5367000000000001,amazon,4
manhattan,0.5352333333333333,amazon,4
cosine,0.5525333333333333,amazon,5
euclidean,0.5391,amazon,5
manhattan,0.5349666666666667,amazon,5
cosine,0.5752666666666667,amazon,6
euclidean,0.5369999999999999,amazon,6
manhattan,0.5350666666666667,amazon,6
cosine,0.5402,amazon,7
euclidean,0.5289,amazon,7
manhattan,0.5283,amazon,7
cosine,0.5423,amazon,8
euclidean,0.5526666666666666,amazon,8
manhattan,0.5519666666666666,amazon,8
cosine,0.5537666666666667,amazon,9
euclidean,0.5473333333333333,amazon,9
manhattan,0.5451,amazon,9
cosine,0.5605333333333333,imdb,0
euclidean,0.5339,imdb,0
manhattan,0.5337333333333333,imdb,0
cosine,0.5445,imdb,1
euclidean,0.5222666666666667,imdb,1
manhattan,0.5226666666666667,imdb,1
cosine,0.5504,imdb,2
euclidean,0.5071,imdb,2
manhattan,0.5065666666666666,imdb,2
cosine,0.5450333333333334,imdb,3
euclidean,0.5152,imdb,3
manhattan,0.515,imdb,3
cosine,0.5463,imdb,4
euclidean,0.5311333333333333,imdb,4
manhattan,0.5287666666666667,imdb,4
cosine,0.5458666666666666,imdb,5
euclidean,0.5027,imdb,5
manhattan,0.5048,imdb,5
cosine,0.5637333333333333,imdb,6
euclidean,0.5311666666666667,imdb,6
manhattan,0.5294333333333333,imdb,6
cosine,0.5653666666666667,imdb,7
euclidean,0.5337000000000001,imdb,7
manhattan,0.5325,imdb,7
cosine,0.5395666666666666,imdb,8
euclidean,0.5041,imdb,8
manhattan,0.5049666666666667,imdb,8
cosine,0.5445333333333333,imdb,9
euclidean,0.5582666666666667,imdb,9
manhattan,0.5563333333333332,imdb,9
cosine,0.5106333333333333,yelp,0
euclidean,0.5748666666666666,yelp,0
manhattan,0.5761999999999999,yelp,0
cosine,0.5325666666666666,yelp,1
euclidean,0.5836333333333333,yelp,1
manhattan,0.5846666666666667,yelp,1
cosine,0.5085333333333333,yelp,2
euclidean,0.5854333333333334,yelp,2
manhattan,0.5846333333333332,yelp,2
cosine,0.5075333333333334,yelp,3
euclidean,0.5795333333333333,yelp,3
manhattan,0.5801333333333333,yelp,3
cosine,0.5099666666666667,yelp,4
euclidean,0.5709000000000001,yelp,4
manhattan,0.5730333333333334,yelp,4
cosine,0.5022666666666668,yelp,5
euclidean,0.5618,yelp,5
manhattan,0.5620333333333334,yelp,5
cosine,0.5029666666666667,yelp,6
euclidean,0.5783333333333333,yelp,6
manhattan,0.5772666666666666,yelp,6
cosine,0.5225,yelp,7
euclidean,0.5998666666666667,yelp,7
manhattan,0.6015333333333333,yelp,7
cosine,0.5268666666666667,yelp,8
euclidean,0.5938333333333333,yelp,8
manhattan,0.5966666666666667,yelp,8
cosine,0.4737,yelp,9
euclidean,0.5663,yelp,9
manhattan,0.5630333333333334,yelp,9
