clf,dataset_name,dataset_type,auc
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,36_speech,numerical,0.4105
IForest,36_speech,numerical,0.5297
IForest,36_speech,numerical,0.3789
IForest,6_cardio,numerical,0.9495
IForest,6_cardio,numerical,0.9259
IForest,6_cardio,numerical,0.903
IForest,26_optdigits,numerical,0.6491
IForest,26_optdigits,numerical,0.6776
IForest,26_optdigits,numerical,0.7325
IForest,ad_nominal,categorical,0.703
IForest,ad_nominal,categorical,0.6838
IForest,ad_nominal,categorical,0.7449
IForest,TwoLeadECG,timeseries,0.8743
IForest,TwoLeadECG,timeseries,0.873
IForest,TwoLeadECG,timeseries,0.8337
RISF,21_Lymphography,numerical,1.0
RISF,21_Lymphography,numerical,0.9767
RISF,21_Lymphography,numerical,0.9884
RISF,36_speech,numerical,0.46
RISF,36_speech,numerical,0.4612
RISF,36_speech,numerical,0.4433
RISF,6_cardio,numerical,0.9552
RISF,6_cardio,numerical,0.9551
RISF,6_cardio,numerical,0.9301
RISF,26_optdigits,numerical,0.5059
RISF,26_optdigits,numerical,0.2871
RISF,26_optdigits,numerical,0.5075
RISF,ad_nominal,categorical,0.6032
RISF,ad_nominal,categorical,0.6366
RISF,ad_nominal,categorical,0.5951
RISF,TwoLeadECG,timeseries,0.854
RISF,TwoLeadECG,timeseries,0.866
RISF,TwoLeadECG,timeseries,0.7619
ISF,21_Lymphography,numerical,0.6512
ISF,21_Lymphography,numerical,0.8895
ISF,21_Lymphography,numerical,0.9535
ISF,36_speech,numerical,0.4241
ISF,36_speech,numerical,0.5046
ISF,36_speech,numerical,0.4079
ISF,6_cardio,numerical,0.9535
ISF,6_cardio,numerical,0.954
ISF,6_cardio,numerical,0.9165
ISF,26_optdigits,numerical,0.2681
ISF,26_optdigits,numerical,0.5225
ISF,26_optdigits,numerical,0.527
ISF,ad_nominal,categorical,0.6002
ISF,ad_nominal,categorical,0.6995
ISF,ad_nominal,categorical,0.6291
ISF,TwoLeadECG,timeseries,0.8489
ISF,TwoLeadECG,timeseries,0.8438
ISF,TwoLeadECG,timeseries,0.6654
