clf,dataset_name,dataset_type,auc,max_samples
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,64
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,128
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,256
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,21_Lymphography,numerical,1.0,512
IForest,36_speech,numerical,0.3803,64
IForest,36_speech,numerical,0.4804,64
IForest,36_speech,numerical,0.4826,64
IForest,36_speech,numerical,0.4432,128
IForest,36_speech,numerical,0.5227,128
IForest,36_speech,numerical,0.4168,128
IForest,36_speech,numerical,0.4105,256
IForest,36_speech,numerical,0.5297,256
IForest,36_speech,numerical,0.3789,256
IForest,36_speech,numerical,0.4764,512
IForest,36_speech,numerical,0.5383,512
IForest,36_speech,numerical,0.3635,512
IForest,6_cardio,numerical,0.9418,64
IForest,6_cardio,numerical,0.9233,64
IForest,6_cardio,numerical,0.9232,64
IForest,6_cardio,numerical,0.9407,128
IForest,6_cardio,numerical,0.9093,128
IForest,6_cardio,numerical,0.9147,128
IForest,6_cardio,numerical,0.9495,256
IForest,6_cardio,numerical,0.9259,256
IForest,6_cardio,numerical,0.903,256
IForest,6_cardio,numerical,0.9261,512
IForest,6_cardio,numerical,0.9018,512
IForest,6_cardio,numerical,0.9219,512
IForest,26_optdigits,numerical,0.687,64
IForest,26_optdigits,numerical,0.6729,64
IForest,26_optdigits,numerical,0.7189,64
IForest,26_optdigits,numerical,0.5961,128
IForest,26_optdigits,numerical,0.7263,128
IForest,26_optdigits,numerical,0.6975,128
IForest,26_optdigits,numerical,0.6491,256
IForest,26_optdigits,numerical,0.6776,256
IForest,26_optdigits,numerical,0.7325,256
IForest,26_optdigits,numerical,0.743,512
IForest,26_optdigits,numerical,0.6453,512
IForest,26_optdigits,numerical,0.7,512
IForest,ad_nominal,categorical,0.7082,64
IForest,ad_nominal,categorical,0.6918,64
IForest,ad_nominal,categorical,0.7468,64
IForest,ad_nominal,categorical,0.7093,128
IForest,ad_nominal,categorical,0.699,128
IForest,ad_nominal,categorical,0.7738,128
IForest,ad_nominal,categorical,0.703,256
IForest,ad_nominal,categorical,0.6838,256
IForest,ad_nominal,categorical,0.7449,256
IForest,ad_nominal,categorical,0.6611,512
IForest,ad_nominal,categorical,0.6597,512
IForest,ad_nominal,categorical,0.7166,512
IForest,TwoLeadECG,timeseries,0.8489,64
IForest,TwoLeadECG,timeseries,0.8521,64
IForest,TwoLeadECG,timeseries,0.7175,64
IForest,TwoLeadECG,timeseries,0.8762,128
IForest,TwoLeadECG,timeseries,0.8794,128
IForest,TwoLeadECG,timeseries,0.7537,128
IForest,TwoLeadECG,timeseries,0.8743,256
IForest,TwoLeadECG,timeseries,0.873,256
IForest,TwoLeadECG,timeseries,0.8337,256
IForest,TwoLeadECG,timeseries,0.8952,512
IForest,TwoLeadECG,timeseries,0.9187,512
IForest,TwoLeadECG,timeseries,0.8216,512
RISF,21_Lymphography,numerical,1.0,64
RISF,21_Lymphography,numerical,0.9651,64
RISF,21_Lymphography,numerical,0.9535,64
RISF,21_Lymphography,numerical,1.0,128
RISF,21_Lymphography,numerical,0.9767,128
RISF,21_Lymphography,numerical,0.9884,128
RISF,21_Lymphography,numerical,1.0,256
RISF,21_Lymphography,numerical,0.9767,256
RISF,21_Lymphography,numerical,0.9884,256
RISF,21_Lymphography,numerical,1.0,512
RISF,21_Lymphography,numerical,0.9767,512
RISF,21_Lymphography,numerical,0.9884,512
RISF,36_speech,numerical,0.4493,64
RISF,36_speech,numerical,0.5231,64
RISF,36_speech,numerical,0.4198,64
RISF,36_speech,numerical,0.4906,128
RISF,36_speech,numerical,0.4935,128
RISF,36_speech,numerical,0.4972,128
RISF,36_speech,numerical,0.46,256
RISF,36_speech,numerical,0.4612,256
RISF,36_speech,numerical,0.4433,256
RISF,36_speech,numerical,0.4096,512
RISF,36_speech,numerical,0.5353,512
RISF,36_speech,numerical,0.3584,512
RISF,6_cardio,numerical,0.9671,64
RISF,6_cardio,numerical,0.9365,64
RISF,6_cardio,numerical,0.934,64
RISF,6_cardio,numerical,0.9512,128
RISF,6_cardio,numerical,0.9489,128
RISF,6_cardio,numerical,0.9205,128
RISF,6_cardio,numerical,0.9552,256
RISF,6_cardio,numerical,0.9551,256
RISF,6_cardio,numerical,0.9301,256
RISF,6_cardio,numerical,0.951,512
RISF,6_cardio,numerical,0.9324,512
RISF,6_cardio,numerical,0.93,512
RISF,26_optdigits,numerical,0.4304,64
RISF,26_optdigits,numerical,0.5352,64
RISF,26_optdigits,numerical,0.5569,64
RISF,26_optdigits,numerical,0.5298,128
RISF,26_optdigits,numerical,0.5024,128
RISF,26_optdigits,numerical,0.6772,128
RISF,26_optdigits,numerical,0.5059,256
RISF,26_optdigits,numerical,0.2871,256
RISF,26_optdigits,numerical,0.5075,256
RISF,26_optdigits,numerical,0.5102,512
RISF,26_optdigits,numerical,0.5842,512
RISF,26_optdigits,numerical,0.5613,512
RISF,ad_nominal,categorical,0.6093,64
RISF,ad_nominal,categorical,0.6168,64
RISF,ad_nominal,categorical,0.5712,64
RISF,ad_nominal,categorical,0.6087,128
RISF,ad_nominal,categorical,0.6222,128
RISF,ad_nominal,categorical,0.6143,128
RISF,ad_nominal,categorical,0.6032,256
RISF,ad_nominal,categorical,0.6366,256
RISF,ad_nominal,categorical,0.5951,256
RISF,ad_nominal,categorical,0.6318,512
RISF,ad_nominal,categorical,0.5696,512
RISF,ad_nominal,categorical,0.6318,512
RISF,TwoLeadECG,timeseries,0.8178,64
RISF,TwoLeadECG,timeseries,0.7352,64
RISF,TwoLeadECG,timeseries,0.7517,64
RISF,TwoLeadECG,timeseries,0.8673,128
RISF,TwoLeadECG,timeseries,0.7994,128
RISF,TwoLeadECG,timeseries,0.7149,128
RISF,TwoLeadECG,timeseries,0.854,256
RISF,TwoLeadECG,timeseries,0.866,256
RISF,TwoLeadECG,timeseries,0.7619,256
RISF,TwoLeadECG,timeseries,0.8686,512
RISF,TwoLeadECG,timeseries,0.8959,512
RISF,TwoLeadECG,timeseries,0.7397,512
