clf,dataset_name,dataset_type,auc,n_estimators
IForest,21_Lymphography,numerical,0.9651,1
IForest,21_Lymphography,numerical,0.9651,1
IForest,21_Lymphography,numerical,0.7151,1
IForest,21_Lymphography,numerical,1.0,5
IForest,21_Lymphography,numerical,1.0,5
IForest,21_Lymphography,numerical,0.9884,5
IForest,21_Lymphography,numerical,1.0,10
IForest,21_Lymphography,numerical,1.0,10
IForest,21_Lymphography,numerical,0.9884,10
IForest,21_Lymphography,numerical,1.0,25
IForest,21_Lymphography,numerical,1.0,25
IForest,21_Lymphography,numerical,1.0,25
IForest,21_Lymphography,numerical,1.0,50
IForest,21_Lymphography,numerical,1.0,50
IForest,21_Lymphography,numerical,1.0,50
IForest,21_Lymphography,numerical,1.0,100
IForest,21_Lymphography,numerical,1.0,100
IForest,21_Lymphography,numerical,1.0,100
IForest,21_Lymphography,numerical,1.0,200
IForest,21_Lymphography,numerical,1.0,200
IForest,21_Lymphography,numerical,1.0,200
IForest,36_speech,numerical,0.508,1
IForest,36_speech,numerical,0.4015,1
IForest,36_speech,numerical,0.4089,1
IForest,36_speech,numerical,0.426,5
IForest,36_speech,numerical,0.4344,5
IForest,36_speech,numerical,0.332,5
IForest,36_speech,numerical,0.5152,10
IForest,36_speech,numerical,0.4286,10
IForest,36_speech,numerical,0.2997,10
IForest,36_speech,numerical,0.4539,25
IForest,36_speech,numerical,0.4998,25
IForest,36_speech,numerical,0.2906,25
IForest,36_speech,numerical,0.4409,50
IForest,36_speech,numerical,0.4924,50
IForest,36_speech,numerical,0.318,50
IForest,36_speech,numerical,0.4105,100
IForest,36_speech,numerical,0.5297,100
IForest,36_speech,numerical,0.3789,100
IForest,36_speech,numerical,0.424,200
IForest,36_speech,numerical,0.5526,200
IForest,36_speech,numerical,0.3989,200
IForest,6_cardio,numerical,0.7138,1
IForest,6_cardio,numerical,0.4574,1
IForest,6_cardio,numerical,0.5848,1
IForest,6_cardio,numerical,0.92,5
IForest,6_cardio,numerical,0.7992,5
IForest,6_cardio,numerical,0.8289,5
IForest,6_cardio,numerical,0.9096,10
IForest,6_cardio,numerical,0.8163,10
IForest,6_cardio,numerical,0.8253,10
IForest,6_cardio,numerical,0.9432,25
IForest,6_cardio,numerical,0.8996,25
IForest,6_cardio,numerical,0.8919,25
IForest,6_cardio,numerical,0.9398,50
IForest,6_cardio,numerical,0.9097,50
IForest,6_cardio,numerical,0.8978,50
IForest,6_cardio,numerical,0.9495,100
IForest,6_cardio,numerical,0.9259,100
IForest,6_cardio,numerical,0.903,100
IForest,6_cardio,numerical,0.9525,200
IForest,6_cardio,numerical,0.9387,200
IForest,6_cardio,numerical,0.91,200
IForest,26_optdigits,numerical,0.3207,1
IForest,26_optdigits,numerical,0.4825,1
IForest,26_optdigits,numerical,0.44,1
IForest,26_optdigits,numerical,0.5862,5
IForest,26_optdigits,numerical,0.397,5
IForest,26_optdigits,numerical,0.6593,5
IForest,26_optdigits,numerical,0.5889,10
IForest,26_optdigits,numerical,0.5134,10
IForest,26_optdigits,numerical,0.6633,10
IForest,26_optdigits,numerical,0.7058,25
IForest,26_optdigits,numerical,0.6565,25
IForest,26_optdigits,numerical,0.7419,25
IForest,26_optdigits,numerical,0.6342,50
IForest,26_optdigits,numerical,0.6635,50
IForest,26_optdigits,numerical,0.7817,50
IForest,26_optdigits,numerical,0.6491,100
IForest,26_optdigits,numerical,0.6776,100
IForest,26_optdigits,numerical,0.7325,100
IForest,26_optdigits,numerical,0.6995,200
IForest,26_optdigits,numerical,0.665,200
IForest,26_optdigits,numerical,0.761,200
IForest,ad_nominal,categorical,0.6419,1
IForest,ad_nominal,categorical,0.5966,1
IForest,ad_nominal,categorical,0.4798,1
IForest,ad_nominal,categorical,0.7241,5
IForest,ad_nominal,categorical,0.606,5
IForest,ad_nominal,categorical,0.5658,5
IForest,ad_nominal,categorical,0.7203,10
IForest,ad_nominal,categorical,0.5698,10
IForest,ad_nominal,categorical,0.5925,10
IForest,ad_nominal,categorical,0.6951,25
IForest,ad_nominal,categorical,0.6397,25
IForest,ad_nominal,categorical,0.7123,25
IForest,ad_nominal,categorical,0.663,50
IForest,ad_nominal,categorical,0.6868,50
IForest,ad_nominal,categorical,0.7527,50
IForest,ad_nominal,categorical,0.703,100
IForest,ad_nominal,categorical,0.6838,100
IForest,ad_nominal,categorical,0.7449,100
IForest,ad_nominal,categorical,0.6971,200
IForest,ad_nominal,categorical,0.6849,200
IForest,ad_nominal,categorical,0.7332,200
IForest,TwoLeadECG,timeseries,0.8232,1
IForest,TwoLeadECG,timeseries,0.8578,1
IForest,TwoLeadECG,timeseries,0.6644,1
IForest,TwoLeadECG,timeseries,0.9016,5
IForest,TwoLeadECG,timeseries,0.8857,5
IForest,TwoLeadECG,timeseries,0.7987,5
IForest,TwoLeadECG,timeseries,0.9251,10
IForest,TwoLeadECG,timeseries,0.9448,10
IForest,TwoLeadECG,timeseries,0.7803,10
IForest,TwoLeadECG,timeseries,0.9079,25
