clf,dataset_name,dataset_type,auc
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,0.9884
RSIF,21_Lymphography,numerical,0.9884
RSIF,21_Lymphography,numerical,0.9767
RSIF,21_Lymphography,numerical,0.9767
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,0.9767
RSIF,21_Lymphography,numerical,1.0
RSIF,36_speech,numerical,0.4428
RSIF,36_speech,numerical,0.5166
RSIF,36_speech,numerical,0.4057
RSIF,36_speech,numerical,0.4032
RSIF,36_speech,numerical,0.3564
RSIF,36_speech,numerical,0.3181
RSIF,36_speech,numerical,0.4256
RSIF,36_speech,numerical,0.3216
RSIF,36_speech,numerical,0.459
RSIF,36_speech,numerical,0.455
RSIF,36_speech,numerical,0.6232
RSIF,36_speech,numerical,0.4701
RSIF,36_speech,numerical,0.4252
RSIF,36_speech,numerical,0.4957
RSIF,36_speech,numerical,0.5099
RSIF,36_speech,numerical,0.5185
RSIF,36_speech,numerical,0.5013
RSIF,36_speech,numerical,0.5431
RSIF,36_speech,numerical,0.4636
RSIF,36_speech,numerical,0.4593
RSIF,6_cardio,numerical,0.9581
RSIF,6_cardio,numerical,0.9419
RSIF,6_cardio,numerical,0.944
RSIF,6_cardio,numerical,0.9469
RSIF,6_cardio,numerical,0.9429
RSIF,6_cardio,numerical,0.9494
RSIF,6_cardio,numerical,0.9238
RSIF,6_cardio,numerical,0.9609
RSIF,6_cardio,numerical,0.923
RSIF,6_cardio,numerical,0.9349
RSIF,6_cardio,numerical,0.9344
RSIF,6_cardio,numerical,0.9338
RSIF,6_cardio,numerical,0.9419
RSIF,6_cardio,numerical,0.9442
RSIF,6_cardio,numerical,0.912
RSIF,6_cardio,numerical,0.932
RSIF,6_cardio,numerical,0.9345
RSIF,6_cardio,numerical,0.9487
RSIF,6_cardio,numerical,0.9401
RSIF,6_cardio,numerical,0.9506
RSIF,26_optdigits,numerical,0.4896
RSIF,26_optdigits,numerical,0.4636
RSIF,26_optdigits,numerical,0.5791
RSIF,26_optdigits,numerical,0.6798
RSIF,26_optdigits,numerical,0.703
RSIF,26_optdigits,numerical,0.5572
RSIF,26_optdigits,numerical,0.5656
RSIF,26_optdigits,numerical,0.6481
RSIF,26_optdigits,numerical,0.624
RSIF,26_optdigits,numerical,0.5116
RSIF,26_optdigits,numerical,0.671
RSIF,26_optdigits,numerical,0.6403
RSIF,26_optdigits,numerical,0.6484
RSIF,26_optdigits,numerical,0.622
RSIF,26_optdigits,numerical,0.5091
RSIF,26_optdigits,numerical,0.6639
RSIF,26_optdigits,numerical,0.5877
RSIF,26_optdigits,numerical,0.6337
RSIF,26_optdigits,numerical,0.6057
RSIF,26_optdigits,numerical,0.667
RSIF,COX2,graph,0.6164
RSIF,COX2,graph,0.4309
RSIF,COX2,graph,0.6527
RSIF,COX2,graph,0.6327
RSIF,COX2,graph,0.5545
RSIF,COX2,graph,0.5673
RSIF,COX2,graph,0.6527
RSIF,COX2,graph,0.5455
RSIF,COX2,graph,0.7036
RSIF,COX2,graph,0.4855
RSIF,COX2,graph,0.5218
RSIF,COX2,graph,0.3964
RSIF,COX2,graph,0.6018
RSIF,COX2,graph,0.7218
RSIF,COX2,graph,0.7291
RSIF,COX2,graph,0.6055
RSIF,COX2,graph,0.5036
RSIF,COX2,graph,0.6327
RSIF,COX2,graph,0.4436
RSIF,COX2,graph,0.4636
RSIF,BZR,graph,0.7521
RSIF,BZR,graph,0.6792
RSIF,BZR,graph,0.7042
RSIF,BZR,graph,0.8208
RSIF,BZR,graph,0.6771
RSIF,BZR,graph,0.8521
RSIF,BZR,graph,0.8562
RSIF,BZR,graph,0.7375
RSIF,BZR,graph,0.7312
RSIF,BZR,graph,0.6333
RSIF,BZR,graph,0.7333
RSIF,BZR,graph,0.8729
RSIF,BZR,graph,0.6438
RSIF,BZR,graph,0.7729
RSIF,BZR,graph,0.7062
RSIF,BZR,graph,0.5354
RSIF,BZR,graph,0.6708
RSIF,BZR,graph,0.9354
RSIF,BZR,graph,0.6562
RSIF,BZR,graph,0.4917
RSIF,DHFR,graph,0.5098
RSIF,DHFR,graph,0.3967
RSIF,DHFR,graph,0.4707
RSIF,DHFR,graph,0.5231
RSIF,DHFR,graph,0.258
RSIF,DHFR,graph,0.5221
RSIF,DHFR,graph,0.463
RSIF,DHFR,graph,0.5118
RSIF,DHFR,graph,0.4728
RSIF,DHFR,graph,0.5355
RSIF,DHFR,graph,0.296
RSIF,DHFR,graph,0.369
RSIF,DHFR,graph,0.5077
RSIF,DHFR,graph,0.4779
RSIF,DHFR,graph,0.3936
RSIF,DHFR,graph,0.4872
RSIF,DHFR,graph,0.5164
RSIF,DHFR,graph,0.5612
RSIF,DHFR,graph,0.3957
RSIF,DHFR,graph,0.594
RSIF,ad_nominal,binary,0.8079
RSIF,ad_nominal,binary,0.8154
RSIF,ad_nominal,binary,0.819
RSIF,ad_nominal,binary,0.7807
RSIF,ad_nominal,binary,0.7928
RSIF,ad_nominal,binary,0.8327
RSIF,ad_nominal,binary,0.7704
RSIF,ad_nominal,binary,0.8231
RSIF,ad_nominal,binary,0.8357
RSIF,ad_nominal,binary,0.7803
RSIF,ad_nominal,binary,0.803
RSIF,ad_nominal,binary,0.8057
RSIF,ad_nominal,binary,0.7782
RSIF,ad_nominal,binary,0.7824
RSIF,ad_nominal,binary,0.7995
RSIF,ad_nominal,binary,0.7589
RSIF,ad_nominal,binary,0.792
RSIF,ad_nominal,binary,0.7873
RSIF,ad_nominal,binary,0.7906
RSIF,ad_nominal,binary,0.8301
RSIF,TwoLeadECG,timeseries,0.8457
RSIF,TwoLeadECG,timeseries,0.8222
RSIF,TwoLeadECG,timeseries,0.6825
RSIF,TwoLeadECG,timeseries,0.8286
RSIF,TwoLeadECG,timeseries,0.5911
RSIF,TwoLeadECG,timeseries,0.7721
RSIF,TwoLeadECG,timeseries,0.7917
RSIF,TwoLeadECG,timeseries,0.6876
RSIF,TwoLeadECG,timeseries,0.6616
RSIF,TwoLeadECG,timeseries,0.6711
RSIF,TwoLeadECG,timeseries,0.6654
RSIF,TwoLeadECG,timeseries,0.6438
RSIF,TwoLeadECG,timeseries,0.8019
RSIF,TwoLeadECG,timeseries,0.7898
RSIF,TwoLeadECG,timeseries,0.7841
RSIF,TwoLeadECG,timeseries,0.5943
RSIF,TwoLeadECG,timeseries,0.6425
RSIF,TwoLeadECG,timeseries,0.8241
RSIF,TwoLeadECG,timeseries,0.8394
RSIF,TwoLeadECG,timeseries,0.706
RSIF,agnews_1,nlp,0.643
RSIF,agnews_1,nlp,0.7323
RSIF,agnews_1,nlp,0.7184
RSIF,agnews_1,nlp,0.7403
RSIF,agnews_1,nlp,0.7308
RSIF,agnews_1,nlp,0.7072
RSIF,agnews_1,nlp,0.7089
RSIF,agnews_1,nlp,0.6974
RSIF,agnews_1,nlp,0.717
RSIF,agnews_1,nlp,0.7182
RSIF,agnews_1,nlp,0.7002
RSIF,agnews_1,nlp,0.7534
RSIF,agnews_1,nlp,0.7313
RSIF,agnews_1,nlp,0.6937
RSIF,agnews_1,nlp,0.6814
RSIF,agnews_1,nlp,0.7484
RSIF,agnews_1,nlp,0.6601
RSIF,agnews_1,nlp,0.7064
RSIF,agnews_1,nlp,0.7121
RSIF,agnews_1,nlp,0.7184
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,0.9884
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,0.9884
LOF,21_Lymphography,numerical,0.9884
LOF,21_Lymphography,numerical,0.9884
LOF,21_Lymphography,numerical,0.9884
LOF,21_Lymphography,numerical,0.9884
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,0.9884
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,1.0
LOF,21_Lymphography,numerical,0.9651
LOF,21_Lymphography,numerical,0.9651
LOF,36_speech,numerical,0.4612
LOF,36_speech,numerical,0.5656
LOF,36_speech,numerical,0.4306
LOF,36_speech,numerical,0.4265
LOF,36_speech,numerical,0.3561
LOF,36_speech,numerical,0.3855
LOF,36_speech,numerical,0.4585
LOF,36_speech,numerical,0.3424
LOF,36_speech,numerical,0.5318
LOF,36_speech,numerical,0.4926
LOF,36_speech,numerical,0.6008
LOF,36_speech,numerical,0.4769
LOF,36_speech,numerical,0.4633
LOF,36_speech,numerical,0.527
LOF,36_speech,numerical,0.5294
LOF,36_speech,numerical,0.5512
LOF,36_speech,numerical,0.5114
LOF,36_speech,numerical,0.5435
LOF,36_speech,numerical,0.4457
LOF,36_speech,numerical,0.4913
LOF,6_cardio,numerical,0.6026
LOF,6_cardio,numerical,0.5639
LOF,6_cardio,numerical,0.522
LOF,6_cardio,numerical,0.5609
LOF,6_cardio,numerical,0.6016
LOF,6_cardio,numerical,0.5455
LOF,6_cardio,numerical,0.5672
LOF,6_cardio,numerical,0.5455
LOF,6_cardio,numerical,0.5237
LOF,6_cardio,numerical,0.6166
LOF,6_cardio,numerical,0.6126
LOF,6_cardio,numerical,0.5338
LOF,6_cardio,numerical,0.5458
LOF,6_cardio,numerical,0.5849
LOF,6_cardio,numerical,0.4673
LOF,6_cardio,numerical,0.5094
LOF,6_cardio,numerical,0.5532
LOF,6_cardio,numerical,0.4665
LOF,6_cardio,numerical,0.5371
LOF,6_cardio,numerical,0.5709
LOF,26_optdigits,numerical,0.4406
LOF,26_optdigits,numerical,0.371
LOF,26_optdigits,numerical,0.588
LOF,26_optdigits,numerical,0.5846
LOF,26_optdigits,numerical,0.5209
LOF,26_optdigits,numerical,0.5326
LOF,26_optdigits,numerical,0.5055
LOF,26_optdigits,numerical,0.5045
LOF,26_optdigits,numerical,0.4895
LOF,26_optdigits,numerical,0.4807
LOF,26_optdigits,numerical,0.5327
LOF,26_optdigits,numerical,0.4748
LOF,26_optdigits,numerical,0.5241
LOF,26_optdigits,numerical,0.516
LOF,26_optdigits,numerical,0.5036
LOF,26_optdigits,numerical,0.5353
LOF,26_optdigits,numerical,0.501
LOF,26_optdigits,numerical,0.3998
LOF,26_optdigits,numerical,0.4613
LOF,26_optdigits,numerical,0.5113
LOF,COX2,graph,0.6673
LOF,COX2,graph,0.5755
LOF,COX2,graph,0.5973
LOF,COX2,graph,0.6482
LOF,COX2,graph,0.7164
LOF,COX2,graph,0.5
LOF,COX2,graph,0.7973
LOF,COX2,graph,0.66
LOF,COX2,graph,0.8745
LOF,COX2,graph,0.5927
LOF,COX2,graph,0.6527
LOF,COX2,graph,0.5155
LOF,COX2,graph,0.6582
LOF,COX2,graph,0.8909
LOF,COX2,graph,0.74
LOF,COX2,graph,0.6036
LOF,COX2,graph,0.7836
LOF,COX2,graph,0.5982
LOF,COX2,graph,0.6873
LOF,COX2,graph,0.6364
LOF,BZR,graph,0.5729
LOF,BZR,graph,0.6021
LOF,BZR,graph,0.5417
LOF,BZR,graph,0.7292
LOF,BZR,graph,0.4781
LOF,BZR,graph,0.7479
LOF,BZR,graph,0.6604
LOF,BZR,graph,0.6854
LOF,BZR,graph,0.6479
LOF,BZR,graph,0.5812
LOF,BZR,graph,0.4958
LOF,BZR,graph,0.6375
LOF,BZR,graph,0.4875
LOF,BZR,graph,0.6708
LOF,BZR,graph,0.4292
LOF,BZR,graph,0.3313
LOF,BZR,graph,0.4812
LOF,BZR,graph,0.7979
LOF,BZR,graph,0.5125
LOF,BZR,graph,0.5375
LOF,DHFR,graph,0.4933
LOF,DHFR,graph,0.6608
LOF,DHFR,graph,0.4481
LOF,DHFR,graph,0.5334
LOF,DHFR,graph,0.4193
LOF,DHFR,graph,0.5159
