clf,dataset_name,dataset_type,auc
RSIF,AID362red_train_allpossiblenominal,binary,0.6132
RSIF,AID362red_train_allpossiblenominal,binary,0.6636
RSIF,AID362red_train_allpossiblenominal,binary,0.6194
RSIF,AID362red_train_allpossiblenominal,binary,0.6332
RSIF,AID362red_train_allpossiblenominal,binary,0.7057
RSIF,AID362red_train_allpossiblenominal,binary,0.6031
RSIF,AID362red_train_allpossiblenominal,binary,0.6439
RSIF,AID362red_train_allpossiblenominal,binary,0.5699
RSIF,AID362red_train_allpossiblenominal,binary,0.5982
RSIF,AID362red_train_allpossiblenominal,binary,0.5655
RSIF,apascal_entire_trainvsall,binary,0.7487
RSIF,apascal_entire_trainvsall,binary,0.5805
RSIF,apascal_entire_trainvsall,binary,0.5647
RSIF,apascal_entire_trainvsall,binary,0.5801
RSIF,apascal_entire_trainvsall,binary,0.647
RSIF,apascal_entire_trainvsall,binary,0.6271
RSIF,apascal_entire_trainvsall,binary,0.6934
RSIF,apascal_entire_trainvsall,binary,0.7036
RSIF,apascal_entire_trainvsall,binary,0.6333
RSIF,apascal_entire_trainvsall,binary,0.6613
RSIF,Reuters-corn-100,binary,0.9817
RSIF,Reuters-corn-100,binary,0.9715
RSIF,Reuters-corn-100,binary,0.9793
RSIF,Reuters-corn-100,binary,0.9836
RSIF,Reuters-corn-100,binary,0.9618
RSIF,Reuters-corn-100,binary,0.97
RSIF,Reuters-corn-100,binary,0.9707
RSIF,Reuters-corn-100,binary,0.9775
RSIF,Reuters-corn-100,binary,0.9799
RSIF,Reuters-corn-100,binary,0.9835
ISF,AID362red_train_allpossiblenominal,binary,0.5999
ISF,AID362red_train_allpossiblenominal,binary,0.6446
ISF,AID362red_train_allpossiblenominal,binary,0.6395
ISF,AID362red_train_allpossiblenominal,binary,0.612
ISF,AID362red_train_allpossiblenominal,binary,0.6757
ISF,AID362red_train_allpossiblenominal,binary,0.611
ISF,AID362red_train_allpossiblenominal,binary,0.6641
ISF,AID362red_train_allpossiblenominal,binary,0.6077
ISF,AID362red_train_allpossiblenominal,binary,0.6281
ISF,AID362red_train_allpossiblenominal,binary,0.5912
ISF,apascal_entire_trainvsall,binary,0.7746
ISF,apascal_entire_trainvsall,binary,0.707
ISF,apascal_entire_trainvsall,binary,0.6852
ISF,apascal_entire_trainvsall,binary,0.553
ISF,apascal_entire_trainvsall,binary,0.715
ISF,apascal_entire_trainvsall,binary,0.6437
ISF,apascal_entire_trainvsall,binary,0.5444
ISF,apascal_entire_trainvsall,binary,0.6858
ISF,apascal_entire_trainvsall,binary,0.653
ISF,apascal_entire_trainvsall,binary,0.7806
ISF,Reuters-corn-100,binary,0.9788
ISF,Reuters-corn-100,binary,0.982
ISF,Reuters-corn-100,binary,0.9855
ISF,Reuters-corn-100,binary,0.9839
ISF,Reuters-corn-100,binary,0.9767
ISF,Reuters-corn-100,binary,0.9776
ISF,Reuters-corn-100,binary,0.9811
ISF,Reuters-corn-100,binary,0.98
ISF,Reuters-corn-100,binary,0.9755
ISF,Reuters-corn-100,binary,0.9829
LOF,AID362red_train_allpossiblenominal,binary,0.6602
LOF,AID362red_train_allpossiblenominal,binary,0.5517
LOF,AID362red_train_allpossiblenominal,binary,0.5989
LOF,AID362red_train_allpossiblenominal,binary,0.5294
LOF,AID362red_train_allpossiblenominal,binary,0.5986
LOF,AID362red_train_allpossiblenominal,binary,0.5299
LOF,AID362red_train_allpossiblenominal,binary,0.5398
LOF,AID362red_train_allpossiblenominal,binary,0.6686
LOF,AID362red_train_allpossiblenominal,binary,0.6154
LOF,AID362red_train_allpossiblenominal,binary,0.4682
LOF,apascal_entire_trainvsall,binary,0.5342
LOF,apascal_entire_trainvsall,binary,0.5947
LOF,apascal_entire_trainvsall,binary,0.6167
LOF,apascal_entire_trainvsall,binary,0.5626
LOF,apascal_entire_trainvsall,binary,0.4881
LOF,apascal_entire_trainvsall,binary,0.5853
LOF,apascal_entire_trainvsall,binary,0.5124
LOF,apascal_entire_trainvsall,binary,0.5514
LOF,apascal_entire_trainvsall,binary,0.5297
LOF,apascal_entire_trainvsall,binary,0.5555
LOF,Reuters-corn-100,binary,0.9508
LOF,Reuters-corn-100,binary,0.952
LOF,Reuters-corn-100,binary,0.9496
LOF,Reuters-corn-100,binary,0.9533
LOF,Reuters-corn-100,binary,0.9537
LOF,Reuters-corn-100,binary,0.9564
LOF,Reuters-corn-100,binary,0.9482
LOF,Reuters-corn-100,binary,0.9478
LOF,Reuters-corn-100,binary,0.9443
LOF,Reuters-corn-100,binary,0.9526
IForest,AID362red_train_allpossiblenominal,binary,0.6462
IForest,AID362red_train_allpossiblenominal,binary,0.6963
IForest,AID362red_train_allpossiblenominal,binary,0.6334
IForest,AID362red_train_allpossiblenominal,binary,0.6748
