clf,dataset_name,dataset_type,auc
RSIF,CIFAR10_0,cv,0.7245
RSIF,CIFAR10_0,cv,0.6853
RSIF,CIFAR10_0,cv,0.7023
RSIF,CIFAR10_0,cv,0.7093
RSIF,CIFAR10_0,cv,0.7252
RSIF,CIFAR10_0,cv,0.6561
RSIF,CIFAR10_0,cv,0.6756
RSIF,CIFAR10_0,cv,0.7071
RSIF,CIFAR10_0,cv,0.7276
RSIF,CIFAR10_0,cv,0.7508
RSIF,FashionMNIST_0,cv,0.8484
RSIF,FashionMNIST_0,cv,0.8349
RSIF,FashionMNIST_0,cv,0.8566
RSIF,FashionMNIST_0,cv,0.7945
RSIF,FashionMNIST_0,cv,0.7869
RSIF,FashionMNIST_0,cv,0.8387
RSIF,FashionMNIST_0,cv,0.8671
RSIF,FashionMNIST_0,cv,0.844
RSIF,FashionMNIST_0,cv,0.8155
RSIF,FashionMNIST_0,cv,0.8413
RSIF,SVHN_0,cv,0.5807
RSIF,SVHN_0,cv,0.542
RSIF,SVHN_0,cv,0.5435
RSIF,SVHN_0,cv,0.5818
RSIF,SVHN_0,cv,0.5491
RSIF,SVHN_0,cv,0.5697
RSIF,SVHN_0,cv,0.552
RSIF,SVHN_0,cv,0.5597
RSIF,SVHN_0,cv,0.5281
RSIF,SVHN_0,cv,0.5154
ISF,CIFAR10_0,cv,0.6959
ISF,CIFAR10_0,cv,0.6798
ISF,CIFAR10_0,cv,0.6605
ISF,CIFAR10_0,cv,0.7109
ISF,CIFAR10_0,cv,0.6272
ISF,CIFAR10_0,cv,0.6406
ISF,CIFAR10_0,cv,0.6984
ISF,CIFAR10_0,cv,0.6852
ISF,CIFAR10_0,cv,0.6802
ISF,CIFAR10_0,cv,0.6928
ISF,FashionMNIST_0,cv,0.8178
ISF,FashionMNIST_0,cv,0.7982
ISF,FashionMNIST_0,cv,0.7955
ISF,FashionMNIST_0,cv,0.8027
ISF,FashionMNIST_0,cv,0.7866
ISF,FashionMNIST_0,cv,0.8172
ISF,FashionMNIST_0,cv,0.8224
ISF,FashionMNIST_0,cv,0.8268
ISF,FashionMNIST_0,cv,0.8109
ISF,FashionMNIST_0,cv,0.816
ISF,SVHN_0,cv,0.6075
ISF,SVHN_0,cv,0.5527
ISF,SVHN_0,cv,0.5445
ISF,SVHN_0,cv,0.5898
ISF,SVHN_0,cv,0.5885
ISF,SVHN_0,cv,0.5855
ISF,SVHN_0,cv,0.5257
ISF,SVHN_0,cv,0.6115
ISF,SVHN_0,cv,0.5105
ISF,SVHN_0,cv,0.5573
LOF,CIFAR10_0,cv,0.7522
LOF,CIFAR10_0,cv,0.7135
LOF,CIFAR10_0,cv,0.7196
LOF,CIFAR10_0,cv,0.749
LOF,CIFAR10_0,cv,0.7351
LOF,CIFAR10_0,cv,0.6979
LOF,CIFAR10_0,cv,0.7198
LOF,CIFAR10_0,cv,0.7449
LOF,CIFAR10_0,cv,0.74
LOF,CIFAR10_0,cv,0.7562
LOF,FashionMNIST_0,cv,0.7567
LOF,FashionMNIST_0,cv,0.6881
LOF,FashionMNIST_0,cv,0.8109
LOF,FashionMNIST_0,cv,0.732
LOF,FashionMNIST_0,cv,0.7356
LOF,FashionMNIST_0,cv,0.7403
LOF,FashionMNIST_0,cv,0.7503
LOF,FashionMNIST_0,cv,0.7145
LOF,FashionMNIST_0,cv,0.761
LOF,FashionMNIST_0,cv,0.7306
LOF,SVHN_0,cv,0.6986
LOF,SVHN_0,cv,0.6369
LOF,SVHN_0,cv,0.6299
LOF,SVHN_0,cv,0.6673
LOF,SVHN_0,cv,0.6736
LOF,SVHN_0,cv,0.6424
LOF,SVHN_0,cv,0.6719
LOF,SVHN_0,cv,0.6477
LOF,SVHN_0,cv,0.625
LOF,SVHN_0,cv,0.6803
IForest,CIFAR10_0,cv,0.7271
IForest,CIFAR10_0,cv,0.7131
IForest,CIFAR10_0,cv,0.7259
IForest,CIFAR10_0,cv,0.7485
IForest,CIFAR10_0,cv,0.7052
IForest,CIFAR10_0,cv,0.6701
IForest,CIFAR10_0,cv,0.7261
IForest,CIFAR10_0,cv,0.7347
IForest,CIFAR10_0,cv,0.7541
IForest,CIFAR10_0,cv,0.7541
IForest,FashionMNIST_0,cv,0.8517
IForest,FashionMNIST_0,cv,0.8459
IForest,FashionMNIST_0,cv,0.8604
IForest,FashionMNIST_0,cv,0.8289
IForest,FashionMNIST_0,cv,0.8186
IForest,FashionMNIST_0,cv,0.849
IForest,FashionMNIST_0,cv,0.8587
IForest,FashionMNIST_0,cv,0.859
IForest,FashionMNIST_0,cv,0.8361
IForest,FashionMNIST_0,cv,0.839
IForest,SVHN_0,cv,0.5917
IForest,SVHN_0,cv,0.5217
IForest,SVHN_0,cv,0.547
IForest,SVHN_0,cv,0.5951
IForest,SVHN_0,cv,0.5612
IForest,SVHN_0,cv,0.5437
IForest,SVHN_0,cv,0.5881
IForest,SVHN_0,cv,0.5522
IForest,SVHN_0,cv,0.548
IForest,SVHN_0,cv,0.5609
ECOD,CIFAR10_0,cv,0.7235
ECOD,CIFAR10_0,cv,0.6831
ECOD,CIFAR10_0,cv,0.7048
