clf,dataset_name,dataset_type,auc
RSIF,NCI1,graph,0.4978
RSIF,NCI1,graph,0.5014
RSIF,NCI1,graph,0.4958
RSIF,NCI1,graph,0.5357
RSIF,NCI1,graph,0.5377
RSIF,NCI1,graph,0.4727
RSIF,NCI1,graph,0.5197
RSIF,NCI1,graph,0.5201
RSIF,NCI1,graph,0.5324
RSIF,NCI1,graph,0.4901
RSIF,AIDS,graph,0.9775
RSIF,AIDS,graph,0.9809
RSIF,AIDS,graph,0.9859
RSIF,AIDS,graph,0.9995
RSIF,AIDS,graph,0.9994
RSIF,AIDS,graph,0.9994
RSIF,AIDS,graph,0.9789
RSIF,AIDS,graph,0.9847
RSIF,AIDS,graph,0.9993
RSIF,AIDS,graph,0.9876
RSIF,ENZYMES,graph,0.75
RSIF,ENZYMES,graph,0.3333
RSIF,ENZYMES,graph,0.3333
RSIF,ENZYMES,graph,0.6167
RSIF,ENZYMES,graph,0.45
RSIF,ENZYMES,graph,0.65
RSIF,ENZYMES,graph,0.9167
RSIF,ENZYMES,graph,0.7833
RSIF,ENZYMES,graph,0.5333
RSIF,ENZYMES,graph,0.55
RSIF,PROTEINS_full,graph,0.6784
RSIF,PROTEINS_full,graph,0.6543
RSIF,PROTEINS_full,graph,0.6854
RSIF,PROTEINS_full,graph,0.6905
RSIF,PROTEINS_full,graph,0.6985
RSIF,PROTEINS_full,graph,0.5271
RSIF,PROTEINS_full,graph,0.793
RSIF,PROTEINS_full,graph,0.6045
RSIF,PROTEINS_full,graph,0.6362
RSIF,PROTEINS_full,graph,0.6136
RSIF,DD,graph,0.74
RSIF,DD,graph,0.8665
RSIF,DD,graph,0.8204
RSIF,DD,graph,0.7787
RSIF,DD,graph,0.7606
RSIF,DD,graph,0.704
RSIF,DD,graph,0.7751
RSIF,DD,graph,0.7093
RSIF,DD,graph,0.8147
RSIF,DD,graph,0.6917
ISF,NCI1,graph,0.5643
ISF,NCI1,graph,0.4553
ISF,NCI1,graph,0.4616
ISF,NCI1,graph,0.552
ISF,NCI1,graph,0.5264
ISF,NCI1,graph,0.4659
ISF,NCI1,graph,0.4486
ISF,NCI1,graph,0.5351
ISF,NCI1,graph,0.4518
ISF,NCI1,graph,0.5239
ISF,AIDS,graph,0.9781
ISF,AIDS,graph,0.9833
ISF,AIDS,graph,0.9806
ISF,AIDS,graph,0.9977
ISF,AIDS,graph,0.9977
ISF,AIDS,graph,0.9946
ISF,AIDS,graph,0.9766
ISF,AIDS,graph,0.9806
ISF,AIDS,graph,0.995
ISF,AIDS,graph,0.9771
ISF,ENZYMES,graph,0.7833
ISF,ENZYMES,graph,0.3667
ISF,ENZYMES,graph,0.3833
ISF,ENZYMES,graph,0.5833
ISF,ENZYMES,graph,0.4333
ISF,ENZYMES,graph,0.7167
ISF,ENZYMES,graph,0.9167
ISF,ENZYMES,graph,0.8333
ISF,ENZYMES,graph,0.7667
ISF,ENZYMES,graph,0.8333
ISF,PROTEINS_full,graph,0.7452
ISF,PROTEINS_full,graph,0.6543
ISF,PROTEINS_full,graph,0.6955
ISF,PROTEINS_full,graph,0.7246
ISF,PROTEINS_full,graph,0.7271
ISF,PROTEINS_full,graph,0.597
ISF,PROTEINS_full,graph,0.799
ISF,PROTEINS_full,graph,0.6035
ISF,PROTEINS_full,graph,0.6533
ISF,PROTEINS_full,graph,0.5688
ISF,DD,graph,0.7563
ISF,DD,graph,0.8467
ISF,DD,graph,0.798
ISF,DD,graph,0.7791
ISF,DD,graph,0.7453
ISF,DD,graph,0.7602
ISF,DD,graph,0.7971
ISF,DD,graph,0.6974
ISF,DD,graph,0.8283
ISF,DD,graph,0.6891
LOF,NCI1,graph,0.5322
LOF,NCI1,graph,0.6218
LOF,NCI1,graph,0.5302
LOF,NCI1,graph,0.6051
LOF,NCI1,graph,0.518
LOF,NCI1,graph,0.6029
LOF,NCI1,graph,0.5154
LOF,NCI1,graph,0.6213
LOF,NCI1,graph,0.4934
LOF,NCI1,graph,0.5997
LOF,AIDS,graph,0.7986
LOF,AIDS,graph,0.7878
LOF,AIDS,graph,0.8042
LOF,AIDS,graph,0.8596
LOF,AIDS,graph,0.8372
LOF,AIDS,graph,0.8065
LOF,AIDS,graph,0.8347
LOF,AIDS,graph,0.8441
LOF,AIDS,graph,0.8697
LOF,AIDS,graph,0.8408
LOF,ENZYMES,graph,0.7
LOF,ENZYMES,graph,0.1667
LOF,ENZYMES,graph,0.7667
LOF,ENZYMES,graph,0.6667
LOF,ENZYMES,graph,0.5833
LOF,ENZYMES,graph,0.3833
LOF,ENZYMES,graph,0.7833
LOF,ENZYMES,graph,0.5167
LOF,ENZYMES,graph,0.55
LOF,ENZYMES,graph,0.9667
LOF,PROTEINS_full,graph,0.5193
LOF,PROTEINS_full,graph,0.5804
LOF,PROTEINS_full,graph,0.7055
LOF,PROTEINS_full,graph,0.5535
LOF,PROTEINS_full,graph,0.5691
LOF,PROTEINS_full,graph,0.3683
LOF,PROTEINS_full,graph,0.795
LOF,PROTEINS_full,graph,0.4729
LOF,PROTEINS_full,graph,0.5701
LOF,PROTEINS_full,graph,0.7053
LOF,DD,graph,0.4866
LOF,DD,graph,0.6667
LOF,DD,graph,0.4822
LOF,DD,graph,0.5029
LOF,DD,graph,0.4818
LOF,DD,graph,0.3061
LOF,DD,graph,0.2165
LOF,DD,graph,0.4106
LOF,DD,graph,0.4589
LOF,DD,graph,0.6175
IForest,NCI1,graph,0.5082
IForest,NCI1,graph,0.3983
IForest,NCI1,graph,0.4422
IForest,NCI1,graph,0.4868
IForest,NCI1,graph,0.4894
IForest,NCI1,graph,0.433
IForest,NCI1,graph,0.4473
IForest,NCI1,graph,0.4985
IForest,NCI1,graph,0.6013
IForest,NCI1,graph,0.5374
IForest,AIDS,graph,0.8965
IForest,AIDS,graph,0.8921
IForest,AIDS,graph,0.9216
IForest,AIDS,graph,0.9345
IForest,AIDS,graph,0.9134
IForest,AIDS,graph,0.9574
IForest,AIDS,graph,0.9125
IForest,AIDS,graph,0.9199
IForest,AIDS,graph,0.9456
IForest,AIDS,graph,0.9056
IForest,ENZYMES,graph,0.7667
IForest,ENZYMES,graph,0.5333
IForest,ENZYMES,graph,0.9167
IForest,ENZYMES,graph,0.8167
IForest,ENZYMES,graph,0.7
IForest,ENZYMES,graph,0.75
IForest,ENZYMES,graph,0.9667
IForest,ENZYMES,graph,0.65
IForest,ENZYMES,graph,0.5667
IForest,ENZYMES,graph,0.9
IForest,PROTEINS_full,graph,0.5349
IForest,PROTEINS_full,graph,0.5241
IForest,PROTEINS_full,graph,0.6111
IForest,PROTEINS_full,graph,0.5088
IForest,PROTEINS_full,graph,0.5143
IForest,PROTEINS_full,graph,0.3769
IForest,PROTEINS_full,graph,0.6985
IForest,PROTEINS_full,graph,0.4653
IForest,PROTEINS_full,graph,0.4992
IForest,PROTEINS_full,graph,0.6299
IForest,DD,graph,0.6557
IForest,DD,graph,0.7387
IForest,DD,graph,0.7185
IForest,DD,graph,0.6728
IForest,DD,graph,0.6592
IForest,DD,graph,0.5907
IForest,DD,graph,0.7189
IForest,DD,graph,0.5582
IForest,DD,graph,0.6232
IForest,DD,graph,0.643
ECOD,NCI1,graph,0.5188
ECOD,NCI1,graph,0.425
ECOD,NCI1,graph,0.4605
ECOD,NCI1,graph,0.5022
ECOD,NCI1,graph,0.4966
ECOD,NCI1,graph,0.4503
ECOD,NCI1,graph,0.4223
ECOD,NCI1,graph,0.5097
ECOD,NCI1,graph,0.5897
ECOD,NCI1,graph,0.5362
ECOD,AIDS,graph,0.9049
ECOD,AIDS,graph,0.9123
ECOD,AIDS,graph,0.9139
ECOD,AIDS,graph,0.9322
ECOD,AIDS,graph,0.9217
ECOD,AIDS,graph,0.9533
ECOD,AIDS,graph,0.9101
ECOD,AIDS,graph,0.9321
ECOD,AIDS,graph,0.9351
ECOD,AIDS,graph,0.9305
ECOD,ENZYMES,graph,0.65
ECOD,ENZYMES,graph,0.55
ECOD,ENZYMES,graph,0.8667
ECOD,ENZYMES,graph,0.6667
ECOD,ENZYMES,graph,0.6667
ECOD,ENZYMES,graph,0.6833
ECOD,ENZYMES,graph,0.8833
ECOD,ENZYMES,graph,0.6667
ECOD,ENZYMES,graph,0.65
ECOD,ENZYMES,graph,0.95
ECOD,PROTEINS_full,graph,0.6465
ECOD,PROTEINS_full,graph,0.595
ECOD,PROTEINS_full,graph,0.702
ECOD,PROTEINS_full,graph,0.6912
ECOD,PROTEINS_full,graph,0.6108
ECOD,PROTEINS_full,graph,0.6603
ECOD,PROTEINS_full,graph,0.8412
ECOD,PROTEINS_full,graph,0.5864
ECOD,PROTEINS_full,graph,0.6952
ECOD,PROTEINS_full,graph,0.642
ECOD,DD,graph,0.7282
ECOD,DD,graph,0.7738
ECOD,DD,graph,0.7967
ECOD,DD,graph,0.8177
ECOD,DD,graph,0.7286
ECOD,DD,graph,0.6926
ECOD,DD,graph,0.7756
ECOD,DD,graph,0.697
ECOD,DD,graph,0.7545
ECOD,DD,graph,0.7374
HBOS,NCI1,graph,0.4741
HBOS,NCI1,graph,0.3571
HBOS,NCI1,graph,0.4603
HBOS,NCI1,graph,0.4946
HBOS,NCI1,graph,0.4491
HBOS,NCI1,graph,0.3954
HBOS,NCI1,graph,0.415
HBOS,NCI1,graph,0.4623
HBOS,NCI1,graph,0.568
HBOS,NCI1,graph,0.4848
HBOS,AIDS,graph,0.9591
HBOS,AIDS,graph,0.9627
HBOS,AIDS,graph,0.9328
HBOS,AIDS,graph,0.9712
HBOS,AIDS,graph,0.9536
HBOS,AIDS,graph,0.9844
HBOS,AIDS,graph,0.9563
HBOS,AIDS,graph,0.9562
HBOS,AIDS,graph,0.9695
HBOS,AIDS,graph,0.9416
HBOS,ENZYMES,graph,0.6083
HBOS,ENZYMES,graph,0.5667
HBOS,ENZYMES,graph,0.7333
HBOS,ENZYMES,graph,0.7167
HBOS,ENZYMES,graph,0.725
HBOS,ENZYMES,graph,0.6167
HBOS,ENZYMES,graph,0.8917
HBOS,ENZYMES,graph,0.7333
HBOS,ENZYMES,graph,0.4167
HBOS,ENZYMES,graph,0.8333
HBOS,PROTEINS_full,graph,0.3741
