clf,dataset_name,dataset_type,auc
RSIF,breast,multiomics,0.8531
RSIF,breast,multiomics,0.9109
RSIF,breast,multiomics,0.75
RSIF,breast,multiomics,0.8363
RSIF,breast,multiomics,0.8649
RSIF,breast,multiomics,0.7506
RSIF,breast,multiomics,0.8369
RSIF,breast,multiomics,0.8184
RSIF,breast,multiomics,0.8397
RSIF,breast,multiomics,0.8083
RSIF,ovarian,multiomics,0.875
RSIF,ovarian,multiomics,0.6528
RSIF,ovarian,multiomics,0.8611
RSIF,ovarian,multiomics,0.5694
RSIF,ovarian,multiomics,0.6528
RSIF,ovarian,multiomics,0.8889
RSIF,ovarian,multiomics,0.7083
RSIF,ovarian,multiomics,0.6528
RSIF,ovarian,multiomics,0.6389
RSIF,ovarian,multiomics,0.4028
RSIF,rosmap,multiomics,0.7404
RSIF,rosmap,multiomics,0.2115
RSIF,rosmap,multiomics,0.8654
RSIF,rosmap,multiomics,0.5577
RSIF,rosmap,multiomics,0.6442
RSIF,rosmap,multiomics,0.8942
RSIF,rosmap,multiomics,0.9615
RSIF,rosmap,multiomics,0.4712
RSIF,rosmap,multiomics,0.8365
RSIF,rosmap,multiomics,0.4327
ISF,breast,multiomics,0.5465
ISF,breast,multiomics,0.4753
ISF,breast,multiomics,0.648
ISF,breast,multiomics,0.5022
ISF,breast,multiomics,0.6581
ISF,breast,multiomics,0.5583
ISF,breast,multiomics,0.4972
ISF,breast,multiomics,0.5342
ISF,breast,multiomics,0.5768
ISF,breast,multiomics,0.4888
ISF,ovarian,multiomics,0.3611
ISF,ovarian,multiomics,0.3333
ISF,ovarian,multiomics,0.3333
ISF,ovarian,multiomics,0.3333
ISF,ovarian,multiomics,0.1944
ISF,ovarian,multiomics,0.3333
ISF,ovarian,multiomics,0.4861
ISF,ovarian,multiomics,0.1806
ISF,ovarian,multiomics,0.5556
ISF,ovarian,multiomics,0.1944
ISF,rosmap,multiomics,0.7596
ISF,rosmap,multiomics,0.3654
ISF,rosmap,multiomics,0.8077
ISF,rosmap,multiomics,0.4519
ISF,rosmap,multiomics,0.5096
ISF,rosmap,multiomics,0.8942
ISF,rosmap,multiomics,0.9712
ISF,rosmap,multiomics,0.9231
