clf,dataset_name,dataset_type,auc
RISF,14_glass,numerical,0.871
RISF,14_glass,numerical,0.629
RISF,14_glass,numerical,0.8065
RISF,14_glass,numerical,0.7688
RISF,14_glass,numerical,0.7419
RISF,14_glass,numerical,0.8978
RISF,14_glass,numerical,0.7581
RISF,14_glass,numerical,0.8495
RISF,14_glass,numerical,0.7849
RISF,14_glass,numerical,0.7204
RISF,20_letter,numerical,0.7893
RISF,20_letter,numerical,0.7102
RISF,20_letter,numerical,0.7481
RISF,20_letter,numerical,0.6062
RISF,20_letter,numerical,0.7226
RISF,20_letter,numerical,0.7441
RISF,20_letter,numerical,0.7934
RISF,20_letter,numerical,0.7501
RISF,20_letter,numerical,0.7081
RISF,20_letter,numerical,0.6821
RISF,25_musk,numerical,1.0
RISF,25_musk,numerical,1.0
RISF,25_musk,numerical,1.0
RISF,25_musk,numerical,1.0
RISF,25_musk,numerical,1.0
RISF,25_musk,numerical,1.0
RISF,25_musk,numerical,1.0
RISF,25_musk,numerical,1.0
RISF,25_musk,numerical,1.0
RISF,25_musk,numerical,1.0
RISF,2_annthyroid,numerical,0.7826
RISF,2_annthyroid,numerical,0.6955
RISF,2_annthyroid,numerical,0.7469
RISF,2_annthyroid,numerical,0.7403
RISF,2_annthyroid,numerical,0.7732
RISF,2_annthyroid,numerical,0.6725
RISF,2_annthyroid,numerical,0.7184
RISF,2_annthyroid,numerical,0.7463
RISF,2_annthyroid,numerical,0.7544
RISF,2_annthyroid,numerical,0.7897
RISF,31_satimage-2,numerical,0.9883
RISF,31_satimage-2,numerical,0.9986
RISF,31_satimage-2,numerical,0.9997
RISF,31_satimage-2,numerical,1.0
RISF,31_satimage-2,numerical,0.9686
RISF,31_satimage-2,numerical,0.998
RISF,31_satimage-2,numerical,0.998
RISF,31_satimage-2,numerical,0.9996
RISF,31_satimage-2,numerical,0.996
RISF,31_satimage-2,numerical,0.9855
RISF,38_thyroid,numerical,0.9855
RISF,38_thyroid,numerical,0.9842
RISF,38_thyroid,numerical,0.9789
RISF,38_thyroid,numerical,0.9784
RISF,38_thyroid,numerical,0.9446
RISF,38_thyroid,numerical,0.9478
RISF,38_thyroid,numerical,0.965
RISF,38_thyroid,numerical,0.9644
RISF,38_thyroid,numerical,0.9755
RISF,38_thyroid,numerical,0.9666
RISF,40_vowels,numerical,0.9281
RISF,40_vowels,numerical,0.9246
RISF,40_vowels,numerical,0.9442
RISF,40_vowels,numerical,0.9223
RISF,40_vowels,numerical,0.9404
RISF,40_vowels,numerical,0.9229
RISF,40_vowels,numerical,0.8608
RISF,40_vowels,numerical,0.9057
RISF,40_vowels,numerical,0.8335
RISF,40_vowels,numerical,0.9341
RISF,41_Waveform,numerical,0.7485
RISF,41_Waveform,numerical,0.7835
RISF,41_Waveform,numerical,0.7677
RISF,41_Waveform,numerical,0.6907
RISF,41_Waveform,numerical,0.7217
RISF,41_Waveform,numerical,0.7918
RISF,41_Waveform,numerical,0.7475
RISF,41_Waveform,numerical,0.6259
RISF,41_Waveform,numerical,0.7963
RISF,41_Waveform,numerical,0.5844
RISF,42_WBC,numerical,1.0
RISF,42_WBC,numerical,1.0
RISF,42_WBC,numerical,0.9792
RISF,42_WBC,numerical,0.9844
RISF,42_WBC,numerical,1.0
RISF,42_WBC,numerical,1.0
RISF,42_WBC,numerical,1.0
RISF,42_WBC,numerical,1.0
RISF,42_WBC,numerical,1.0
RISF,42_WBC,numerical,1.0
RISF,43_WDBC,numerical,0.9907
RISF,43_WDBC,numerical,0.9907
RISF,43_WDBC,numerical,0.9877
RISF,43_WDBC,numerical,1.0
RISF,43_WDBC,numerical,0.9969
RISF,43_WDBC,numerical,0.9969
RISF,43_WDBC,numerical,0.9907
RISF,43_WDBC,numerical,0.9846
RISF,43_WDBC,numerical,1.0
RISF,43_WDBC,numerical,0.9815
RISF,44_Wilt,numerical,0.4796
RISF,44_Wilt,numerical,0.4536
RISF,44_Wilt,numerical,0.4952
RISF,44_Wilt,numerical,0.4034
RISF,44_Wilt,numerical,0.5358
RISF,44_Wilt,numerical,0.4789
RISF,44_Wilt,numerical,0.4979
RISF,44_Wilt,numerical,0.4718
RISF,44_Wilt,numerical,0.5224
RISF,44_Wilt,numerical,0.4449
ISF,14_glass,numerical,0.8548
ISF,14_glass,numerical,0.8656
ISF,14_glass,numerical,0.6667
ISF,14_glass,numerical,0.5323
ISF,14_glass,numerical,0.6935
ISF,14_glass,numerical,0.7688
ISF,14_glass,numerical,0.5914
ISF,14_glass,numerical,0.8817
ISF,14_glass,numerical,0.7312
ISF,14_glass,numerical,0.672
ISF,20_letter,numerical,0.6012
ISF,20_letter,numerical,0.5135
ISF,20_letter,numerical,0.755
ISF,20_letter,numerical,0.6416
ISF,20_letter,numerical,0.5293
ISF,20_letter,numerical,0.4858
ISF,20_letter,numerical,0.5799
ISF,20_letter,numerical,0.7721
ISF,20_letter,numerical,0.5644
ISF,20_letter,numerical,0.5522
ISF,25_musk,numerical,1.0
ISF,25_musk,numerical,1.0
ISF,25_musk,numerical,1.0
ISF,25_musk,numerical,1.0
ISF,25_musk,numerical,1.0
ISF,25_musk,numerical,1.0
ISF,25_musk,numerical,1.0
ISF,25_musk,numerical,1.0
ISF,25_musk,numerical,1.0
ISF,25_musk,numerical,1.0
ISF,2_annthyroid,numerical,0.6779
ISF,2_annthyroid,numerical,0.6686
ISF,2_annthyroid,numerical,0.6797
ISF,2_annthyroid,numerical,0.7538
ISF,2_annthyroid,numerical,0.6717
ISF,2_annthyroid,numerical,0.7043
ISF,2_annthyroid,numerical,0.7139
ISF,2_annthyroid,numerical,0.693
ISF,2_annthyroid,numerical,0.715
ISF,2_annthyroid,numerical,0.6766
ISF,31_satimage-2,numerical,0.9375
ISF,31_satimage-2,numerical,0.9431
ISF,31_satimage-2,numerical,0.9533
ISF,31_satimage-2,numerical,0.972
ISF,31_satimage-2,numerical,0.9237
ISF,31_satimage-2,numerical,0.9602
ISF,31_satimage-2,numerical,0.9399
ISF,31_satimage-2,numerical,0.9605
ISF,31_satimage-2,numerical,0.9417
ISF,31_satimage-2,numerical,0.945
ISF,38_thyroid,numerical,0.9792
ISF,38_thyroid,numerical,0.9768
ISF,38_thyroid,numerical,0.9867
ISF,38_thyroid,numerical,0.9806
ISF,38_thyroid,numerical,0.9665
ISF,38_thyroid,numerical,0.9638
ISF,38_thyroid,numerical,0.9648
ISF,38_thyroid,numerical,0.9732
ISF,38_thyroid,numerical,0.9745
ISF,38_thyroid,numerical,0.9711
ISF,40_vowels,numerical,0.5656
ISF,40_vowels,numerical,0.5979
ISF,40_vowels,numerical,0.6605
ISF,40_vowels,numerical,0.5578
ISF,40_vowels,numerical,0.3049
ISF,40_vowels,numerical,0.6021
ISF,40_vowels,numerical,0.5543
ISF,40_vowels,numerical,0.5223
ISF,40_vowels,numerical,0.4632
ISF,40_vowels,numerical,0.4534
ISF,41_Waveform,numerical,0.7216
ISF,41_Waveform,numerical,0.6756
ISF,41_Waveform,numerical,0.6951
ISF,41_Waveform,numerical,0.7653
ISF,41_Waveform,numerical,0.8386
ISF,41_Waveform,numerical,0.662
ISF,41_Waveform,numerical,0.7091
ISF,41_Waveform,numerical,0.7085
ISF,41_Waveform,numerical,0.7381
ISF,41_Waveform,numerical,0.7741
ISF,42_WBC,numerical,0.9844
ISF,42_WBC,numerical,1.0
ISF,42_WBC,numerical,0.9844
ISF,42_WBC,numerical,0.9844
ISF,42_WBC,numerical,0.9896
ISF,42_WBC,numerical,1.0
ISF,42_WBC,numerical,0.9844
ISF,42_WBC,numerical,0.9792
ISF,42_WBC,numerical,0.9844
ISF,42_WBC,numerical,1.0
ISF,43_WDBC,numerical,0.9969
ISF,43_WDBC,numerical,0.9969
ISF,43_WDBC,numerical,0.9969
ISF,43_WDBC,numerical,1.0
ISF,43_WDBC,numerical,1.0
ISF,43_WDBC,numerical,1.0
ISF,43_WDBC,numerical,1.0
ISF,43_WDBC,numerical,0.9846
ISF,43_WDBC,numerical,1.0
ISF,43_WDBC,numerical,0.9846
ISF,44_Wilt,numerical,0.3762
ISF,44_Wilt,numerical,0.4183
ISF,44_Wilt,numerical,0.2826
ISF,44_Wilt,numerical,0.3153
ISF,44_Wilt,numerical,0.3514
ISF,44_Wilt,numerical,0.3224
ISF,44_Wilt,numerical,0.2313
ISF,44_Wilt,numerical,0.3418
ISF,44_Wilt,numerical,0.3683
ISF,44_Wilt,numerical,0.3163
LOF,14_glass,numerical,0.7204
LOF,14_glass,numerical,0.7957
LOF,14_glass,numerical,0.6613
LOF,14_glass,numerical,0.5699
LOF,14_glass,numerical,0.8441
LOF,14_glass,numerical,0.8387
LOF,14_glass,numerical,0.629
LOF,14_glass,numerical,0.8978
LOF,14_glass,numerical,0.7043
LOF,14_glass,numerical,0.6613
LOF,20_letter,numerical,0.868
LOF,20_letter,numerical,0.8475
LOF,20_letter,numerical,0.8516
LOF,20_letter,numerical,0.8662
LOF,20_letter,numerical,0.8724
LOF,20_letter,numerical,0.8583
LOF,20_letter,numerical,0.8356
LOF,20_letter,numerical,0.877
LOF,20_letter,numerical,0.837
LOF,20_letter,numerical,0.8499
LOF,25_musk,numerical,0.3844
LOF,25_musk,numerical,0.4762
LOF,25_musk,numerical,0.4452
LOF,25_musk,numerical,0.343
LOF,25_musk,numerical,0.4307
LOF,25_musk,numerical,0.4482
LOF,25_musk,numerical,0.418
LOF,25_musk,numerical,0.3666
LOF,25_musk,numerical,0.4469
LOF,25_musk,numerical,0.3605
LOF,2_annthyroid,numerical,0.7448
LOF,2_annthyroid,numerical,0.7328
LOF,2_annthyroid,numerical,0.712
LOF,2_annthyroid,numerical,0.727
LOF,2_annthyroid,numerical,0.7031
LOF,2_annthyroid,numerical,0.6941
LOF,2_annthyroid,numerical,0.7541
LOF,2_annthyroid,numerical,0.7302
LOF,2_annthyroid,numerical,0.7292
LOF,2_annthyroid,numerical,0.7319
LOF,31_satimage-2,numerical,0.5611
LOF,31_satimage-2,numerical,0.4425
LOF,31_satimage-2,numerical,0.4553
LOF,31_satimage-2,numerical,0.2664
LOF,31_satimage-2,numerical,0.5926
LOF,31_satimage-2,numerical,0.4107
LOF,31_satimage-2,numerical,0.5032
LOF,31_satimage-2,numerical,0.3602
LOF,31_satimage-2,numerical,0.4179
LOF,31_satimage-2,numerical,0.3074
LOF,38_thyroid,numerical,0.649
LOF,38_thyroid,numerical,0.6195
LOF,38_thyroid,numerical,0.6764
LOF,38_thyroid,numerical,0.6334
LOF,38_thyroid,numerical,0.7516
LOF,38_thyroid,numerical,0.686
LOF,38_thyroid,numerical,0.6333
LOF,38_thyroid,numerical,0.7438
LOF,38_thyroid,numerical,0.71
LOF,38_thyroid,numerical,0.6665
LOF,40_vowels,numerical,0.9483
LOF,40_vowels,numerical,0.9237
LOF,40_vowels,numerical,0.916
LOF,40_vowels,numerical,0.9269
LOF,40_vowels,numerical,0.9261
LOF,40_vowels,numerical,0.9774
LOF,40_vowels,numerical,0.9174
LOF,40_vowels,numerical,0.9395
LOF,40_vowels,numerical,0.9294
LOF,40_vowels,numerical,0.9172
LOF,41_Waveform,numerical,0.7219
LOF,41_Waveform,numerical,0.8533
LOF,41_Waveform,numerical,0.7643
LOF,41_Waveform,numerical,0.7704
LOF,41_Waveform,numerical,0.7724
LOF,41_Waveform,numerical,0.7872
LOF,41_Waveform,numerical,0.6759
LOF,41_Waveform,numerical,0.6471
LOF,41_Waveform,numerical,0.805
LOF,41_Waveform,numerical,0.7225
LOF,42_WBC,numerical,0.9271
LOF,42_WBC,numerical,0.9219
LOF,42_WBC,numerical,0.9583
LOF,42_WBC,numerical,0.8854
LOF,42_WBC,numerical,0.9531
LOF,42_WBC,numerical,0.9219
LOF,42_WBC,numerical,0.9323
LOF,42_WBC,numerical,0.8802
LOF,42_WBC,numerical,0.9167
LOF,42_WBC,numerical,0.901
LOF,43_WDBC,numerical,0.9907
LOF,43_WDBC,numerical,0.9907
LOF,43_WDBC,numerical,0.9877
LOF,43_WDBC,numerical,0.9877
LOF,43_WDBC,numerical,1.0
LOF,43_WDBC,numerical,0.9907
LOF,43_WDBC,numerical,0.9722
LOF,43_WDBC,numerical,0.9506
LOF,43_WDBC,numerical,0.9907
LOF,43_WDBC,numerical,0.9722
LOF,44_Wilt,numerical,0.7011
LOF,44_Wilt,numerical,0.6546
LOF,44_Wilt,numerical,0.686
LOF,44_Wilt,numerical,0.6726
LOF,44_Wilt,numerical,0.6968
LOF,44_Wilt,numerical,0.7234
LOF,44_Wilt,numerical,0.6869
LOF,44_Wilt,numerical,0.6599
LOF,44_Wilt,numerical,0.6913
LOF,44_Wilt,numerical,0.7036
IForest,14_glass,numerical,0.7366
IForest,14_glass,numerical,0.6398
IForest,14_glass,numerical,0.7527
IForest,14_glass,numerical,0.6022
IForest,14_glass,numerical,0.6882
IForest,14_glass,numerical,0.8548
IForest,14_glass,numerical,0.6344
IForest,14_glass,numerical,0.7581
IForest,14_glass,numerical,0.7366
IForest,14_glass,numerical,0.7796
IForest,20_letter,numerical,0.6568
IForest,20_letter,numerical,0.5502
IForest,20_letter,numerical,0.6376
IForest,20_letter,numerical,0.6248
IForest,20_letter,numerical,0.5437
IForest,20_letter,numerical,0.584
IForest,20_letter,numerical,0.5893
IForest,20_letter,numerical,0.6414
IForest,20_letter,numerical,0.6915
IForest,20_letter,numerical,0.6284
IForest,25_musk,numerical,0.9995
IForest,25_musk,numerical,0.9986
IForest,25_musk,numerical,0.9972
IForest,25_musk,numerical,0.9992
IForest,25_musk,numerical,0.9996
IForest,25_musk,numerical,0.9976
IForest,25_musk,numerical,0.9997
IForest,25_musk,numerical,0.9943
IForest,25_musk,numerical,0.9995
IForest,25_musk,numerical,0.9989
IForest,2_annthyroid,numerical,0.8066
IForest,2_annthyroid,numerical,0.7723
IForest,2_annthyroid,numerical,0.801
IForest,2_annthyroid,numerical,0.8077
IForest,2_annthyroid,numerical,0.8084
IForest,2_annthyroid,numerical,0.7965
IForest,2_annthyroid,numerical,0.8226
IForest,2_annthyroid,numerical,0.7793
IForest,2_annthyroid,numerical,0.8232
IForest,2_annthyroid,numerical,0.8134
IForest,31_satimage-2,numerical,0.9927
IForest,31_satimage-2,numerical,0.9949
IForest,31_satimage-2,numerical,0.9991
IForest,31_satimage-2,numerical,0.9999
IForest,31_satimage-2,numerical,0.9801
IForest,31_satimage-2,numerical,0.9837
IForest,31_satimage-2,numerical,0.986
IForest,31_satimage-2,numerical,0.998
IForest,31_satimage-2,numerical,0.982
IForest,31_satimage-2,numerical,0.9924
IForest,38_thyroid,numerical,0.985
IForest,38_thyroid,numerical,0.9792
IForest,38_thyroid,numerical,0.9841
IForest,38_thyroid,numerical,0.9811
IForest,38_thyroid,numerical,0.968
IForest,38_thyroid,numerical,0.9682
IForest,38_thyroid,numerical,0.9767
IForest,38_thyroid,numerical,0.9669
IForest,38_thyroid,numerical,0.9798
IForest,38_thyroid,numerical,0.9758
IForest,40_vowels,numerical,0.6779
IForest,40_vowels,numerical,0.7348
IForest,40_vowels,numerical,0.7221
IForest,40_vowels,numerical,0.6809
IForest,40_vowels,numerical,0.585
IForest,40_vowels,numerical,0.6992
IForest,40_vowels,numerical,0.6703
IForest,40_vowels,numerical,0.6673
IForest,40_vowels,numerical,0.7441
IForest,40_vowels,numerical,0.7021
IForest,41_Waveform,numerical,0.7149
IForest,41_Waveform,numerical,0.6524
IForest,41_Waveform,numerical,0.7286
IForest,41_Waveform,numerical,0.6819
IForest,41_Waveform,numerical,0.7573
IForest,41_Waveform,numerical,0.7368
IForest,41_Waveform,numerical,0.7351
IForest,41_Waveform,numerical,0.7803
IForest,41_Waveform,numerical,0.8064
IForest,41_Waveform,numerical,0.6664
IForest,42_WBC,numerical,1.0
IForest,42_WBC,numerical,1.0
IForest,42_WBC,numerical,0.9792
IForest,42_WBC,numerical,0.9844
IForest,42_WBC,numerical,1.0
IForest,42_WBC,numerical,1.0
IForest,42_WBC,numerical,1.0
IForest,42_WBC,numerical,1.0
IForest,42_WBC,numerical,1.0
IForest,42_WBC,numerical,1.0
IForest,43_WDBC,numerical,0.9969
