clf,dataset_name,dataset_type,auc
RSIF,items,seq_of_sets,0.7833
RSIF,items,seq_of_sets,0.7444
RSIF,items,seq_of_sets,0.6944
RSIF,items,seq_of_sets,0.7833
RSIF,items,seq_of_sets,0.9056
RSIF,items,seq_of_sets,0.8944
RSIF,items,seq_of_sets,0.7944
RSIF,items,seq_of_sets,0.8611
RSIF,items,seq_of_sets,0.6667
RSIF,items,seq_of_sets,0.5333
RSIF,length,seq_of_sets,0.7778
RSIF,length,seq_of_sets,0.7444
RSIF,length,seq_of_sets,0.8833
RSIF,length,seq_of_sets,0.8278
RSIF,length,seq_of_sets,0.7722
RSIF,length,seq_of_sets,0.95
RSIF,length,seq_of_sets,0.95
RSIF,length,seq_of_sets,0.6556
RSIF,length,seq_of_sets,0.8944
RSIF,length,seq_of_sets,0.9944
RSIF,order,seq_of_sets,0.4556
RSIF,order,seq_of_sets,0.2278
RSIF,order,seq_of_sets,0.5278
RSIF,order,seq_of_sets,0.7167
RSIF,order,seq_of_sets,0.5611
RSIF,order,seq_of_sets,0.5722
RSIF,order,seq_of_sets,0.7444
RSIF,order,seq_of_sets,0.65
RSIF,order,seq_of_sets,0.5667
RSIF,order,seq_of_sets,0.5722
ISF,items,seq_of_sets,0.75
ISF,items,seq_of_sets,0.7667
ISF,items,seq_of_sets,0.3778
ISF,items,seq_of_sets,0.7
ISF,items,seq_of_sets,0.5167
ISF,items,seq_of_sets,0.6833
ISF,items,seq_of_sets,0.8
ISF,items,seq_of_sets,0.7222
ISF,items,seq_of_sets,0.7556
ISF,items,seq_of_sets,0.5833
ISF,length,seq_of_sets,0.8722
ISF,length,seq_of_sets,0.9778
ISF,length,seq_of_sets,0.8222
ISF,length,seq_of_sets,0.6722
ISF,length,seq_of_sets,0.675
ISF,length,seq_of_sets,0.9556
ISF,length,seq_of_sets,0.9444
ISF,length,seq_of_sets,0.9667
ISF,length,seq_of_sets,0.7611
ISF,length,seq_of_sets,0.9667
ISF,order,seq_of_sets,0.3444
ISF,order,seq_of_sets,0.4389
ISF,order,seq_of_sets,0.5806
ISF,order,seq_of_sets,0.7333
ISF,order,seq_of_sets,0.5222
ISF,order,seq_of_sets,0.1667
ISF,order,seq_of_sets,0.45
ISF,order,seq_of_sets,0.4222
ISF,order,seq_of_sets,0.6
ISF,order,seq_of_sets,0.35
LOF,items,seq_of_sets,0.8222
LOF,items,seq_of_sets,0.8222
LOF,items,seq_of_sets,0.8444
LOF,items,seq_of_sets,0.7222
LOF,items,seq_of_sets,0.9111
LOF,items,seq_of_sets,0.8333
LOF,items,seq_of_sets,0.8278
LOF,items,seq_of_sets,0.9
LOF,items,seq_of_sets,0.8278
LOF,items,seq_of_sets,0.8222
LOF,length,seq_of_sets,0.8833
LOF,length,seq_of_sets,0.9389
LOF,length,seq_of_sets,0.7833
LOF,length,seq_of_sets,0.8
LOF,length,seq_of_sets,0.8167
LOF,length,seq_of_sets,0.9444
LOF,length,seq_of_sets,0.9389
LOF,length,seq_of_sets,0.8611
LOF,length,seq_of_sets,0.8389
LOF,length,seq_of_sets,0.9389
LOF,order,seq_of_sets,0.4556
LOF,order,seq_of_sets,0.3222
LOF,order,seq_of_sets,0.6278
LOF,order,seq_of_sets,0.4
LOF,order,seq_of_sets,0.6167
LOF,order,seq_of_sets,0.3278
LOF,order,seq_of_sets,0.5611
LOF,order,seq_of_sets,0.7222
LOF,order,seq_of_sets,0.7
LOF,order,seq_of_sets,0.6
IForest,items,seq_of_sets,0.7667
IForest,items,seq_of_sets,0.75
IForest,items,seq_of_sets,0.9
IForest,items,seq_of_sets,0.8167
IForest,items,seq_of_sets,0.9278
IForest,items,seq_of_sets,0.8056
IForest,items,seq_of_sets,0.8167
IForest,items,seq_of_sets,0.9
IForest,items,seq_of_sets,0.8944
IForest,items,seq_of_sets,0.7278
IForest,length,seq_of_sets,0.6889
IForest,length,seq_of_sets,0.95
IForest,length,seq_of_sets,0.8944
IForest,length,seq_of_sets,0.7556
IForest,length,seq_of_sets,0.7667
IForest,length,seq_of_sets,0.9611
IForest,length,seq_of_sets,0.9778
IForest,length,seq_of_sets,0.7611
IForest,length,seq_of_sets,0.7833
IForest,length,seq_of_sets,0.9833
IForest,order,seq_of_sets,0.4222
IForest,order,seq_of_sets,0.4389
IForest,order,seq_of_sets,0.5722
IForest,order,seq_of_sets,0.2778
IForest,order,seq_of_sets,0.6111
IForest,order,seq_of_sets,0.3
IForest,order,seq_of_sets,0.55
IForest,order,seq_of_sets,0.85
IForest,order,seq_of_sets,0.6722
IForest,order,seq_of_sets,0.6111
ECOD,items,seq_of_sets,0.8167
ECOD,items,seq_of_sets,0.7944
ECOD,items,seq_of_sets,0.8444
ECOD,items,seq_of_sets,0.7333
ECOD,items,seq_of_sets,0.9278
ECOD,items,seq_of_sets,0.8
ECOD,items,seq_of_sets,0.8389
ECOD,items,seq_of_sets,0.8944
ECOD,items,seq_of_sets,0.8556
ECOD,items,seq_of_sets,0.8556
ECOD,length,seq_of_sets,0.8333
ECOD,length,seq_of_sets,0.9778
ECOD,length,seq_of_sets,0.9111
ECOD,length,seq_of_sets,0.9222
ECOD,length,seq_of_sets,0.8833
ECOD,length,seq_of_sets,0.9556
ECOD,length,seq_of_sets,0.9611
ECOD,length,seq_of_sets,0.8556
ECOD,length,seq_of_sets,0.9333
ECOD,length,seq_of_sets,0.9389
ECOD,order,seq_of_sets,0.4167
ECOD,order,seq_of_sets,0.5
ECOD,order,seq_of_sets,0.6389
ECOD,order,seq_of_sets,0.4
ECOD,order,seq_of_sets,0.6833
ECOD,order,seq_of_sets,0.3944
ECOD,order,seq_of_sets,0.5944
ECOD,order,seq_of_sets,0.8167
ECOD,order,seq_of_sets,0.7556
ECOD,order,seq_of_sets,0.6722
HBOS,items,seq_of_sets,0.8278
HBOS,items,seq_of_sets,0.8056
HBOS,items,seq_of_sets,0.8333
HBOS,items,seq_of_sets,0.7278
HBOS,items,seq_of_sets,0.9278
HBOS,items,seq_of_sets,0.8333
HBOS,items,seq_of_sets,0.8389
HBOS,items,seq_of_sets,0.8944
HBOS,items,seq_of_sets,0.85
HBOS,items,seq_of_sets,0.8278
HBOS,length,seq_of_sets,0.85
HBOS,length,seq_of_sets,0.9722
HBOS,length,seq_of_sets,0.8944
HBOS,length,seq_of_sets,0.9111
HBOS,length,seq_of_sets,0.8944
HBOS,length,seq_of_sets,0.9611
HBOS,length,seq_of_sets,0.95
HBOS,length,seq_of_sets,0.85
HBOS,length,seq_of_sets,0.9333
HBOS,length,seq_of_sets,0.9556
HBOS,order,seq_of_sets,0.3889
HBOS,order,seq_of_sets,0.3833
HBOS,order,seq_of_sets,0.6222
HBOS,order,seq_of_sets,0.3556
HBOS,order,seq_of_sets,0.6778
HBOS,order,seq_of_sets,0.3722
HBOS,order,seq_of_sets,0.5667
HBOS,order,seq_of_sets,0.7722
HBOS,order,seq_of_sets,0.7222
HBOS,order,seq_of_sets,0.6333
