clf,dataset_name,dataset_type,auc
RISF,Earthquakes,timeseries,0.3859
RISF,Earthquakes,timeseries,0.4204
RISF,Earthquakes,timeseries,0.4399
RISF,Earthquakes,timeseries,0.6486
RISF,Earthquakes,timeseries,0.6547
RISF,ECGFiveDays,timeseries,0.6026
RISF,ECGFiveDays,timeseries,0.7207
RISF,ECGFiveDays,timeseries,0.6864
RISF,ECGFiveDays,timeseries,0.666
RISF,ECGFiveDays,timeseries,0.6649
RISF,MiddlePhalanxOutlineCorrect,timeseries,0.5067
RISF,MiddlePhalanxOutlineCorrect,timeseries,0.5074
RISF,MiddlePhalanxOutlineCorrect,timeseries,0.4485
RISF,MiddlePhalanxOutlineCorrect,timeseries,0.4699
RISF,MiddlePhalanxOutlineCorrect,timeseries,0.6854
RISF,SonyAIBORobotSurface1,timeseries,0.6811
RISF,SonyAIBORobotSurface1,timeseries,0.3283
RISF,SonyAIBORobotSurface1,timeseries,0.3321
RISF,SonyAIBORobotSurface1,timeseries,0.2604
RISF,SonyAIBORobotSurface1,timeseries,0.2887
IForest,Earthquakes,timeseries,0.539
IForest,Earthquakes,timeseries,0.536
IForest,Earthquakes,timeseries,0.6306
IForest,Earthquakes,timeseries,0.7252
IForest,Earthquakes,timeseries,0.7267
IForest,ECGFiveDays,timeseries,0.7766
IForest,ECGFiveDays,timeseries,0.9023
IForest,ECGFiveDays,timeseries,0.8249
IForest,ECGFiveDays,timeseries,0.7798
IForest,ECGFiveDays,timeseries,0.7991
IForest,MiddlePhalanxOutlineCorrect,timeseries,0.7671
IForest,MiddlePhalanxOutlineCorrect,timeseries,0.7182
IForest,MiddlePhalanxOutlineCorrect,timeseries,0.5837
IForest,MiddlePhalanxOutlineCorrect,timeseries,0.6814
IForest,MiddlePhalanxOutlineCorrect,timeseries,0.7343
IForest,SonyAIBORobotSurface1,timeseries,0.4509
IForest,SonyAIBORobotSurface1,timeseries,0.4755
IForest,SonyAIBORobotSurface1,timeseries,0.4189
IForest,SonyAIBORobotSurface1,timeseries,0.4472
IForest,SonyAIBORobotSurface1,timeseries,0.417
ISF,Earthquakes,timeseries,0.3453
ISF,Earthquakes,timeseries,0.3994
ISF,Earthquakes,timeseries,0.5
ISF,Earthquakes,timeseries,0.5225
ISF,Earthquakes,timeseries,0.5646
ISF,ECGFiveDays,timeseries,0.4737
ISF,ECGFiveDays,timeseries,0.536
ISF,ECGFiveDays,timeseries,0.4909
ISF,ECGFiveDays,timeseries,0.3394
ISF,ECGFiveDays,timeseries,0.5639
ISF,MiddlePhalanxOutlineCorrect,timeseries,0.3755
ISF,MiddlePhalanxOutlineCorrect,timeseries,0.3681
ISF,MiddlePhalanxOutlineCorrect,timeseries,0.411
ISF,MiddlePhalanxOutlineCorrect,timeseries,0.4605
ISF,MiddlePhalanxOutlineCorrect,timeseries,0.5683
ISF,SonyAIBORobotSurface1,timeseries,0.5698
ISF,SonyAIBORobotSurface1,timeseries,0.6547
ISF,SonyAIBORobotSurface1,timeseries,0.5208
ISF,SonyAIBORobotSurface1,timeseries,0.7226
ISF,SonyAIBORobotSurface1,timeseries,0.5302
ECOD,Earthquakes,timeseries,0.6742
ECOD,Earthquakes,timeseries,0.6081
ECOD,Earthquakes,timeseries,0.5435
ECOD,Earthquakes,timeseries,0.6862
ECOD,Earthquakes,timeseries,0.6006
ECOD,ECGFiveDays,timeseries,0.666
ECOD,ECGFiveDays,timeseries,0.7884
ECOD,ECGFiveDays,timeseries,0.6853
ECOD,ECGFiveDays,timeseries,0.6649
ECOD,ECGFiveDays,timeseries,0.7046
ECOD,MiddlePhalanxOutlineCorrect,timeseries,0.5843
ECOD,MiddlePhalanxOutlineCorrect,timeseries,0.5234
ECOD,MiddlePhalanxOutlineCorrect,timeseries,0.3708
ECOD,MiddlePhalanxOutlineCorrect,timeseries,0.4987
ECOD,MiddlePhalanxOutlineCorrect,timeseries,0.5054
ECOD,SonyAIBORobotSurface1,timeseries,0.417
ECOD,SonyAIBORobotSurface1,timeseries,0.4434
ECOD,SonyAIBORobotSurface1,timeseries,0.2943
ECOD,SonyAIBORobotSurface1,timeseries,0.3811
ECOD,SonyAIBORobotSurface1,timeseries,0.3642
LOF,Earthquakes,timeseries,0.3243
LOF,Earthquakes,timeseries,0.4144
LOF,Earthquakes,timeseries,0.4474
LOF,Earthquakes,timeseries,0.6231
LOF,Earthquakes,timeseries,0.488
LOF,ECGFiveDays,timeseries,0.8507
LOF,ECGFiveDays,timeseries,0.8625
LOF,ECGFiveDays,timeseries,0.9108
LOF,ECGFiveDays,timeseries,0.9323
LOF,ECGFiveDays,timeseries,0.8797
LOF,MiddlePhalanxOutlineCorrect,timeseries,0.7129
LOF,MiddlePhalanxOutlineCorrect,timeseries,0.8146
LOF,MiddlePhalanxOutlineCorrect,timeseries,0.7102
LOF,MiddlePhalanxOutlineCorrect,timeseries,0.7282
LOF,MiddlePhalanxOutlineCorrect,timeseries,0.7423
LOF,SonyAIBORobotSurface1,timeseries,0.7415
LOF,SonyAIBORobotSurface1,timeseries,0.6623
LOF,SonyAIBORobotSurface1,timeseries,0.6509
LOF,SonyAIBORobotSurface1,timeseries,0.7132
LOF,SonyAIBORobotSurface1,timeseries,0.5736
HBOS,Earthquakes,timeseries,0.6141
HBOS,Earthquakes,timeseries,0.5435
HBOS,Earthquakes,timeseries,0.488
HBOS,Earthquakes,timeseries,0.5796
HBOS,Earthquakes,timeseries,0.5901
HBOS,ECGFiveDays,timeseries,0.7573
HBOS,ECGFiveDays,timeseries,0.8464
HBOS,ECGFiveDays,timeseries,0.7551
HBOS,ECGFiveDays,timeseries,0.739
HBOS,ECGFiveDays,timeseries,0.7766
HBOS,MiddlePhalanxOutlineCorrect,timeseries,0.6834
HBOS,MiddlePhalanxOutlineCorrect,timeseries,0.6954
HBOS,MiddlePhalanxOutlineCorrect,timeseries,0.4993
HBOS,MiddlePhalanxOutlineCorrect,timeseries,0.589
HBOS,MiddlePhalanxOutlineCorrect,timeseries,0.6519
HBOS,SonyAIBORobotSurface1,timeseries,0.4717
HBOS,SonyAIBORobotSurface1,timeseries,0.5019
HBOS,SonyAIBORobotSurface1,timeseries,0.3736
HBOS,SonyAIBORobotSurface1,timeseries,0.4189
HBOS,SonyAIBORobotSurface1,timeseries,0.3717
