clf,dataset_name,dataset_type,auc
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,36_speech,numerical,0.4107
IForest,36_speech,numerical,0.5321
IForest,36_speech,numerical,0.3821
IForest,36_speech,numerical,0.424
IForest,36_speech,numerical,0.3416
IForest,36_speech,numerical,0.3357
IForest,36_speech,numerical,0.4646
IForest,36_speech,numerical,0.3215
IForest,36_speech,numerical,0.5315
IForest,36_speech,numerical,0.4416
IForest,6_cardio,numerical,0.9317
IForest,6_cardio,numerical,0.913
IForest,6_cardio,numerical,0.9095
IForest,6_cardio,numerical,0.9173
IForest,6_cardio,numerical,0.9209
IForest,6_cardio,numerical,0.942
IForest,6_cardio,numerical,0.9091
IForest,6_cardio,numerical,0.928
IForest,6_cardio,numerical,0.8867
IForest,6_cardio,numerical,0.9264
IForest,26_optdigits,numerical,0.7305
IForest,26_optdigits,numerical,0.6282
IForest,26_optdigits,numerical,0.7248
IForest,26_optdigits,numerical,0.7912
IForest,26_optdigits,numerical,0.7594
IForest,26_optdigits,numerical,0.7175
IForest,26_optdigits,numerical,0.7558
IForest,26_optdigits,numerical,0.77
IForest,26_optdigits,numerical,0.7648
IForest,26_optdigits,numerical,0.7885
IForest,COX2,graph,0.6436
IForest,COX2,graph,0.5118
IForest,COX2,graph,0.7373
IForest,COX2,graph,0.5536
IForest,COX2,graph,0.6873
IForest,COX2,graph,0.5945
IForest,COX2,graph,0.7355
IForest,COX2,graph,0.5255
IForest,COX2,graph,0.7727
IForest,COX2,graph,0.6891
IForest,BZR,graph,0.6167
IForest,BZR,graph,0.6188
IForest,BZR,graph,0.4875
IForest,BZR,graph,0.625
IForest,BZR,graph,0.4198
IForest,BZR,graph,0.7854
IForest,BZR,graph,0.7125
IForest,BZR,graph,0.6479
IForest,BZR,graph,0.625
IForest,BZR,graph,0.6
IForest,DHFR,graph,0.4132
IForest,DHFR,graph,0.5427
IForest,DHFR,graph,0.4707
IForest,DHFR,graph,0.4265
IForest,DHFR,graph,0.37
IForest,DHFR,graph,0.6043
IForest,DHFR,graph,0.4743
IForest,DHFR,graph,0.5504
IForest,DHFR,graph,0.6023
IForest,DHFR,graph,0.6583
IForest,ad_nominal,binary,0.6964
IForest,ad_nominal,binary,0.7044
IForest,ad_nominal,binary,0.7182
IForest,ad_nominal,binary,0.6927
IForest,ad_nominal,binary,0.684
IForest,ad_nominal,binary,0.7186
IForest,ad_nominal,binary,0.6569
IForest,ad_nominal,binary,0.7155
IForest,ad_nominal,binary,0.717
IForest,ad_nominal,binary,0.6975
IForest,TwoLeadECG,timeseries,0.8806
IForest,TwoLeadECG,timeseries,0.8978
IForest,TwoLeadECG,timeseries,0.8114
IForest,TwoLeadECG,timeseries,0.894
IForest,TwoLeadECG,timeseries,0.7562
IForest,TwoLeadECG,timeseries,0.8914
IForest,TwoLeadECG,timeseries,0.8063
IForest,TwoLeadECG,timeseries,0.7562
IForest,TwoLeadECG,timeseries,0.8095
IForest,TwoLeadECG,timeseries,0.7054
IForest,agnews_1,nlp,0.6737
IForest,agnews_1,nlp,0.7337
IForest,agnews_1,nlp,0.7164
IForest,agnews_1,nlp,0.7479
IForest,agnews_1,nlp,0.7383
IForest,agnews_1,nlp,0.738
IForest,agnews_1,nlp,0.7188
IForest,agnews_1,nlp,0.719
IForest,agnews_1,nlp,0.7434
IForest,agnews_1,nlp,0.7316
