clf,dataset_name,dataset_type,auc,chebyshev_projection-fixed,max_n
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,0.9767,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,0.9767,3.0,3
RSIF,21_Lymphography,numerical,0.9884,3.0,3
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,0.9884,5.0,5
RSIF,21_Lymphography,numerical,0.9884,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,0.9767,5.0,5
RSIF,21_Lymphography,numerical,0.9884,5.0,5
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,0.9884,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,0.9767,0.25,4
RSIF,21_Lymphography,numerical,0.9884,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,0.9767,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,0.9767,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,0.9767,0.75,13
RSIF,21_Lymphography,numerical,0.9767,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,0.9767,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,0.9767,1.0,18
RSIF,21_Lymphography,numerical,0.9767,1.0,18
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,36_speech,numerical,0.3825,2.0,2
RSIF,36_speech,numerical,0.4514,2.0,2
RSIF,36_speech,numerical,0.3825,2.0,2
RSIF,36_speech,numerical,0.4335,2.0,2
RSIF,36_speech,numerical,0.3371,2.0,2
RSIF,36_speech,numerical,0.3611,2.0,2
RSIF,36_speech,numerical,0.4241,2.0,2
RSIF,36_speech,numerical,0.3181,2.0,2
RSIF,36_speech,numerical,0.4696,2.0,2
RSIF,36_speech,numerical,0.4409,2.0,2
RSIF,36_speech,numerical,0.4542,3.0,3
RSIF,36_speech,numerical,0.4551,3.0,3
RSIF,36_speech,numerical,0.4633,3.0,3
RSIF,36_speech,numerical,0.3891,3.0,3
RSIF,36_speech,numerical,0.3877,3.0,3
RSIF,36_speech,numerical,0.3177,3.0,3
RSIF,36_speech,numerical,0.3857,3.0,3
RSIF,36_speech,numerical,0.3662,3.0,3
RSIF,36_speech,numerical,0.4472,3.0,3
RSIF,36_speech,numerical,0.4575,3.0,3
RSIF,36_speech,numerical,0.4339,5.0,5
RSIF,36_speech,numerical,0.5546,5.0,5
RSIF,36_speech,numerical,0.3914,5.0,5
RSIF,36_speech,numerical,0.4759,5.0,5
RSIF,36_speech,numerical,0.4139,5.0,5
RSIF,36_speech,numerical,0.4041,5.0,5
RSIF,36_speech,numerical,0.4042,5.0,5
RSIF,36_speech,numerical,0.3563,5.0,5
RSIF,36_speech,numerical,0.456,5.0,5
RSIF,36_speech,numerical,0.5051,5.0,5
RSIF,36_speech,numerical,0.5051,0.25,100
RSIF,36_speech,numerical,0.445,0.25,100
RSIF,36_speech,numerical,0.481,0.25,100
RSIF,36_speech,numerical,0.4624,0.25,100
RSIF,36_speech,numerical,0.3699,0.25,100
RSIF,36_speech,numerical,0.4156,0.25,100
RSIF,36_speech,numerical,0.497,0.25,100
RSIF,36_speech,numerical,0.3213,0.25,100
RSIF,36_speech,numerical,0.4703,0.25,100
RSIF,36_speech,numerical,0.4913,0.25,100
RSIF,36_speech,numerical,0.5515,0.5,200
RSIF,36_speech,numerical,0.5193,0.5,200
RSIF,36_speech,numerical,0.4521,0.5,200
RSIF,36_speech,numerical,0.4288,0.5,200
RSIF,36_speech,numerical,0.4311,0.5,200
RSIF,36_speech,numerical,0.4491,0.5,200
RSIF,36_speech,numerical,0.5067,0.5,200
RSIF,36_speech,numerical,0.3488,0.5,200
RSIF,36_speech,numerical,0.5429,0.5,200
RSIF,36_speech,numerical,0.4244,0.5,200
RSIF,36_speech,numerical,0.5483,0.75,300
RSIF,36_speech,numerical,0.4585,0.75,300
RSIF,36_speech,numerical,0.4427,0.75,300
RSIF,36_speech,numerical,0.4408,0.75,300
RSIF,36_speech,numerical,0.3626,0.75,300
RSIF,36_speech,numerical,0.4216,0.75,300
RSIF,36_speech,numerical,0.4862,0.75,300
RSIF,36_speech,numerical,0.4499,0.75,300
RSIF,36_speech,numerical,0.4727,0.75,300
RSIF,36_speech,numerical,0.4822,0.75,300
RSIF,36_speech,numerical,0.4312,1.0,400
RSIF,36_speech,numerical,0.4419,1.0,400
RSIF,36_speech,numerical,0.4867,1.0,400
RSIF,36_speech,numerical,0.3921,1.0,400
RSIF,36_speech,numerical,0.4032,1.0,400
RSIF,36_speech,numerical,0.36,1.0,400
RSIF,36_speech,numerical,0.515,1.0,400
RSIF,36_speech,numerical,0.3843,1.0,400
RSIF,36_speech,numerical,0.4768,1.0,400
RSIF,36_speech,numerical,0.5205,1.0,400
RSIF,6_cardio,numerical,0.9642,2.0,2
