clf,dataset_name,dataset_type,auc,chebyshev_projection-not_fixed-max_n,max_n
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,0.9651,2.0,2
RISF,21_Lymphography,numerical,0.907,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,0.9535,2.0,2
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,0.9884,3.0,3
RISF,21_Lymphography,numerical,0.8953,3.0,3
RISF,21_Lymphography,numerical,0.9535,3.0,3
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,0.9884,3.0,3
RISF,21_Lymphography,numerical,0.9419,3.0,3
RISF,21_Lymphography,numerical,0.907,3.0,3
RISF,21_Lymphography,numerical,0.9535,3.0,3
RISF,21_Lymphography,numerical,0.8953,3.0,3
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,0.5,5.0,5
RISF,21_Lymphography,numerical,0.7093,5.0,5
RISF,21_Lymphography,numerical,0.9884,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,0.9186,5.0,5
RISF,21_Lymphography,numerical,0.814,5.0,5
RISF,21_Lymphography,numerical,0.8837,5.0,5
RISF,21_Lymphography,numerical,0.9884,0.25,4
RISF,21_Lymphography,numerical,0.9419,0.25,4
RISF,21_Lymphography,numerical,0.9186,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,0.9884,0.25,4
RISF,21_Lymphography,numerical,0.9186,0.25,4
RISF,21_Lymphography,numerical,0.9419,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,0.9535,0.5,9
RISF,21_Lymphography,numerical,0.8372,0.5,9
RISF,21_Lymphography,numerical,0.8256,0.5,9
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,0.9767,0.5,9
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,0.7674,0.5,9
RISF,21_Lymphography,numerical,0.593,0.5,9
RISF,21_Lymphography,numerical,0.9651,0.5,9
RISF,21_Lymphography,numerical,0.9884,0.75,13
RISF,21_Lymphography,numerical,0.8837,0.75,13
RISF,21_Lymphography,numerical,0.8605,0.75,13
RISF,21_Lymphography,numerical,0.8372,0.75,13
RISF,21_Lymphography,numerical,0.9767,0.75,13
RISF,21_Lymphography,numerical,1.0,0.75,13
RISF,21_Lymphography,numerical,0.9302,0.75,13
RISF,21_Lymphography,numerical,0.9186,0.75,13
RISF,21_Lymphography,numerical,0.7558,0.75,13
RISF,21_Lymphography,numerical,0.7907,0.75,13
RISF,21_Lymphography,numerical,0.9884,1.0,18
RISF,21_Lymphography,numerical,0.8256,1.0,18
RISF,21_Lymphography,numerical,0.8605,1.0,18
RISF,21_Lymphography,numerical,0.8721,1.0,18
RISF,21_Lymphography,numerical,0.8953,1.0,18
RISF,21_Lymphography,numerical,0.9651,1.0,18
RISF,21_Lymphography,numerical,0.9651,1.0,18
RISF,21_Lymphography,numerical,0.8953,1.0,18
RISF,21_Lymphography,numerical,0.5,1.0,18
RISF,21_Lymphography,numerical,0.8953,1.0,18
RISF,36_speech,numerical,0.4373,2.0,2
RISF,36_speech,numerical,0.4336,2.0,2
RISF,36_speech,numerical,0.413,2.0,2
RISF,36_speech,numerical,0.3688,2.0,2
RISF,36_speech,numerical,0.4308,2.0,2
RISF,36_speech,numerical,0.3375,2.0,2
RISF,36_speech,numerical,0.4132,2.0,2
RISF,36_speech,numerical,0.3288,2.0,2
RISF,36_speech,numerical,0.4856,2.0,2
RISF,36_speech,numerical,0.5064,2.0,2
RISF,36_speech,numerical,0.465,3.0,3
RISF,36_speech,numerical,0.5377,3.0,3
RISF,36_speech,numerical,0.3965,3.0,3
RISF,36_speech,numerical,0.4487,3.0,3
RISF,36_speech,numerical,0.3537,3.0,3
RISF,36_speech,numerical,0.319,3.0,3
RISF,36_speech,numerical,0.4132,3.0,3
RISF,36_speech,numerical,0.3759,3.0,3
RISF,36_speech,numerical,0.5013,3.0,3
RISF,36_speech,numerical,0.5196,3.0,3
RISF,36_speech,numerical,0.4602,5.0,5
RISF,36_speech,numerical,0.486,5.0,5
RISF,36_speech,numerical,0.4105,5.0,5
RISF,36_speech,numerical,0.4849,5.0,5
RISF,36_speech,numerical,0.3201,5.0,5
RISF,36_speech,numerical,0.3549,5.0,5
RISF,36_speech,numerical,0.4158,5.0,5
RISF,36_speech,numerical,0.3754,5.0,5
RISF,36_speech,numerical,0.4601,5.0,5
RISF,36_speech,numerical,0.4389,5.0,5
RISF,36_speech,numerical,0.4989,0.25,100
RISF,36_speech,numerical,0.523,0.25,100
RISF,36_speech,numerical,0.3701,0.25,100
RISF,36_speech,numerical,0.4391,0.25,100
RISF,36_speech,numerical,0.4313,0.25,100
RISF,36_speech,numerical,0.3243,0.25,100
RISF,36_speech,numerical,0.4554,0.25,100
RISF,36_speech,numerical,0.353,0.25,100
RISF,36_speech,numerical,0.4395,0.25,100
RISF,36_speech,numerical,0.4794,0.25,100
RISF,36_speech,numerical,0.4088,0.5,200
RISF,36_speech,numerical,0.5174,0.5,200
RISF,36_speech,numerical,0.4188,0.5,200
RISF,36_speech,numerical,0.4984,0.5,200
