clf,dataset_name,dataset_type,auc,chebyshev_projection-not_fixed,max_n
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,0.9767,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,0.9884,3.0,3
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,0.9767,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,0.9767,0.25,4
RSIF,21_Lymphography,numerical,0.9884,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,0.9767,0.75,13
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,0.9767,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,36_speech,numerical,0.3825,2.0,2
RSIF,36_speech,numerical,0.4514,2.0,2
RSIF,36_speech,numerical,0.3825,2.0,2
RSIF,36_speech,numerical,0.4335,2.0,2
RSIF,36_speech,numerical,0.3371,2.0,2
RSIF,36_speech,numerical,0.3611,2.0,2
RSIF,36_speech,numerical,0.4241,2.0,2
RSIF,36_speech,numerical,0.3181,2.0,2
RSIF,36_speech,numerical,0.4696,2.0,2
RSIF,36_speech,numerical,0.4409,2.0,2
RSIF,36_speech,numerical,0.4626,3.0,3
RSIF,36_speech,numerical,0.5096,3.0,3
RSIF,36_speech,numerical,0.454,3.0,3
RSIF,36_speech,numerical,0.4672,3.0,3
RSIF,36_speech,numerical,0.4279,3.0,3
RSIF,36_speech,numerical,0.3679,3.0,3
RSIF,36_speech,numerical,0.4286,3.0,3
RSIF,36_speech,numerical,0.346,3.0,3
RSIF,36_speech,numerical,0.5484,3.0,3
RSIF,36_speech,numerical,0.5054,3.0,3
RSIF,36_speech,numerical,0.4762,5.0,5
RSIF,36_speech,numerical,0.5437,5.0,5
RSIF,36_speech,numerical,0.391,5.0,5
RSIF,36_speech,numerical,0.5205,5.0,5
RSIF,36_speech,numerical,0.3637,5.0,5
RSIF,36_speech,numerical,0.3069,5.0,5
RSIF,36_speech,numerical,0.4478,5.0,5
RSIF,36_speech,numerical,0.3251,5.0,5
RSIF,36_speech,numerical,0.5104,5.0,5
RSIF,36_speech,numerical,0.5045,5.0,5
RSIF,36_speech,numerical,0.4223,0.25,100
RSIF,36_speech,numerical,0.5084,0.25,100
RSIF,36_speech,numerical,0.4282,0.25,100
RSIF,36_speech,numerical,0.3692,0.25,100
RSIF,36_speech,numerical,0.5114,0.25,100
RSIF,36_speech,numerical,0.3964,0.25,100
RSIF,36_speech,numerical,0.4067,0.25,100
RSIF,36_speech,numerical,0.4131,0.25,100
RSIF,36_speech,numerical,0.6001,0.25,100
RSIF,36_speech,numerical,0.4585,0.25,100
RSIF,36_speech,numerical,0.471,0.5,200
RSIF,36_speech,numerical,0.4585,0.5,200
RSIF,36_speech,numerical,0.4645,0.5,200
RSIF,36_speech,numerical,0.3723,0.5,200
RSIF,36_speech,numerical,0.4534,0.5,200
RSIF,36_speech,numerical,0.4753,0.5,200
RSIF,36_speech,numerical,0.4735,0.5,200
RSIF,36_speech,numerical,0.4387,0.5,200
RSIF,36_speech,numerical,0.4815,0.5,200
RSIF,36_speech,numerical,0.4159,0.5,200
RSIF,36_speech,numerical,0.5393,0.75,300
RSIF,36_speech,numerical,0.5855,0.75,300
RSIF,36_speech,numerical,0.4696,0.75,300
RSIF,36_speech,numerical,0.4046,0.75,300
RSIF,36_speech,numerical,0.3449,0.75,300
RSIF,36_speech,numerical,0.4436,0.75,300
RSIF,36_speech,numerical,0.5222,0.75,300
RSIF,36_speech,numerical,0.3827,0.75,300
RSIF,36_speech,numerical,0.4597,0.75,300
RSIF,36_speech,numerical,0.4775,0.75,300
RSIF,36_speech,numerical,0.5606,1.0,400
RSIF,36_speech,numerical,0.474,1.0,400
RSIF,36_speech,numerical,0.4914,1.0,400
RSIF,36_speech,numerical,0.4141,1.0,400
RSIF,36_speech,numerical,0.3767,1.0,400
RSIF,36_speech,numerical,0.3714,1.0,400
RSIF,36_speech,numerical,0.5279,1.0,400
RSIF,36_speech,numerical,0.4072,1.0,400
RSIF,36_speech,numerical,0.4767,1.0,400
RSIF,36_speech,numerical,0.4801,1.0,400
RSIF,6_cardio,numerical,0.9642,2.0,2
