clf,dataset_name,dataset_type,auc,cosine_projection-fixed-max_n,max_n
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,0.9884,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,0.9302,3.0,3
RISF,21_Lymphography,numerical,0.9535,3.0,3
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,0.9535,3.0,3
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,0.9419,3.0,3
RISF,21_Lymphography,numerical,0.8837,3.0,3
RISF,21_Lymphography,numerical,0.8837,5.0,5
RISF,21_Lymphography,numerical,0.8721,5.0,5
RISF,21_Lymphography,numerical,0.8023,5.0,5
RISF,21_Lymphography,numerical,0.6279,5.0,5
RISF,21_Lymphography,numerical,0.9302,5.0,5
RISF,21_Lymphography,numerical,0.9419,5.0,5
RISF,21_Lymphography,numerical,0.8256,5.0,5
RISF,21_Lymphography,numerical,0.7907,5.0,5
RISF,21_Lymphography,numerical,0.5465,5.0,5
RISF,21_Lymphography,numerical,0.7209,5.0,5
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,0.9651,0.25,4
RISF,21_Lymphography,numerical,0.8256,0.25,4
RISF,21_Lymphography,numerical,0.593,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,0.9651,0.25,4
RISF,21_Lymphography,numerical,0.9419,0.25,4
RISF,21_Lymphography,numerical,0.9884,0.25,4
RISF,21_Lymphography,numerical,0.6744,0.25,4
RISF,21_Lymphography,numerical,0.9884,0.25,4
RISF,21_Lymphography,numerical,0.2209,0.5,9
RISF,21_Lymphography,numerical,0.1163,0.5,9
RISF,21_Lymphography,numerical,0.1744,0.5,9
RISF,21_Lymphography,numerical,0.1163,0.5,9
RISF,21_Lymphography,numerical,0.593,0.5,9
RISF,21_Lymphography,numerical,0.2558,0.5,9
RISF,21_Lymphography,numerical,0.4302,0.5,9
RISF,21_Lymphography,numerical,0.2093,0.5,9
RISF,21_Lymphography,numerical,0.2674,0.5,9
RISF,21_Lymphography,numerical,0.3372,0.5,9
RISF,21_Lymphography,numerical,0.3605,0.75,13
RISF,21_Lymphography,numerical,0.0349,0.75,13
RISF,21_Lymphography,numerical,0.5349,0.75,13
RISF,21_Lymphography,numerical,0.2674,0.75,13
RISF,21_Lymphography,numerical,0.1977,0.75,13
RISF,21_Lymphography,numerical,0.407,0.75,13
RISF,21_Lymphography,numerical,0.186,0.75,13
RISF,21_Lymphography,numerical,0.8953,0.75,13
RISF,21_Lymphography,numerical,0.3605,0.75,13
RISF,21_Lymphography,numerical,0.6279,0.75,13
RISF,21_Lymphography,numerical,0.3023,1.0,18
RISF,21_Lymphography,numerical,0.2326,1.0,18
RISF,21_Lymphography,numerical,0.2791,1.0,18
RISF,21_Lymphography,numerical,0.6279,1.0,18
RISF,21_Lymphography,numerical,0.1977,1.0,18
RISF,21_Lymphography,numerical,0.1977,1.0,18
RISF,21_Lymphography,numerical,0.4884,1.0,18
RISF,21_Lymphography,numerical,0.093,1.0,18
RISF,21_Lymphography,numerical,0.4419,1.0,18
RISF,21_Lymphography,numerical,0.2093,1.0,18
RISF,36_speech,numerical,0.4028,2.0,2
RISF,36_speech,numerical,0.5396,2.0,2
RISF,36_speech,numerical,0.4168,2.0,2
RISF,36_speech,numerical,0.3952,2.0,2
RISF,36_speech,numerical,0.5421,2.0,2
RISF,36_speech,numerical,0.461,2.0,2
RISF,36_speech,numerical,0.4394,2.0,2
RISF,36_speech,numerical,0.5266,2.0,2
RISF,36_speech,numerical,0.5036,2.0,2
RISF,36_speech,numerical,0.5226,2.0,2
RISF,36_speech,numerical,0.5356,3.0,3
RISF,36_speech,numerical,0.5017,3.0,3
RISF,36_speech,numerical,0.327,3.0,3
RISF,36_speech,numerical,0.4876,3.0,3
RISF,36_speech,numerical,0.4817,3.0,3
RISF,36_speech,numerical,0.4817,3.0,3
RISF,36_speech,numerical,0.5732,3.0,3
RISF,36_speech,numerical,0.6311,3.0,3
RISF,36_speech,numerical,0.4841,3.0,3
RISF,36_speech,numerical,0.5167,3.0,3
RISF,36_speech,numerical,0.4746,5.0,5
RISF,36_speech,numerical,0.4636,5.0,5
RISF,36_speech,numerical,0.4434,5.0,5
RISF,36_speech,numerical,0.5166,5.0,5
RISF,36_speech,numerical,0.6283,5.0,5
RISF,36_speech,numerical,0.4901,5.0,5
RISF,36_speech,numerical,0.6476,5.0,5
RISF,36_speech,numerical,0.3543,5.0,5
RISF,36_speech,numerical,0.4578,5.0,5
RISF,36_speech,numerical,0.4899,5.0,5
RISF,36_speech,numerical,0.5125,0.25,100
RISF,36_speech,numerical,0.5253,0.25,100
RISF,36_speech,numerical,0.4694,0.25,100
RISF,36_speech,numerical,0.5776,0.25,100
RISF,36_speech,numerical,0.6068,0.25,100
RISF,36_speech,numerical,0.3132,0.25,100
RISF,36_speech,numerical,0.4074,0.25,100
RISF,36_speech,numerical,0.4585,0.25,100
RISF,36_speech,numerical,0.5044,0.25,100
RISF,36_speech,numerical,0.4503,0.25,100
RISF,36_speech,numerical,0.618,0.5,200
RISF,36_speech,numerical,0.444,0.5,200
RISF,36_speech,numerical,0.4346,0.5,200
RISF,36_speech,numerical,0.6262,0.5,200
RISF,36_speech,numerical,0.5747,0.5,200
RISF,36_speech,numerical,0.5839,0.5,200
RISF,36_speech,numerical,0.4964,0.5,200
RISF,36_speech,numerical,0.4535,0.5,200
RISF,36_speech,numerical,0.4494,0.5,200
RISF,36_speech,numerical,0.4021,0.5,200
RISF,36_speech,numerical,0.4085,0.75,300
RISF,36_speech,numerical,0.3327,0.75,300
RISF,36_speech,numerical,0.3797,0.75,300
RISF,36_speech,numerical,0.3878,0.75,300
RISF,36_speech,numerical,0.6241,0.75,300
RISF,36_speech,numerical,0.4376,0.75,300
RISF,36_speech,numerical,0.4886,0.75,300
RISF,36_speech,numerical,0.443,0.75,300
RISF,36_speech,numerical,0.5311,0.75,300
RISF,36_speech,numerical,0.5222,0.75,300
RISF,36_speech,numerical,0.4402,1.0,400
RISF,36_speech,numerical,0.4429,1.0,400
RISF,36_speech,numerical,0.4831,1.0,400
RISF,36_speech,numerical,0.4436,1.0,400
RISF,36_speech,numerical,0.5228,1.0,400
RISF,36_speech,numerical,0.3977,1.0,400
RISF,36_speech,numerical,0.3989,1.0,400
RISF,36_speech,numerical,0.519,1.0,400
RISF,36_speech,numerical,0.5555,1.0,400
RISF,36_speech,numerical,0.4636,1.0,400
RISF,6_cardio,numerical,0.5373,2.0,2
RISF,6_cardio,numerical,0.3981,2.0,2
RISF,6_cardio,numerical,0.5187,2.0,2
RISF,6_cardio,numerical,0.4739,2.0,2
RISF,6_cardio,numerical,0.4809,2.0,2
RISF,6_cardio,numerical,0.6125,2.0,2
RISF,6_cardio,numerical,0.575,2.0,2
RISF,6_cardio,numerical,0.5102,2.0,2
RISF,6_cardio,numerical,0.5391,2.0,2
RISF,6_cardio,numerical,0.5132,2.0,2
RISF,6_cardio,numerical,0.519,3.0,3
RISF,6_cardio,numerical,0.4514,3.0,3
RISF,6_cardio,numerical,0.4905,3.0,3
RISF,6_cardio,numerical,0.4441,3.0,3
RISF,6_cardio,numerical,0.5732,3.0,3
RISF,6_cardio,numerical,0.5977,3.0,3
RISF,6_cardio,numerical,0.5766,3.0,3
RISF,6_cardio,numerical,0.5546,3.0,3
