clf,dataset_name,dataset_type,auc,manhattan_projection-not_fixed,max_n
RSIF,21_Lymphography,numerical,1.0,1.0,1
RSIF,21_Lymphography,numerical,1.0,1.0,1
RSIF,21_Lymphography,numerical,1.0,1.0,1
RSIF,21_Lymphography,numerical,1.0,1.0,1
RSIF,21_Lymphography,numerical,1.0,1.0,1
RSIF,21_Lymphography,numerical,1.0,1.0,1
RSIF,21_Lymphography,numerical,1.0,1.0,1
RSIF,21_Lymphography,numerical,1.0,1.0,1
RSIF,21_Lymphography,numerical,1.0,1.0,1
RSIF,21_Lymphography,numerical,0.9884,1.0,1
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,0.9884,2.0,2
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
