clf,dataset_name,dataset_type,auc,max_samples
RSIF,21_Lymphography,numerical,1.0,64
RSIF,21_Lymphography,numerical,0.9767,64
RSIF,21_Lymphography,numerical,0.9884,64
RSIF,21_Lymphography,numerical,1.0,64
RSIF,21_Lymphography,numerical,0.907,64
RSIF,21_Lymphography,numerical,0.8488,64
RSIF,21_Lymphography,numerical,1.0,64
RSIF,21_Lymphography,numerical,0.9884,64
RSIF,21_Lymphography,numerical,0.9535,64
RSIF,21_Lymphography,numerical,0.9767,64
RSIF,21_Lymphography,numerical,0.9535,128
RSIF,21_Lymphography,numerical,0.7209,128
RSIF,21_Lymphography,numerical,0.9302,128
RSIF,21_Lymphography,numerical,1.0,128
RSIF,21_Lymphography,numerical,0.8837,128
RSIF,21_Lymphography,numerical,0.9767,128
RSIF,21_Lymphography,numerical,1.0,128
RSIF,21_Lymphography,numerical,1.0,128
RSIF,21_Lymphography,numerical,0.9419,128
RSIF,21_Lymphography,numerical,0.9767,128
RSIF,21_Lymphography,numerical,0.9767,256
RSIF,21_Lymphography,numerical,0.9535,256
RSIF,21_Lymphography,numerical,0.9651,256
RSIF,21_Lymphography,numerical,1.0,256
RSIF,21_Lymphography,numerical,0.814,256
RSIF,21_Lymphography,numerical,1.0,256
RSIF,21_Lymphography,numerical,0.9419,256
RSIF,21_Lymphography,numerical,0.9884,256
RSIF,21_Lymphography,numerical,0.9767,256
RSIF,21_Lymphography,numerical,0.9884,256
RSIF,21_Lymphography,numerical,1.0,512
RSIF,21_Lymphography,numerical,1.0,512
RSIF,21_Lymphography,numerical,0.9419,512
RSIF,21_Lymphography,numerical,1.0,512
RSIF,21_Lymphography,numerical,1.0,512
RSIF,21_Lymphography,numerical,1.0,512
RSIF,21_Lymphography,numerical,0.9651,512
RSIF,21_Lymphography,numerical,1.0,512
RSIF,21_Lymphography,numerical,0.9651,512
RSIF,21_Lymphography,numerical,0.9767,512
RSIF,36_speech,numerical,0.3142,64
RSIF,36_speech,numerical,0.573,64
RSIF,36_speech,numerical,0.4596,64
RSIF,36_speech,numerical,0.3792,64
RSIF,36_speech,numerical,0.4114,64
RSIF,36_speech,numerical,0.3531,64
RSIF,36_speech,numerical,0.4067,64
RSIF,36_speech,numerical,0.3203,64
RSIF,36_speech,numerical,0.4549,64
RSIF,36_speech,numerical,0.4491,64
RSIF,36_speech,numerical,0.4681,128
RSIF,36_speech,numerical,0.5802,128
RSIF,36_speech,numerical,0.3981,128
RSIF,36_speech,numerical,0.3054,128
RSIF,36_speech,numerical,0.3814,128
RSIF,36_speech,numerical,0.4771,128
RSIF,36_speech,numerical,0.4876,128
RSIF,36_speech,numerical,0.4405,128
RSIF,36_speech,numerical,0.5571,128
RSIF,36_speech,numerical,0.5596,128
RSIF,36_speech,numerical,0.4167,256
RSIF,36_speech,numerical,0.4939,256
RSIF,36_speech,numerical,0.3725,256
RSIF,36_speech,numerical,0.385,256
RSIF,36_speech,numerical,0.4695,256
RSIF,36_speech,numerical,0.3749,256
RSIF,36_speech,numerical,0.407,256
RSIF,36_speech,numerical,0.5033,256
RSIF,36_speech,numerical,0.4804,256
RSIF,36_speech,numerical,0.4413,256
RSIF,36_speech,numerical,0.4769,512
RSIF,36_speech,numerical,0.641,512
RSIF,36_speech,numerical,0.2927,512
RSIF,36_speech,numerical,0.4087,512
RSIF,36_speech,numerical,0.4259,512
RSIF,36_speech,numerical,0.5149,512
RSIF,36_speech,numerical,0.4853,512
RSIF,36_speech,numerical,0.3649,512
RSIF,36_speech,numerical,0.4693,512
RSIF,36_speech,numerical,0.4292,512
RSIF,6_cardio,numerical,0.9687,64
