clf,dataset_name,dataset_type,auc
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,21_Lymphography,numerical,1.0
RSIF,36_speech,numerical,0.3827
RSIF,36_speech,numerical,0.5417
RSIF,36_speech,numerical,0.3858
RSIF,36_speech,numerical,0.4211
RSIF,36_speech,numerical,0.3368
RSIF,36_speech,numerical,0.3291
RSIF,36_speech,numerical,0.4295
RSIF,36_speech,numerical,0.3298
RSIF,36_speech,numerical,0.4691
RSIF,36_speech,numerical,0.4549
RSIF,6_cardio,numerical,0.9492
RSIF,6_cardio,numerical,0.9257
RSIF,6_cardio,numerical,0.9267
RSIF,6_cardio,numerical,0.9101
RSIF,6_cardio,numerical,0.9367
RSIF,6_cardio,numerical,0.9521
RSIF,6_cardio,numerical,0.9243
RSIF,6_cardio,numerical,0.9357
RSIF,6_cardio,numerical,0.8956
RSIF,6_cardio,numerical,0.9245
RSIF,26_optdigits,numerical,0.7008
RSIF,26_optdigits,numerical,0.6588
RSIF,26_optdigits,numerical,0.5791
RSIF,26_optdigits,numerical,0.7107
RSIF,26_optdigits,numerical,0.7201
RSIF,26_optdigits,numerical,0.5725
RSIF,26_optdigits,numerical,0.6074
RSIF,26_optdigits,numerical,0.6514
RSIF,26_optdigits,numerical,0.7438
RSIF,26_optdigits,numerical,0.5871
RSIF,COX2,graph,0.66
RSIF,COX2,graph,0.5482
RSIF,COX2,graph,0.7027
RSIF,COX2,graph,0.5627
RSIF,COX2,graph,0.5809
RSIF,COX2,graph,0.6618
RSIF,COX2,graph,0.7982
RSIF,COX2,graph,0.3991
RSIF,COX2,graph,0.7727
RSIF,COX2,graph,0.6764
RSIF,BZR,graph,0.5979
RSIF,BZR,graph,0.6615
RSIF,BZR,graph,0.4031
RSIF,BZR,graph,0.5396
RSIF,BZR,graph,0.5094
RSIF,BZR,graph,0.7896
RSIF,BZR,graph,0.7531
RSIF,BZR,graph,0.8417
RSIF,BZR,graph,0.724
RSIF,BZR,graph,0.5844
RSIF,DHFR,graph,0.518
RSIF,DHFR,graph,0.5581
RSIF,DHFR,graph,0.4923
RSIF,DHFR,graph,0.4995
RSIF,DHFR,graph,0.4018
RSIF,DHFR,graph,0.5344
RSIF,DHFR,graph,0.4794
RSIF,DHFR,graph,0.5755
RSIF,DHFR,graph,0.6922
RSIF,DHFR,graph,0.6655
RSIF,ad_nominal,binary,0.6936
RSIF,ad_nominal,binary,0.7166
RSIF,ad_nominal,binary,0.7509
RSIF,ad_nominal,binary,0.7104
RSIF,ad_nominal,binary,0.7235
RSIF,ad_nominal,binary,0.7312
RSIF,ad_nominal,binary,0.7229
RSIF,ad_nominal,binary,0.7372
RSIF,ad_nominal,binary,0.7872
RSIF,ad_nominal,binary,0.6349
RSIF,TwoLeadECG,timeseries,0.8641
RSIF,TwoLeadECG,timeseries,0.8889
RSIF,TwoLeadECG,timeseries,0.8197
RSIF,TwoLeadECG,timeseries,0.8743
RSIF,TwoLeadECG,timeseries,0.8184
RSIF,TwoLeadECG,timeseries,0.8667
RSIF,TwoLeadECG,timeseries,0.8705
RSIF,TwoLeadECG,timeseries,0.8
RSIF,TwoLeadECG,timeseries,0.7714
RSIF,TwoLeadECG,timeseries,0.7225
RSIF,agnews_1,nlp,0.7137
RSIF,agnews_1,nlp,0.761
RSIF,agnews_1,nlp,0.7228
RSIF,agnews_1,nlp,0.737
RSIF,agnews_1,nlp,0.7554
RSIF,agnews_1,nlp,0.7531
RSIF,agnews_1,nlp,0.7371
RSIF,agnews_1,nlp,0.7084
RSIF,agnews_1,nlp,0.7636
RSIF,agnews_1,nlp,0.7256
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,36_speech,numerical,0.4107
IForest,36_speech,numerical,0.5321
IForest,36_speech,numerical,0.3821
IForest,36_speech,numerical,0.424
IForest,36_speech,numerical,0.3416
IForest,36_speech,numerical,0.3357
IForest,36_speech,numerical,0.4646
IForest,36_speech,numerical,0.3215
IForest,36_speech,numerical,0.5315
IForest,36_speech,numerical,0.4416
IForest,6_cardio,numerical,0.9317
IForest,6_cardio,numerical,0.913
IForest,6_cardio,numerical,0.9095
IForest,6_cardio,numerical,0.9173
IForest,6_cardio,numerical,0.9209
IForest,6_cardio,numerical,0.942
IForest,6_cardio,numerical,0.9091
IForest,6_cardio,numerical,0.928
IForest,6_cardio,numerical,0.8867
IForest,6_cardio,numerical,0.9264
IForest,26_optdigits,numerical,0.7305
IForest,26_optdigits,numerical,0.6282
IForest,26_optdigits,numerical,0.7248
IForest,26_optdigits,numerical,0.7912
IForest,26_optdigits,numerical,0.7594
IForest,26_optdigits,numerical,0.7175
IForest,26_optdigits,numerical,0.7558
IForest,26_optdigits,numerical,0.77
IForest,26_optdigits,numerical,0.7648
IForest,26_optdigits,numerical,0.7885
IForest,COX2,graph,0.6436
IForest,COX2,graph,0.5118
IForest,COX2,graph,0.7373
IForest,COX2,graph,0.5536
IForest,COX2,graph,0.6873
IForest,COX2,graph,0.5945
IForest,COX2,graph,0.7355
IForest,COX2,graph,0.5255
IForest,COX2,graph,0.7727
IForest,COX2,graph,0.6891
IForest,BZR,graph,0.6167
IForest,BZR,graph,0.6188
IForest,BZR,graph,0.4875
IForest,BZR,graph,0.625
IForest,BZR,graph,0.4198
IForest,BZR,graph,0.7854
IForest,BZR,graph,0.7125
IForest,BZR,graph,0.6479
IForest,BZR,graph,0.625
IForest,BZR,graph,0.6
IForest,DHFR,graph,0.4132
IForest,DHFR,graph,0.5427
IForest,DHFR,graph,0.4707
IForest,DHFR,graph,0.4265
IForest,DHFR,graph,0.37
IForest,DHFR,graph,0.6043
IForest,DHFR,graph,0.4743
IForest,DHFR,graph,0.5504
IForest,DHFR,graph,0.6023
IForest,DHFR,graph,0.6583
IForest,ad_nominal,binary,0.6964
IForest,ad_nominal,binary,0.7044
IForest,ad_nominal,binary,0.7182
IForest,ad_nominal,binary,0.6927
IForest,ad_nominal,binary,0.684
IForest,ad_nominal,binary,0.7186
IForest,ad_nominal,binary,0.6569
IForest,ad_nominal,binary,0.7155
IForest,ad_nominal,binary,0.717
IForest,ad_nominal,binary,0.6975
IForest,TwoLeadECG,timeseries,0.8806
IForest,TwoLeadECG,timeseries,0.8978
IForest,TwoLeadECG,timeseries,0.8114
IForest,TwoLeadECG,timeseries,0.894
IForest,TwoLeadECG,timeseries,0.7562
IForest,TwoLeadECG,timeseries,0.8914
IForest,TwoLeadECG,timeseries,0.8063
IForest,TwoLeadECG,timeseries,0.7562
IForest,TwoLeadECG,timeseries,0.8095
IForest,TwoLeadECG,timeseries,0.7054
IForest,agnews_1,nlp,0.6737
IForest,agnews_1,nlp,0.7337
IForest,agnews_1,nlp,0.7164
IForest,agnews_1,nlp,0.7479
IForest,agnews_1,nlp,0.7383
IForest,agnews_1,nlp,0.738
IForest,agnews_1,nlp,0.7188
IForest,agnews_1,nlp,0.719
IForest,agnews_1,nlp,0.7434
IForest,agnews_1,nlp,0.7316
