clf,dataset_name,dataset_type,auc,pairs_strategy,distance
RSIF,21_Lymphography,numerical,1.0,random,Manh
RSIF,21_Lymphography,numerical,1.0,random,Manh
RSIF,21_Lymphography,numerical,0.9767,random,Manh
RSIF,21_Lymphography,numerical,1.0,random,Manh
RSIF,21_Lymphography,numerical,0.7558,random,Manh
RSIF,21_Lymphography,numerical,0.6628,random,Manh
RSIF,21_Lymphography,numerical,1.0,random,Manh
RSIF,21_Lymphography,numerical,0.8837,random,Manh
RSIF,21_Lymphography,numerical,0.9651,random,Manh
RSIF,21_Lymphography,numerical,0.9767,random,Manh
RSIF,21_Lymphography,numerical,0.9535,random,Eucl
RSIF,21_Lymphography,numerical,0.9767,random,Eucl
RSIF,21_Lymphography,numerical,0.9419,random,Eucl
RSIF,21_Lymphography,numerical,1.0,random,Eucl
RSIF,21_Lymphography,numerical,0.9884,random,Eucl
RSIF,21_Lymphography,numerical,1.0,random,Eucl
RSIF,21_Lymphography,numerical,1.0,random,Eucl
RSIF,21_Lymphography,numerical,1.0,random,Eucl
RSIF,21_Lymphography,numerical,0.9419,random,Eucl
RSIF,21_Lymphography,numerical,0.9767,random,Eucl
RSIF,21_Lymphography,numerical,0.1977,random,Cosi
RSIF,21_Lymphography,numerical,0.0581,random,Cosi
RSIF,21_Lymphography,numerical,0.1744,random,Cosi
RSIF,21_Lymphography,numerical,0.1628,random,Cosi
RSIF,21_Lymphography,numerical,0.3256,random,Cosi
RSIF,21_Lymphography,numerical,0.1628,random,Cosi
RSIF,21_Lymphography,numerical,0.1744,random,Cosi
RSIF,21_Lymphography,numerical,0.093,random,Cosi
RSIF,21_Lymphography,numerical,0.1744,random,Cosi
RSIF,21_Lymphography,numerical,0.1512,random,Cosi
RSIF,21_Lymphography,numerical,1.0,random,Cheb
RSIF,21_Lymphography,numerical,0.9767,random,Cheb
RSIF,21_Lymphography,numerical,1.0,random,Cheb
RSIF,21_Lymphography,numerical,0.9884,random,Cheb
RSIF,21_Lymphography,numerical,1.0,random,Cheb
RSIF,21_Lymphography,numerical,1.0,random,Cheb
RSIF,21_Lymphography,numerical,0.9651,random,Cheb
RSIF,21_Lymphography,numerical,0.9884,random,Cheb
RSIF,21_Lymphography,numerical,0.9767,random,Cheb
RSIF,21_Lymphography,numerical,1.0,random,Cheb
RSIF,21_Lymphography,numerical,0.9884,global,Manh
RSIF,21_Lymphography,numerical,0.9767,global,Manh
RSIF,21_Lymphography,numerical,0.9884,global,Manh
RSIF,21_Lymphography,numerical,1.0,global,Manh
RSIF,21_Lymphography,numerical,1.0,global,Manh
RSIF,21_Lymphography,numerical,0.9186,global,Manh
RSIF,21_Lymphography,numerical,0.9884,global,Manh
RSIF,21_Lymphography,numerical,0.9884,global,Manh
RSIF,21_Lymphography,numerical,0.9302,global,Manh
RSIF,21_Lymphography,numerical,0.9535,global,Manh
RSIF,21_Lymphography,numerical,0.9884,global,Eucl
RSIF,21_Lymphography,numerical,1.0,global,Eucl
RSIF,21_Lymphography,numerical,1.0,global,Eucl
RSIF,21_Lymphography,numerical,0.8721,global,Eucl
RSIF,21_Lymphography,numerical,1.0,global,Eucl
RSIF,21_Lymphography,numerical,1.0,global,Eucl
RSIF,21_Lymphography,numerical,0.9884,global,Eucl
RSIF,21_Lymphography,numerical,1.0,global,Eucl
RSIF,21_Lymphography,numerical,0.9419,global,Eucl
RSIF,21_Lymphography,numerical,1.0,global,Eucl
RSIF,21_Lymphography,numerical,0.314,global,Cosi
RSIF,21_Lymphography,numerical,0.0814,global,Cosi
RSIF,21_Lymphography,numerical,0.0,global,Cosi
RSIF,21_Lymphography,numerical,0.1047,global,Cosi
RSIF,21_Lymphography,numerical,0.3023,global,Cosi
RSIF,21_Lymphography,numerical,0.1163,global,Cosi
RSIF,21_Lymphography,numerical,0.1512,global,Cosi
RSIF,21_Lymphography,numerical,0.1163,global,Cosi
RSIF,21_Lymphography,numerical,0.1744,global,Cosi
RSIF,21_Lymphography,numerical,0.0814,global,Cosi
RSIF,21_Lymphography,numerical,1.0,local,Manh
RSIF,21_Lymphography,numerical,0.7791,local,Manh
RSIF,21_Lymphography,numerical,0.9884,local,Manh
RSIF,21_Lymphography,numerical,0.9884,local,Manh
RSIF,21_Lymphography,numerical,0.9767,local,Manh
RSIF,21_Lymphography,numerical,0.7907,local,Manh
RSIF,21_Lymphography,numerical,0.9884,local,Manh
RSIF,21_Lymphography,numerical,0.9884,local,Manh
RSIF,21_Lymphography,numerical,0.9651,local,Manh
RSIF,21_Lymphography,numerical,0.9651,local,Manh
RSIF,21_Lymphography,numerical,0.9419,local,Eucl
RSIF,21_Lymphography,numerical,0.9767,local,Eucl
RSIF,21_Lymphography,numerical,1.0,local,Eucl
RSIF,21_Lymphography,numerical,0.9302,local,Eucl
RSIF,21_Lymphography,numerical,1.0,local,Eucl
RSIF,21_Lymphography,numerical,1.0,local,Eucl
RSIF,21_Lymphography,numerical,1.0,local,Eucl
RSIF,21_Lymphography,numerical,0.9884,local,Eucl
RSIF,21_Lymphography,numerical,0.9535,local,Eucl
RSIF,21_Lymphography,numerical,0.9884,local,Eucl
RSIF,21_Lymphography,numerical,0.0581,local,Cosi
RSIF,21_Lymphography,numerical,0.1395,local,Cosi
RSIF,21_Lymphography,numerical,0.2442,local,Cosi
RSIF,21_Lymphography,numerical,0.6279,local,Cosi
RSIF,21_Lymphography,numerical,0.7209,local,Cosi
RSIF,21_Lymphography,numerical,0.093,local,Cosi
RSIF,21_Lymphography,numerical,0.3488,local,Cosi
RSIF,21_Lymphography,numerical,0.2326,local,Cosi
RSIF,21_Lymphography,numerical,0.4302,local,Cosi
RSIF,21_Lymphography,numerical,0.5581,local,Cosi
RSIF,21_Lymphography,numerical,1.0,local,Cheb
RSIF,21_Lymphography,numerical,1.0,local,Cheb
RSIF,21_Lymphography,numerical,1.0,local,Cheb
RSIF,21_Lymphography,numerical,1.0,local,Cheb
RSIF,21_Lymphography,numerical,1.0,local,Cheb
RSIF,21_Lymphography,numerical,1.0,local,Cheb
RSIF,21_Lymphography,numerical,0.9884,local,Cheb
