clf,dataset_name,dataset_type,auc
IForest,p53,graph,0.4409
IForest,p53,graph,0.4797
IForest,p53,graph,0.4466
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,36_speech,numerical,0.4105
IForest,36_speech,numerical,0.5297
IForest,36_speech,numerical,0.3789
IForest,6_cardio,numerical,0.9495
IForest,6_cardio,numerical,0.9259
IForest,6_cardio,numerical,0.903
IForest,26_optdigits,numerical,0.6491
IForest,26_optdigits,numerical,0.6776
IForest,26_optdigits,numerical,0.7325
IForest,ad_nominal,categorical,0.703
IForest,ad_nominal,categorical,0.6838
IForest,ad_nominal,categorical,0.7449
IForest,TwoLeadECG,timeseries,0.8743
IForest,TwoLeadECG,timeseries,0.873
IForest,TwoLeadECG,timeseries,0.8337
IForest,agnews_1,nlp,0.6624
IForest,agnews_1,nlp,0.718
IForest,agnews_1,nlp,0.6999
RISF,p53,graph,0.4196
RISF,p53,graph,0.4817
RISF,p53,graph,0.5215
RISF,21_Lymphography,numerical,1.0
RISF,21_Lymphography,numerical,0.9419
RISF,21_Lymphography,numerical,0.9884
RISF,36_speech,numerical,0.4396
RISF,36_speech,numerical,0.5992
RISF,36_speech,numerical,0.3946
RISF,6_cardio,numerical,0.9379
RISF,6_cardio,numerical,0.921
RISF,6_cardio,numerical,0.9209
RISF,26_optdigits,numerical,0.72
RISF,26_optdigits,numerical,0.6892
RISF,26_optdigits,numerical,0.7019
RISF,ad_nominal,categorical,0.5413
RISF,ad_nominal,categorical,0.6806
RISF,ad_nominal,categorical,0.5057
RISF,TwoLeadECG,timeseries,0.8463
RISF,TwoLeadECG,timeseries,0.8686
RISF,TwoLeadECG,timeseries,0.621
RISF,agnews_1,nlp,0.4008
RISF,agnews_1,nlp,0.3635
RISF,agnews_1,nlp,0.3511
ISF,p53,graph,0.6146
ISF,p53,graph,0.6349
ISF,p53,graph,0.6488
ISF,21_Lymphography,numerical,0.7326
ISF,21_Lymphography,numerical,0.7151
ISF,21_Lymphography,numerical,0.9419
ISF,36_speech,numerical,0.4027
ISF,36_speech,numerical,0.5369
ISF,36_speech,numerical,0.4017
ISF,6_cardio,numerical,0.9535
ISF,6_cardio,numerical,0.954
ISF,6_cardio,numerical,0.9165
ISF,26_optdigits,numerical,0.2906
ISF,26_optdigits,numerical,0.3606
ISF,26_optdigits,numerical,0.3086
ISF,ad_nominal,categorical,0.6002
ISF,ad_nominal,categorical,0.6995
ISF,ad_nominal,categorical,0.6291
ISF,TwoLeadECG,timeseries,0.8489
ISF,TwoLeadECG,timeseries,0.8438
ISF,TwoLeadECG,timeseries,0.6654
ISF,agnews_1,nlp,0.3988
ISF,agnews_1,nlp,0.5104
ISF,agnews_1,nlp,0.5318
