clf,dataset_name,dataset_type,auc
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,36_speech,numerical,0.4105
IForest,36_speech,numerical,0.5297
IForest,36_speech,numerical,0.3789
IForest,36_speech,numerical,0.4401
IForest,36_speech,numerical,0.3307
IForest,6_cardio,numerical,0.9495
IForest,6_cardio,numerical,0.9259
IForest,6_cardio,numerical,0.903
IForest,6_cardio,numerical,0.9279
IForest,6_cardio,numerical,0.9279
IForest,26_optdigits,numerical,0.6491
IForest,26_optdigits,numerical,0.6776
IForest,26_optdigits,numerical,0.7325
IForest,26_optdigits,numerical,0.7455
IForest,26_optdigits,numerical,0.7101
IForest,COX2,graph,0.6436
IForest,COX2,graph,0.4773
IForest,COX2,graph,0.7173
IForest,COX2,graph,0.5264
IForest,COX2,graph,0.6655
IForest,BZR,graph,0.6167
IForest,BZR,graph,0.6188
IForest,BZR,graph,0.4875
IForest,BZR,graph,0.625
IForest,BZR,graph,0.4198
IForest,DHFR,graph,0.4573
IForest,DHFR,graph,0.5529
IForest,DHFR,graph,0.4656
IForest,DHFR,graph,0.4193
IForest,DHFR,graph,0.3607
IForest,ad_nominal,binary,0.703
IForest,ad_nominal,binary,0.6838
IForest,ad_nominal,binary,0.7449
IForest,ad_nominal,binary,0.7146
IForest,ad_nominal,binary,0.7082
IForest,TwoLeadECG,timeseries,0.8743
IForest,TwoLeadECG,timeseries,0.873
IForest,TwoLeadECG,timeseries,0.8337
IForest,TwoLeadECG,timeseries,0.9067
IForest,TwoLeadECG,timeseries,0.7473
IForest,agnews_1,nlp,0.6624
IForest,agnews_1,nlp,0.718
IForest,agnews_1,nlp,0.6999
IForest,agnews_1,nlp,0.7148
IForest,agnews_1,nlp,0.7545
