clf,dataset_name,dataset_type,auc,max_n
RISF,21_Lymphography,numerical,1.0,1
RISF,21_Lymphography,numerical,0.9535,1
RISF,21_Lymphography,numerical,0.9419,1
RISF,21_Lymphography,numerical,1.0,2
RISF,21_Lymphography,numerical,0.9419,2
RISF,21_Lymphography,numerical,0.9884,2
RISF,21_Lymphography,numerical,1.0,3
RISF,21_Lymphography,numerical,0.9767,3
RISF,21_Lymphography,numerical,1.0,3
RISF,21_Lymphography,numerical,1.0,4
RISF,21_Lymphography,numerical,0.9884,4
RISF,21_Lymphography,numerical,1.0,4
RISF,21_Lymphography,numerical,0.9767,5
RISF,21_Lymphography,numerical,0.9884,5
RISF,21_Lymphography,numerical,0.9884,5
RISF,36_speech,numerical,0.4827,1
RISF,36_speech,numerical,0.507,1
RISF,36_speech,numerical,0.4143,1
RISF,36_speech,numerical,0.4396,2
RISF,36_speech,numerical,0.5992,2
RISF,36_speech,numerical,0.3946,2
RISF,36_speech,numerical,0.4414,3
RISF,36_speech,numerical,0.6124,3
RISF,36_speech,numerical,0.5094,3
RISF,36_speech,numerical,0.4533,4
RISF,36_speech,numerical,0.519,4
RISF,36_speech,numerical,0.3552,4
RISF,36_speech,numerical,0.4443,5
RISF,36_speech,numerical,0.4471,5
RISF,36_speech,numerical,0.4136,5
RISF,6_cardio,numerical,0.8945,1
RISF,6_cardio,numerical,0.8742,1
RISF,6_cardio,numerical,0.8992,1
RISF,6_cardio,numerical,0.9379,2
RISF,6_cardio,numerical,0.921,2
RISF,6_cardio,numerical,0.9209,2
RISF,6_cardio,numerical,0.9383,3
RISF,6_cardio,numerical,0.9456,3
RISF,6_cardio,numerical,0.9299,3
RISF,6_cardio,numerical,0.9511,4
RISF,6_cardio,numerical,0.9069,4
RISF,6_cardio,numerical,0.8652,4
RISF,6_cardio,numerical,0.9472,5
RISF,6_cardio,numerical,0.9287,5
RISF,6_cardio,numerical,0.9159,5
RISF,26_optdigits,numerical,0.5796,1
RISF,26_optdigits,numerical,0.6648,1
RISF,26_optdigits,numerical,0.6421,1
RISF,26_optdigits,numerical,0.72,2
RISF,26_optdigits,numerical,0.6892,2
RISF,26_optdigits,numerical,0.7019,2
RISF,26_optdigits,numerical,0.6806,3
RISF,26_optdigits,numerical,0.7469,3
RISF,26_optdigits,numerical,0.7746,3
RISF,26_optdigits,numerical,0.6712,4
RISF,26_optdigits,numerical,0.5971,4
RISF,26_optdigits,numerical,0.8043,4
RISF,26_optdigits,numerical,0.5841,5
RISF,26_optdigits,numerical,0.6142,5
RISF,26_optdigits,numerical,0.7297,5
RISF,agnews_1,nlp,0.6847,1
RISF,agnews_1,nlp,0.7911,1
RISF,agnews_1,nlp,0.7024,1
RISF,agnews_1,nlp,0.6671,2
RISF,agnews_1,nlp,0.723,2
RISF,agnews_1,nlp,0.7186,2
RISF,agnews_1,nlp,0.655,3
RISF,agnews_1,nlp,0.7184,3
RISF,agnews_1,nlp,0.7068,3
RISF,agnews_1,nlp,0.6984,4
RISF,agnews_1,nlp,0.6673,4
RISF,agnews_1,nlp,0.7218,4
RISF,agnews_1,nlp,0.7088,5
RISF,agnews_1,nlp,0.7272,5
RISF,agnews_1,nlp,0.7043,5
