clf,dataset_name,dataset_type,auc,max_samples
RISF,21_Lymphography,numerical,1.0,64
RISF,21_Lymphography,numerical,1.0,64
RISF,21_Lymphography,numerical,1.0,64
RISF,21_Lymphography,numerical,0.9884,64
RISF,21_Lymphography,numerical,1.0,64
RISF,21_Lymphography,numerical,1.0,128
RISF,21_Lymphography,numerical,0.9767,128
RISF,21_Lymphography,numerical,0.9884,128
RISF,21_Lymphography,numerical,0.9767,128
RISF,21_Lymphography,numerical,1.0,128
RISF,21_Lymphography,numerical,1.0,256
RISF,21_Lymphography,numerical,0.9767,256
RISF,21_Lymphography,numerical,0.9884,256
RISF,21_Lymphography,numerical,0.9767,256
RISF,21_Lymphography,numerical,1.0,256
RISF,21_Lymphography,numerical,1.0,512
RISF,21_Lymphography,numerical,0.9767,512
RISF,21_Lymphography,numerical,0.9884,512
RISF,21_Lymphography,numerical,0.9767,512
RISF,21_Lymphography,numerical,1.0,512
RISF,36_speech,numerical,0.443,64
RISF,36_speech,numerical,0.5312,64
RISF,36_speech,numerical,0.3954,64
RISF,36_speech,numerical,0.43,64
RISF,36_speech,numerical,0.3583,64
RISF,36_speech,numerical,0.4775,128
RISF,36_speech,numerical,0.4899,128
RISF,36_speech,numerical,0.4002,128
RISF,36_speech,numerical,0.3622,128
RISF,36_speech,numerical,0.3709,128
RISF,36_speech,numerical,0.4199,256
RISF,36_speech,numerical,0.5093,256
RISF,36_speech,numerical,0.4649,256
RISF,36_speech,numerical,0.4294,256
RISF,36_speech,numerical,0.3862,256
RISF,36_speech,numerical,0.4429,512
RISF,36_speech,numerical,0.4657,512
RISF,36_speech,numerical,0.4152,512
RISF,36_speech,numerical,0.4484,512
RISF,36_speech,numerical,0.3277,512
RISF,6_cardio,numerical,0.9287,64
RISF,6_cardio,numerical,0.9157,64
RISF,6_cardio,numerical,0.9356,64
RISF,6_cardio,numerical,0.9067,64
RISF,6_cardio,numerical,0.9312,64
RISF,6_cardio,numerical,0.9528,128
RISF,6_cardio,numerical,0.9315,128
RISF,6_cardio,numerical,0.8987,128
RISF,6_cardio,numerical,0.9164,128
RISF,6_cardio,numerical,0.9242,128
RISF,6_cardio,numerical,0.9182,256
RISF,6_cardio,numerical,0.9509,256
RISF,6_cardio,numerical,0.9165,256
RISF,6_cardio,numerical,0.9366,256
RISF,6_cardio,numerical,0.9394,256
RISF,6_cardio,numerical,0.947,512
RISF,6_cardio,numerical,0.9071,512
RISF,6_cardio,numerical,0.8798,512
RISF,6_cardio,numerical,0.8977,512
RISF,6_cardio,numerical,0.9308,512
RISF,26_optdigits,numerical,0.6442,64
RISF,26_optdigits,numerical,0.5559,64
RISF,26_optdigits,numerical,0.68,64
RISF,26_optdigits,numerical,0.5867,64
RISF,26_optdigits,numerical,0.5184,64
RISF,26_optdigits,numerical,0.8837,128
RISF,26_optdigits,numerical,0.7085,128
RISF,26_optdigits,numerical,0.7395,128
RISF,26_optdigits,numerical,0.8247,128
RISF,26_optdigits,numerical,0.7813,128
RISF,26_optdigits,numerical,0.8231,256
RISF,26_optdigits,numerical,0.7824,256
RISF,26_optdigits,numerical,0.7239,256
RISF,26_optdigits,numerical,0.8384,256
RISF,26_optdigits,numerical,0.7071,256
RISF,26_optdigits,numerical,0.8133,512
RISF,26_optdigits,numerical,0.4251,512
RISF,26_optdigits,numerical,0.5561,512
RISF,26_optdigits,numerical,0.6282,512
RISF,26_optdigits,numerical,0.8239,512
RISF,COX2,graph,0.5055,64
RISF,COX2,graph,0.4218,64
RISF,COX2,graph,0.5055,64
RISF,COX2,graph,0.6909,64
RISF,COX2,graph,0.5473,64
RISF,COX2,graph,0.5564,128
RISF,COX2,graph,0.4109,128
RISF,COX2,graph,0.5127,128
RISF,COX2,graph,0.5764,128
RISF,COX2,graph,0.5091,128
RISF,COX2,graph,0.5764,256
RISF,COX2,graph,0.4255,256
RISF,COX2,graph,0.5309,256
RISF,COX2,graph,0.7055,256
RISF,COX2,graph,0.5855,256
RISF,COX2,graph,0.56,512
RISF,COX2,graph,0.4255,512
RISF,COX2,graph,0.4873,512
RISF,COX2,graph,0.5745,512
RISF,COX2,graph,0.5655,512
RISF,BZR,graph,0.7104,64
RISF,BZR,graph,0.6875,64
RISF,BZR,graph,0.6938,64
RISF,BZR,graph,0.9021,64
RISF,BZR,graph,0.6333,64
