clf,dataset_name,dataset_type,auc,n_estimators
RISF,21_Lymphography,numerical,1.0,100
RISF,21_Lymphography,numerical,1.0,100
RISF,21_Lymphography,numerical,1.0,100
RISF,21_Lymphography,numerical,1.0,100
RISF,21_Lymphography,numerical,1.0,100
RISF,36_speech,numerical,0.391,100
RISF,36_speech,numerical,0.5012,100
RISF,36_speech,numerical,0.3871,100
RISF,36_speech,numerical,0.3995,100
RISF,36_speech,numerical,0.323,100
RISF,6_cardio,numerical,0.9562,100
RISF,6_cardio,numerical,0.9325,100
RISF,6_cardio,numerical,0.923,100
RISF,6_cardio,numerical,0.9196,100
RISF,6_cardio,numerical,0.9395,100
RISF,26_optdigits,numerical,0.7051,100
RISF,26_optdigits,numerical,0.5915,100
RISF,26_optdigits,numerical,0.617,100
RISF,26_optdigits,numerical,0.705,100
RISF,26_optdigits,numerical,0.6342,100
RISF,14_glass,numerical,0.7151,100
RISF,14_glass,numerical,0.6935,100
RISF,14_glass,numerical,0.7527,100
RISF,14_glass,numerical,0.6344,100
RISF,14_glass,numerical,0.6774,100
RISF,20_letter,numerical,0.673,100
RISF,20_letter,numerical,0.5877,100
RISF,20_letter,numerical,0.6147,100
RISF,20_letter,numerical,0.7011,100
RISF,20_letter,numerical,0.6289,100
RISF,25_musk,numerical,1.0,100
RISF,25_musk,numerical,1.0,100
RISF,25_musk,numerical,1.0,100
RISF,25_musk,numerical,1.0,100
RISF,25_musk,numerical,1.0,100
RISF,2_annthyroid,numerical,0.8264,100
RISF,2_annthyroid,numerical,0.8213,100
RISF,2_annthyroid,numerical,0.8141,100
RISF,2_annthyroid,numerical,0.8294,100
RISF,2_annthyroid,numerical,0.7847,100
RISF,31_satimage-2,numerical,0.9924,100
RISF,31_satimage-2,numerical,0.9958,100
RISF,31_satimage-2,numerical,0.999,100
RISF,31_satimage-2,numerical,0.9999,100
RISF,31_satimage-2,numerical,0.9899,100
RISF,38_thyroid,numerical,0.9832,100
RISF,38_thyroid,numerical,0.9885,100
RISF,38_thyroid,numerical,0.9841,100
RISF,38_thyroid,numerical,0.9883,100
RISF,38_thyroid,numerical,0.9734,100
RISF,40_vowels,numerical,0.6668,100
RISF,40_vowels,numerical,0.7411,100
RISF,40_vowels,numerical,0.7897,100
RISF,40_vowels,numerical,0.8114,100
RISF,40_vowels,numerical,0.7408,100
RISF,41_Waveform,numerical,0.6944,100
RISF,41_Waveform,numerical,0.6748,100
RISF,41_Waveform,numerical,0.676,100
RISF,41_Waveform,numerical,0.6764,100
RISF,41_Waveform,numerical,0.6831,100
RISF,42_WBC,numerical,1.0,100
RISF,42_WBC,numerical,0.9948,100
RISF,42_WBC,numerical,0.9792,100
RISF,42_WBC,numerical,0.9896,100
RISF,42_WBC,numerical,1.0,100
RISF,43_WDBC,numerical,0.9877,100
RISF,43_WDBC,numerical,0.9907,100
RISF,43_WDBC,numerical,0.9815,100
RISF,43_WDBC,numerical,0.9753,100
RISF,43_WDBC,numerical,1.0,100
RISF,44_Wilt,numerical,0.4724,100
RISF,44_Wilt,numerical,0.428,100
RISF,44_Wilt,numerical,0.4328,100
