clf,dataset_name,dataset_type,auc,distances
RISF,ad_nominal,categorical,0.497,jac_euc_euc
RISF,ad_nominal,categorical,0.511,jac_euc_euc
RISF,ad_nominal,categorical,0.5021,jac_euc_euc
RISF,ad_nominal,categorical,0.4988,jac_euc
RISF,ad_nominal,categorical,0.511,jac_euc
RISF,ad_nominal,categorical,0.5101,jac_euc
RISF,ad_nominal,categorical,0.4988,jac_euc
RISF,ad_nominal,categorical,0.511,jac_euc
RISF,ad_nominal,categorical,0.5101,jac_euc
RISF,ad_nominal,categorical,0.5166,jac
RISF,ad_nominal,categorical,0.511,jac
RISF,ad_nominal,categorical,0.5214,jac
RISF,ad_nominal,categorical,0.4988,euc_euc
RISF,ad_nominal,categorical,0.511,euc_euc
RISF,ad_nominal,categorical,0.5101,euc_euc
RISF,ad_nominal,categorical,0.5166,euc
RISF,ad_nominal,categorical,0.511,euc
RISF,ad_nominal,categorical,0.5214,euc
RISF,ad_nominal,categorical,0.5166,euc
RISF,ad_nominal,categorical,0.511,euc
RISF,ad_nominal,categorical,0.5214,euc
RISF,p53,graph,0.4437,Ips_Por
RISF,p53,graph,0.4921,Ips_Por
RISF,p53,graph,0.4852,Ips_Por
RISF,p53,graph,0.4634,Ips
RISF,p53,graph,0.4882,Ips
RISF,p53,graph,0.4815,Ips
RISF,p53,graph,0.4434,Por
RISF,p53,graph,0.4365,Por
RISF,p53,graph,0.4654,Por
RISF,21_Lymphography,numerical,1.0,man_euc_cos
RISF,21_Lymphography,numerical,0.9884,man_euc_cos
RISF,21_Lymphography,numerical,0.9767,man_euc_cos
RISF,21_Lymphography,numerical,1.0,man_euc
RISF,21_Lymphography,numerical,0.9767,man_euc
RISF,21_Lymphography,numerical,0.9884,man_euc
RISF,21_Lymphography,numerical,0.9884,man_cos
RISF,21_Lymphography,numerical,0.9767,man_cos
RISF,21_Lymphography,numerical,0.9767,man_cos
RISF,21_Lymphography,numerical,1.0,man
RISF,21_Lymphography,numerical,0.9767,man
RISF,21_Lymphography,numerical,1.0,man
RISF,21_Lymphography,numerical,1.0,euc_cos
RISF,21_Lymphography,numerical,1.0,euc_cos
RISF,21_Lymphography,numerical,1.0,euc_cos
RISF,21_Lymphography,numerical,1.0,euc
RISF,21_Lymphography,numerical,0.9884,euc
RISF,21_Lymphography,numerical,1.0,euc
RISF,21_Lymphography,numerical,1.0,cos
RISF,21_Lymphography,numerical,0.9535,cos
RISF,21_Lymphography,numerical,1.0,cos
RISF,36_speech,numerical,0.3888,man_euc_cos
RISF,36_speech,numerical,0.5979,man_euc_cos
RISF,36_speech,numerical,0.402,man_euc_cos
RISF,36_speech,numerical,0.4199,man_euc
RISF,36_speech,numerical,0.5093,man_euc
RISF,36_speech,numerical,0.4649,man_euc
RISF,36_speech,numerical,0.4854,man_cos
RISF,36_speech,numerical,0.482,man_cos
RISF,36_speech,numerical,0.4132,man_cos
RISF,36_speech,numerical,0.4414,man
RISF,36_speech,numerical,0.6124,man
RISF,36_speech,numerical,0.5094,man
RISF,36_speech,numerical,0.6142,euc_cos
RISF,36_speech,numerical,0.5194,euc_cos
RISF,36_speech,numerical,0.4256,euc_cos
RISF,36_speech,numerical,0.4228,euc
RISF,36_speech,numerical,0.5202,euc
RISF,36_speech,numerical,0.3655,euc
RISF,36_speech,numerical,0.5611,cos
RISF,36_speech,numerical,0.5293,cos
RISF,36_speech,numerical,0.5387,cos
RISF,6_cardio,numerical,0.9005,man_euc_cos
RISF,6_cardio,numerical,0.8556,man_euc_cos
RISF,6_cardio,numerical,0.8653,man_euc_cos
RISF,6_cardio,numerical,0.9182,man_euc
RISF,6_cardio,numerical,0.9509,man_euc
RISF,6_cardio,numerical,0.9165,man_euc
RISF,6_cardio,numerical,0.8376,man_cos
RISF,6_cardio,numerical,0.751,man_cos
RISF,6_cardio,numerical,0.7456,man_cos
RISF,6_cardio,numerical,0.9383,man
RISF,6_cardio,numerical,0.9456,man
RISF,6_cardio,numerical,0.9299,man
RISF,6_cardio,numerical,0.9333,euc_cos
RISF,6_cardio,numerical,0.8427,euc_cos
RISF,6_cardio,numerical,0.8099,euc_cos
RISF,6_cardio,numerical,0.9421,euc
RISF,6_cardio,numerical,0.9189,euc
RISF,6_cardio,numerical,0.9085,euc
RISF,6_cardio,numerical,0.4543,cos
RISF,6_cardio,numerical,0.4754,cos
RISF,6_cardio,numerical,0.4502,cos
