clf,dataset_name,dataset_type,auc,distances
RISF,ad_nominal,binary,0.4947,jacc_manh
RISF,ad_nominal,binary,0.5,jacc_manh
RISF,ad_nominal,binary,0.4947,jacc_manh
RISF,ad_nominal,binary,0.5971,jacc_manh
RISF,ad_nominal,binary,0.4935,jacc_manh
RISF,ad_nominal,binary,0.5178,jacc
RISF,ad_nominal,binary,0.511,jacc
RISF,ad_nominal,binary,0.5118,jacc
RISF,ad_nominal,binary,0.5519,jacc
RISF,ad_nominal,binary,0.5048,jacc
RISF,ad_nominal,binary,0.5125,manh
RISF,ad_nominal,binary,0.5,manh
RISF,ad_nominal,binary,0.5,manh
RISF,ad_nominal,binary,0.5845,manh
RISF,ad_nominal,binary,0.5,manh
