clf,dataset_name,dataset_type,auc,distances
RISF,IMDB-BINARY,graph,0.4092,Ips_Por_Jac_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.2517,Ips_Por_Jac_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3925,Ips_Por_Jac_Oni_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.4283,Ips_Por_Jac_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.3267,Ips_Por_Jac_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.4042,Ips_Por_Jac_Oni_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.4933,Ips_Por_Jac_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.3592,Ips_Por_Jac_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.4,Ips_Por_Jac_Oni_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.4342,Ips_Por_Jac_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.305,Ips_Por_Jac_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.3992,Ips_Por_Jac_Oni_Net_Deg
RISF,IMDB-BINARY,graph,0.4392,Ips_Por_Jac_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.385,Ips_Por_Jac_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.3342,Ips_Por_Jac_Oni_Net_Net_euc
RISF,IMDB-BINARY,graph,0.5017,Ips_Por_Jac_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.3867,Ips_Por_Jac_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.3442,Ips_Por_Jac_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.4483,Ips_Por_Jac_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.3442,Ips_Por_Jac_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.3575,Ips_Por_Jac_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.4608,Ips_Por_Jac_Oni_Net
RISF,IMDB-BINARY,graph,0.3658,Ips_Por_Jac_Oni_Net
RISF,IMDB-BINARY,graph,0.385,Ips_Por_Jac_Oni_Net
RISF,IMDB-BINARY,graph,0.4942,Ips_Por_Jac_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.4517,Ips_Por_Jac_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3675,Ips_Por_Jac_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.5517,Ips_Por_Jac_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.3133,Ips_Por_Jac_Oni_Deg_Net
