clf,dataset_name,dataset_type,auc,distances
RISF,agnews_1,nlp,0.6845,manh_eucl_cheb
RISF,agnews_1,nlp,0.7044,manh_eucl_cheb
RISF,agnews_1,nlp,0.7254,manh_eucl_cheb
RISF,agnews_1,nlp,0.7522,manh_eucl_cheb
RISF,agnews_1,nlp,0.7319,manh_eucl_cheb
RISF,agnews_1,nlp,0.7037,manh_eucl
RISF,agnews_1,nlp,0.7194,manh_eucl
RISF,agnews_1,nlp,0.7249,manh_eucl
RISF,agnews_1,nlp,0.7209,manh_eucl
RISF,agnews_1,nlp,0.7489,manh_eucl
RISF,agnews_1,nlp,0.6611,manh_cheb
RISF,agnews_1,nlp,0.642,manh_cheb
RISF,agnews_1,nlp,0.6952,manh_cheb
RISF,agnews_1,nlp,0.7013,manh_cheb
RISF,agnews_1,nlp,0.7436,manh_cheb
RISF,agnews_1,nlp,0.655,manh
RISF,agnews_1,nlp,0.7184,manh
RISF,agnews_1,nlp,0.7068,manh
RISF,agnews_1,nlp,0.6892,manh
RISF,agnews_1,nlp,0.6736,manh
RISF,agnews_1,nlp,0.6991,eucl_cheb
RISF,agnews_1,nlp,0.7513,eucl_cheb
RISF,agnews_1,nlp,0.7605,eucl_cheb
RISF,agnews_1,nlp,0.7367,eucl_cheb
RISF,agnews_1,nlp,0.7307,eucl_cheb
RISF,agnews_1,nlp,0.6977,eucl
RISF,agnews_1,nlp,0.7279,eucl
RISF,agnews_1,nlp,0.701,eucl
RISF,agnews_1,nlp,0.7458,eucl
RISF,agnews_1,nlp,0.7639,eucl
RISF,agnews_1,nlp,0.6698,cheb
RISF,agnews_1,nlp,0.6761,cheb
RISF,agnews_1,nlp,0.7024,cheb
RISF,agnews_1,nlp,0.6871,cheb
RISF,agnews_1,nlp,0.693,cheb
