clf,dataset_name,dataset_type,auc,distances
RISF,agnews_1,nlp,0.3194,manh_eucl_cosi
RISF,agnews_1,nlp,0.3812,manh_eucl_cosi
RISF,agnews_1,nlp,0.3969,manh_eucl_cosi
RISF,agnews_1,nlp,0.4434,manh_eucl_cosi
RISF,agnews_1,nlp,0.4193,manh_eucl_cosi
RISF,agnews_1,nlp,0.428,manh_eucl_cheb
RISF,agnews_1,nlp,0.5037,manh_eucl_cheb
RISF,agnews_1,nlp,0.4608,manh_eucl_cheb
RISF,agnews_1,nlp,0.4863,manh_eucl_cheb
RISF,agnews_1,nlp,0.5535,manh_eucl_cheb
RISF,agnews_1,nlp,0.4051,manh_eucl
RISF,agnews_1,nlp,0.4277,manh_eucl
RISF,agnews_1,nlp,0.4354,manh_eucl
RISF,agnews_1,nlp,0.462,manh_eucl
RISF,agnews_1,nlp,0.4624,manh_eucl
RISF,agnews_1,nlp,0.3642,manh_cosi_cheb
RISF,agnews_1,nlp,0.4099,manh_cosi_cheb
RISF,agnews_1,nlp,0.413,manh_cosi_cheb
RISF,agnews_1,nlp,0.4033,manh_cosi_cheb
RISF,agnews_1,nlp,0.4709,manh_cosi_cheb
RISF,agnews_1,nlp,0.3282,manh_cosi
RISF,agnews_1,nlp,0.3404,manh_cosi
RISF,agnews_1,nlp,0.3156,manh_cosi
RISF,agnews_1,nlp,0.3662,manh_cosi
RISF,agnews_1,nlp,0.3644,manh_cosi
RISF,agnews_1,nlp,0.4754,manh_cheb
RISF,agnews_1,nlp,0.5316,manh_cheb
RISF,agnews_1,nlp,0.4947,manh_cheb
RISF,agnews_1,nlp,0.4748,manh_cheb
RISF,agnews_1,nlp,0.6008,manh_cheb
RISF,agnews_1,nlp,0.389,manh
RISF,agnews_1,nlp,0.3436,manh
RISF,agnews_1,nlp,0.4371,manh
RISF,agnews_1,nlp,0.3981,manh
RISF,agnews_1,nlp,0.4878,manh
RISF,agnews_1,nlp,0.4182,eucl_cosi_cheb
RISF,agnews_1,nlp,0.3843,eucl_cosi_cheb
RISF,agnews_1,nlp,0.4613,eucl_cosi_cheb
RISF,agnews_1,nlp,0.4602,eucl_cosi_cheb
RISF,agnews_1,nlp,0.4729,eucl_cosi_cheb
RISF,agnews_1,nlp,0.3358,eucl_cosi
RISF,agnews_1,nlp,0.3742,eucl_cosi
RISF,agnews_1,nlp,0.3731,eucl_cosi
RISF,agnews_1,nlp,0.3881,eucl_cosi
RISF,agnews_1,nlp,0.4634,eucl_cosi
RISF,agnews_1,nlp,0.4748,eucl_cheb
RISF,agnews_1,nlp,0.5237,eucl_cheb
RISF,agnews_1,nlp,0.5329,eucl_cheb
RISF,agnews_1,nlp,0.5507,eucl_cheb
RISF,agnews_1,nlp,0.569,eucl_cheb
RISF,agnews_1,nlp,0.4109,eucl
RISF,agnews_1,nlp,0.4917,eucl
RISF,agnews_1,nlp,0.4254,eucl
RISF,agnews_1,nlp,0.5245,eucl
RISF,agnews_1,nlp,0.484,eucl
RISF,agnews_1,nlp,0.3848,cosi_cheb
RISF,agnews_1,nlp,0.4061,cosi_cheb
RISF,agnews_1,nlp,0.3523,cosi_cheb
RISF,agnews_1,nlp,0.3905,cosi_cheb
RISF,agnews_1,nlp,0.44,cosi_cheb
RISF,agnews_1,nlp,0.2503,cosi
RISF,agnews_1,nlp,0.2831,cosi
RISF,agnews_1,nlp,0.3106,cosi
RISF,agnews_1,nlp,0.3401,cosi
RISF,agnews_1,nlp,0.3037,cosi
RISF,agnews_1,nlp,0.6247,cheb
RISF,agnews_1,nlp,0.632,cheb
RISF,agnews_1,nlp,0.5804,cheb
RISF,agnews_1,nlp,0.612,cheb
RISF,agnews_1,nlp,0.5919,cheb
