clf,dataset_name,dataset_type,auc,distances
RISF,TwoLeadECG,timeseries,0.8463,manh_eucl_cheb
RISF,TwoLeadECG,timeseries,0.8863,manh_eucl_cheb
RISF,TwoLeadECG,timeseries,0.7771,manh_eucl_cheb
RISF,TwoLeadECG,timeseries,0.9048,manh_eucl_cheb
RISF,TwoLeadECG,timeseries,0.7575,manh_eucl_cheb
RISF,TwoLeadECG,timeseries,0.8857,manh_eucl
RISF,TwoLeadECG,timeseries,0.8698,manh_eucl
RISF,TwoLeadECG,timeseries,0.7975,manh_eucl
RISF,TwoLeadECG,timeseries,0.8514,manh_eucl
RISF,TwoLeadECG,timeseries,0.7537,manh_eucl
RISF,TwoLeadECG,timeseries,0.8762,manh_cheb
RISF,TwoLeadECG,timeseries,0.8762,manh_cheb
RISF,TwoLeadECG,timeseries,0.7956,manh_cheb
RISF,TwoLeadECG,timeseries,0.8737,manh_cheb
RISF,TwoLeadECG,timeseries,0.7124,manh_cheb
RISF,TwoLeadECG,timeseries,0.8533,manh
RISF,TwoLeadECG,timeseries,0.8317,manh
RISF,TwoLeadECG,timeseries,0.8229,manh
RISF,TwoLeadECG,timeseries,0.8794,manh
RISF,TwoLeadECG,timeseries,0.7168,manh
RISF,TwoLeadECG,timeseries,0.8648,eucl_cheb
RISF,TwoLeadECG,timeseries,0.8787,eucl_cheb
RISF,TwoLeadECG,timeseries,0.7695,eucl_cheb
RISF,TwoLeadECG,timeseries,0.8533,eucl_cheb
RISF,TwoLeadECG,timeseries,0.833,eucl_cheb
RISF,TwoLeadECG,timeseries,0.8775,eucl
RISF,TwoLeadECG,timeseries,0.8838,eucl
RISF,TwoLeadECG,timeseries,0.76,eucl
RISF,TwoLeadECG,timeseries,0.9079,eucl
RISF,TwoLeadECG,timeseries,0.7568,eucl
RISF,TwoLeadECG,timeseries,0.906,cheb
RISF,TwoLeadECG,timeseries,0.8267,cheb
RISF,TwoLeadECG,timeseries,0.7676,cheb
RISF,TwoLeadECG,timeseries,0.8603,cheb
RISF,TwoLeadECG,timeseries,0.7232,cheb
