clf,dataset_name,dataset_type,auc,distances
RISF,ad_nominal,binary,0.7076,dumm_LinD_Good
RISF,ad_nominal,binary,0.6627,dumm_LinD_Good
RISF,ad_nominal,binary,0.6906,dumm_LinD_Good
RISF,ad_nominal,binary,0.6422,dumm_LinD_Good
RISF,ad_nominal,binary,0.7623,dumm_LinD_Good
RISF,ad_nominal,binary,0.6583,dumm_LinD_OFDi
RISF,ad_nominal,binary,0.6828,dumm_LinD_OFDi
RISF,ad_nominal,binary,0.6921,dumm_LinD_OFDi
RISF,ad_nominal,binary,0.6763,dumm_LinD_OFDi
RISF,ad_nominal,binary,0.6915,dumm_LinD_OFDi
RISF,ad_nominal,binary,0.7071,dumm_LinD
RISF,ad_nominal,binary,0.6853,dumm_LinD
RISF,ad_nominal,binary,0.7055,dumm_LinD
RISF,ad_nominal,binary,0.6458,dumm_LinD
RISF,ad_nominal,binary,0.6984,dumm_LinD
RISF,ad_nominal,binary,0.5989,dumm_Good_OFDi
RISF,ad_nominal,binary,0.6574,dumm_Good_OFDi
RISF,ad_nominal,binary,0.7163,dumm_Good_OFDi
RISF,ad_nominal,binary,0.6507,dumm_Good_OFDi
RISF,ad_nominal,binary,0.594,dumm_Good_OFDi
RISF,ad_nominal,binary,0.7301,dumm_Good
RISF,ad_nominal,binary,0.633,dumm_Good
RISF,ad_nominal,binary,0.7461,dumm_Good
RISF,ad_nominal,binary,0.6716,dumm_Good
RISF,ad_nominal,binary,0.6643,dumm_Good
RISF,ad_nominal,binary,0.6066,dumm_OFDi
RISF,ad_nominal,binary,0.5999,dumm_OFDi
RISF,ad_nominal,binary,0.6448,dumm_OFDi
RISF,ad_nominal,binary,0.588,dumm_OFDi
RISF,ad_nominal,binary,0.5867,dumm_OFDi
RISF,ad_nominal,binary,0.6936,dumm
RISF,ad_nominal,binary,0.7166,dumm
RISF,ad_nominal,binary,0.7509,dumm
RISF,ad_nominal,binary,0.7104,dumm
RISF,ad_nominal,binary,0.7235,dumm
RISF,ad_nominal,binary,0.6644,LinD_Good_OFDi
RISF,ad_nominal,binary,0.6509,LinD_Good_OFDi
RISF,ad_nominal,binary,0.6898,LinD_Good_OFDi
RISF,ad_nominal,binary,0.6661,LinD_Good_OFDi
RISF,ad_nominal,binary,0.6875,LinD_Good_OFDi
RISF,ad_nominal,binary,0.7165,LinD_Good
RISF,ad_nominal,binary,0.7092,LinD_Good
RISF,ad_nominal,binary,0.7286,LinD_Good
RISF,ad_nominal,binary,0.689,LinD_Good
RISF,ad_nominal,binary,0.6553,LinD_Good
RISF,ad_nominal,binary,0.675,LinD_OFDi
RISF,ad_nominal,binary,0.6834,LinD_OFDi
RISF,ad_nominal,binary,0.7022,LinD_OFDi
RISF,ad_nominal,binary,0.6586,LinD_OFDi
RISF,ad_nominal,binary,0.6541,LinD_OFDi
RISF,ad_nominal,binary,0.7418,LinD
RISF,ad_nominal,binary,0.7114,LinD
RISF,ad_nominal,binary,0.7207,LinD
RISF,ad_nominal,binary,0.715,LinD
RISF,ad_nominal,binary,0.7319,LinD
RISF,ad_nominal,binary,0.5932,Good_OFDi
RISF,ad_nominal,binary,0.6403,Good_OFDi
RISF,ad_nominal,binary,0.6464,Good_OFDi
RISF,ad_nominal,binary,0.5735,Good_OFDi
RISF,ad_nominal,binary,0.6199,Good_OFDi
RISF,ad_nominal,binary,0.5002,Good
RISF,ad_nominal,binary,0.4417,Good
RISF,ad_nominal,binary,0.6199,Good
RISF,ad_nominal,binary,0.5715,Good
RISF,ad_nominal,binary,0.4935,Good
RISF,ad_nominal,binary,0.6142,OFDi
RISF,ad_nominal,binary,0.6263,OFDi
RISF,ad_nominal,binary,0.5892,OFDi
RISF,ad_nominal,binary,0.5595,OFDi
RISF,ad_nominal,binary,0.5981,OFDi
