clf,dataset_name,dataset_type,auc,distances
RSIF,COX2,graph,0.4473,Ipse_Port_BagO
RSIF,COX2,graph,0.51,Ipse_Port_BagO
RSIF,COX2,graph,0.5109,Ipse_Port_BagO
RSIF,COX2,graph,0.4873,Ipse_Port_BagO
RSIF,COX2,graph,0.5709,Ipse_Port_BagO
RSIF,COX2,graph,0.4909,Ipse_Port_BagO
RSIF,COX2,graph,0.52,Ipse_Port_BagO
RSIF,COX2,graph,0.4255,Ipse_Port_BagO
RSIF,COX2,graph,0.6073,Ipse_Port_BagO
RSIF,COX2,graph,0.5145,Ipse_Port_BagO
RSIF,COX2,graph,0.4036,Ipse_Port_NetS
RSIF,COX2,graph,0.4691,Ipse_Port_NetS
RSIF,COX2,graph,0.54,Ipse_Port_NetS
RSIF,COX2,graph,0.6036,Ipse_Port_NetS
RSIF,COX2,graph,0.4291,Ipse_Port_NetS
RSIF,COX2,graph,0.5182,Ipse_Port_NetS
RSIF,COX2,graph,0.66,Ipse_Port_NetS
RSIF,COX2,graph,0.3473,Ipse_Port_NetS
RSIF,COX2,graph,0.6455,Ipse_Port_NetS
RSIF,COX2,graph,0.5455,Ipse_Port_NetS
RSIF,COX2,graph,0.52,Ipse_Port_Degr
RSIF,COX2,graph,0.4018,Ipse_Port_Degr
RSIF,COX2,graph,0.4164,Ipse_Port_Degr
RSIF,COX2,graph,0.6218,Ipse_Port_Degr
RSIF,COX2,graph,0.6236,Ipse_Port_Degr
RSIF,COX2,graph,0.5909,Ipse_Port_Degr
RSIF,COX2,graph,0.6927,Ipse_Port_Degr
RSIF,COX2,graph,0.4509,Ipse_Port_Degr
RSIF,COX2,graph,0.7218,Ipse_Port_Degr
RSIF,COX2,graph,0.48,Ipse_Port_Degr
RSIF,COX2,graph,0.5291,Ipse_Port_NetL
RSIF,COX2,graph,0.4727,Ipse_Port_NetL
RSIF,COX2,graph,0.5873,Ipse_Port_NetL
RSIF,COX2,graph,0.6182,Ipse_Port_NetL
RSIF,COX2,graph,0.5,Ipse_Port_NetL
RSIF,COX2,graph,0.5182,Ipse_Port_NetL
RSIF,COX2,graph,0.5436,Ipse_Port_NetL
RSIF,COX2,graph,0.4382,Ipse_Port_NetL
RSIF,COX2,graph,0.5327,Ipse_Port_NetL
RSIF,COX2,graph,0.5227,Ipse_Port_NetL
RSIF,COX2,graph,0.66,Ipse_Port_Nume
RSIF,COX2,graph,0.5327,Ipse_Port_Nume
RSIF,COX2,graph,0.6364,Ipse_Port_Nume
RSIF,COX2,graph,0.6745,Ipse_Port_Nume
RSIF,COX2,graph,0.53,Ipse_Port_Nume
