clf,dataset_name,dataset_type,auc,distances
RSIF,agnews_1,nlp,0.643,manh_eucl_cheb
RSIF,agnews_1,nlp,0.7323,manh_eucl_cheb
RSIF,agnews_1,nlp,0.7184,manh_eucl_cheb
RSIF,agnews_1,nlp,0.7403,manh_eucl_cheb
RSIF,agnews_1,nlp,0.7308,manh_eucl_cheb
RSIF,agnews_1,nlp,0.7072,manh_eucl_cheb
RSIF,agnews_1,nlp,0.7089,manh_eucl_cheb
RSIF,agnews_1,nlp,0.6974,manh_eucl_cheb
RSIF,agnews_1,nlp,0.717,manh_eucl_cheb
RSIF,agnews_1,nlp,0.7182,manh_eucl_cheb
RSIF,agnews_1,nlp,0.6461,manh_eucl_cosi
RSIF,agnews_1,nlp,0.692,manh_eucl_cosi
RSIF,agnews_1,nlp,0.7436,manh_eucl_cosi
RSIF,agnews_1,nlp,0.7608,manh_eucl_cosi
RSIF,agnews_1,nlp,0.7594,manh_eucl_cosi
RSIF,agnews_1,nlp,0.7016,manh_eucl_cosi
RSIF,agnews_1,nlp,0.7485,manh_eucl_cosi
RSIF,agnews_1,nlp,0.6986,manh_eucl_cosi
RSIF,agnews_1,nlp,0.7183,manh_eucl_cosi
RSIF,agnews_1,nlp,0.7376,manh_eucl_cosi
RSIF,agnews_1,nlp,0.6928,manh_eucl
RSIF,agnews_1,nlp,0.7376,manh_eucl
RSIF,agnews_1,nlp,0.7131,manh_eucl
RSIF,agnews_1,nlp,0.7527,manh_eucl
RSIF,agnews_1,nlp,0.7082,manh_eucl
RSIF,agnews_1,nlp,0.7051,manh_eucl
RSIF,agnews_1,nlp,0.7096,manh_eucl
RSIF,agnews_1,nlp,0.7071,manh_eucl
RSIF,agnews_1,nlp,0.7263,manh_eucl
RSIF,agnews_1,nlp,0.7032,manh_eucl
RSIF,agnews_1,nlp,0.6868,manh_cheb_cosi
RSIF,agnews_1,nlp,0.7178,manh_cheb_cosi
RSIF,agnews_1,nlp,0.6958,manh_cheb_cosi
RSIF,agnews_1,nlp,0.7122,manh_cheb_cosi
RSIF,agnews_1,nlp,0.6851,manh_cheb_cosi
RSIF,agnews_1,nlp,0.6816,manh_cheb_cosi
RSIF,agnews_1,nlp,0.6632,manh_cheb_cosi
RSIF,agnews_1,nlp,0.6618,manh_cheb_cosi
RSIF,agnews_1,nlp,0.704,manh_cheb_cosi
RSIF,agnews_1,nlp,0.7048,manh_cheb_cosi
RSIF,agnews_1,nlp,0.6948,manh_cheb
RSIF,agnews_1,nlp,0.7212,manh_cheb
RSIF,agnews_1,nlp,0.6971,manh_cheb
RSIF,agnews_1,nlp,0.7357,manh_cheb
RSIF,agnews_1,nlp,0.6968,manh_cheb
RSIF,agnews_1,nlp,0.6863,manh_cheb
RSIF,agnews_1,nlp,0.6878,manh_cheb
RSIF,agnews_1,nlp,0.707,manh_cheb
RSIF,agnews_1,nlp,0.6974,manh_cheb
RSIF,agnews_1,nlp,0.6954,manh_cheb
RSIF,agnews_1,nlp,0.7252,manh_cosi
RSIF,agnews_1,nlp,0.6337,manh_cosi
RSIF,agnews_1,nlp,0.6875,manh_cosi
RSIF,agnews_1,nlp,0.7119,manh_cosi
RSIF,agnews_1,nlp,0.7387,manh_cosi
RSIF,agnews_1,nlp,0.7473,manh_cosi
RSIF,agnews_1,nlp,0.7016,manh_cosi
RSIF,agnews_1,nlp,0.6455,manh_cosi
RSIF,agnews_1,nlp,0.6687,manh_cosi
RSIF,agnews_1,nlp,0.6617,manh_cosi
RSIF,agnews_1,nlp,0.7064,manh
RSIF,agnews_1,nlp,0.7586,manh
RSIF,agnews_1,nlp,0.7102,manh
RSIF,agnews_1,nlp,0.7261,manh
RSIF,agnews_1,nlp,0.7208,manh
RSIF,agnews_1,nlp,0.7272,manh
RSIF,agnews_1,nlp,0.7179,manh
RSIF,agnews_1,nlp,0.7031,manh
RSIF,agnews_1,nlp,0.7257,manh
RSIF,agnews_1,nlp,0.7073,manh
RSIF,agnews_1,nlp,0.6786,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.6921,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.721,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.7475,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.682,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.7478,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.6588,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.7282,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.6903,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.6993,eucl_cheb_cosi
RSIF,agnews_1,nlp,0.6556,eucl_cheb
RSIF,agnews_1,nlp,0.7081,eucl_cheb
RSIF,agnews_1,nlp,0.6775,eucl_cheb
RSIF,agnews_1,nlp,0.7355,eucl_cheb
RSIF,agnews_1,nlp,0.713,eucl_cheb
RSIF,agnews_1,nlp,0.7085,eucl_cheb
RSIF,agnews_1,nlp,0.6999,eucl_cheb
RSIF,agnews_1,nlp,0.7073,eucl_cheb
RSIF,agnews_1,nlp,0.718,eucl_cheb
RSIF,agnews_1,nlp,0.7177,eucl_cheb
RSIF,agnews_1,nlp,0.7131,eucl_cosi
RSIF,agnews_1,nlp,0.686,eucl_cosi
RSIF,agnews_1,nlp,0.7054,eucl_cosi
RSIF,agnews_1,nlp,0.7502,eucl_cosi
RSIF,agnews_1,nlp,0.7152,eucl_cosi
RSIF,agnews_1,nlp,0.77,eucl_cosi
RSIF,agnews_1,nlp,0.7253,eucl_cosi
RSIF,agnews_1,nlp,0.7707,eucl_cosi
RSIF,agnews_1,nlp,0.7029,eucl_cosi
RSIF,agnews_1,nlp,0.6432,eucl_cosi
RSIF,agnews_1,nlp,0.668,eucl
RSIF,agnews_1,nlp,0.7285,eucl
RSIF,agnews_1,nlp,0.689,eucl
RSIF,agnews_1,nlp,0.7443,eucl
RSIF,agnews_1,nlp,0.7502,eucl
RSIF,agnews_1,nlp,0.6947,eucl
RSIF,agnews_1,nlp,0.7237,eucl
RSIF,agnews_1,nlp,0.7129,eucl
RSIF,agnews_1,nlp,0.7503,eucl
RSIF,agnews_1,nlp,0.7401,eucl
RSIF,agnews_1,nlp,0.6571,cheb_cosi
RSIF,agnews_1,nlp,0.6592,cheb_cosi
RSIF,agnews_1,nlp,0.6779,cheb_cosi
RSIF,agnews_1,nlp,0.6676,cheb_cosi
RSIF,agnews_1,nlp,0.7292,cheb_cosi
RSIF,agnews_1,nlp,0.7436,cheb_cosi
RSIF,agnews_1,nlp,0.7391,cheb_cosi
RSIF,agnews_1,nlp,0.6584,cheb_cosi
RSIF,agnews_1,nlp,0.6821,cheb_cosi
RSIF,agnews_1,nlp,0.619,cheb_cosi
RSIF,agnews_1,nlp,0.664,cheb
RSIF,agnews_1,nlp,0.6886,cheb
RSIF,agnews_1,nlp,0.6754,cheb
RSIF,agnews_1,nlp,0.7148,cheb
RSIF,agnews_1,nlp,0.685,cheb
RSIF,agnews_1,nlp,0.6954,cheb
RSIF,agnews_1,nlp,0.6994,cheb
RSIF,agnews_1,nlp,0.6934,cheb
RSIF,agnews_1,nlp,0.6891,cheb
RSIF,agnews_1,nlp,0.6984,cheb
RSIF,agnews_1,nlp,0.5747,cosi
RSIF,agnews_1,nlp,0.5836,cosi
RSIF,agnews_1,nlp,0.5219,cosi
RSIF,agnews_1,nlp,0.5444,cosi
RSIF,agnews_1,nlp,0.4755,cosi
RSIF,agnews_1,nlp,0.6476,cosi
RSIF,agnews_1,nlp,0.5274,cosi
RSIF,agnews_1,nlp,0.5372,cosi
RSIF,agnews_1,nlp,0.516,cosi
RSIF,agnews_1,nlp,0.4768,cosi
