clf,dataset_name,dataset_type,auc,distances
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cosi
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cosi
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cosi
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cosi
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cosi
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cosi
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cosi
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cosi
RSIF,21_Lymphography,numerical,0.9767,manh_eucl_cosi
RSIF,21_Lymphography,numerical,0.9884,manh_eucl_cosi
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cheb
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cheb
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cheb
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cheb
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cheb
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cheb
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cheb
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cheb
RSIF,21_Lymphography,numerical,0.9767,manh_eucl_cheb
RSIF,21_Lymphography,numerical,1.0,manh_eucl_cheb
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_eucl
RSIF,21_Lymphography,numerical,1.0,manh_cosi_cheb
RSIF,21_Lymphography,numerical,1.0,manh_cosi_cheb
RSIF,21_Lymphography,numerical,1.0,manh_cosi_cheb
RSIF,21_Lymphography,numerical,1.0,manh_cosi_cheb
RSIF,21_Lymphography,numerical,1.0,manh_cosi_cheb
