clf,dataset_name,dataset_type,auc,distances
RISF,ad_nominal,binary,0.4847,jacc_eucl_manh
RISF,ad_nominal,binary,0.4451,jacc_eucl_manh
RISF,ad_nominal,binary,0.3563,jacc_eucl_manh
RISF,ad_nominal,binary,0.3912,jacc_eucl_manh
RISF,ad_nominal,binary,0.384,jacc_eucl_manh
RISF,ad_nominal,binary,0.3731,jacc_eucl_cheb
RISF,ad_nominal,binary,0.3805,jacc_eucl_cheb
RISF,ad_nominal,binary,0.2583,jacc_eucl_cheb
RISF,ad_nominal,binary,0.33,jacc_eucl_cheb
RISF,ad_nominal,binary,0.3154,jacc_eucl_cheb
RISF,ad_nominal,binary,0.3428,jacc_eucl
RISF,ad_nominal,binary,0.3072,jacc_eucl
RISF,ad_nominal,binary,0.4424,jacc_eucl
RISF,ad_nominal,binary,0.3828,jacc_eucl
RISF,ad_nominal,binary,0.4563,jacc_eucl
RISF,ad_nominal,binary,0.373,jacc_manh_cheb
RISF,ad_nominal,binary,0.3263,jacc_manh_cheb
RISF,ad_nominal,binary,0.2721,jacc_manh_cheb
RISF,ad_nominal,binary,0.3114,jacc_manh_cheb
RISF,ad_nominal,binary,0.3154,jacc_manh_cheb
RISF,ad_nominal,binary,0.3428,jacc_manh
RISF,ad_nominal,binary,0.3122,jacc_manh
RISF,ad_nominal,binary,0.4758,jacc_manh
RISF,ad_nominal,binary,0.4196,jacc_manh
RISF,ad_nominal,binary,0.4528,jacc_manh
RISF,ad_nominal,binary,0.231,jacc_cheb
RISF,ad_nominal,binary,0.2856,jacc_cheb
RISF,ad_nominal,binary,0.2989,jacc_cheb
RISF,ad_nominal,binary,0.2886,jacc_cheb
RISF,ad_nominal,binary,0.2485,jacc_cheb
RISF,ad_nominal,binary,0.4193,jacc
RISF,ad_nominal,binary,0.3478,jacc
RISF,ad_nominal,binary,0.3347,jacc
RISF,ad_nominal,binary,0.2804,jacc
RISF,ad_nominal,binary,0.3897,jacc
RISF,ad_nominal,binary,0.391,eucl_manh_cheb
RISF,ad_nominal,binary,0.4391,eucl_manh_cheb
RISF,ad_nominal,binary,0.3647,eucl_manh_cheb
RISF,ad_nominal,binary,0.417,eucl_manh_cheb
RISF,ad_nominal,binary,0.3821,eucl_manh_cheb
RISF,ad_nominal,binary,0.4982,eucl_manh
RISF,ad_nominal,binary,0.5063,eucl_manh
RISF,ad_nominal,binary,0.4955,eucl_manh
RISF,ad_nominal,binary,0.552,eucl_manh
RISF,ad_nominal,binary,0.4935,eucl_manh
RISF,ad_nominal,binary,0.3244,eucl_cheb
RISF,ad_nominal,binary,0.3487,eucl_cheb
RISF,ad_nominal,binary,0.2495,eucl_cheb
RISF,ad_nominal,binary,0.3137,eucl_cheb
RISF,ad_nominal,binary,0.344,eucl_cheb
RISF,ad_nominal,binary,0.5178,eucl
RISF,ad_nominal,binary,0.511,eucl
RISF,ad_nominal,binary,0.5118,eucl
RISF,ad_nominal,binary,0.5519,eucl
RISF,ad_nominal,binary,0.5048,eucl
RISF,ad_nominal,binary,0.3244,manh_cheb
RISF,ad_nominal,binary,0.3487,manh_cheb
RISF,ad_nominal,binary,0.2491,manh_cheb
RISF,ad_nominal,binary,0.3104,manh_cheb
RISF,ad_nominal,binary,0.3496,manh_cheb
RISF,ad_nominal,binary,0.5178,manh
RISF,ad_nominal,binary,0.511,manh
RISF,ad_nominal,binary,0.5118,manh
RISF,ad_nominal,binary,0.5519,manh
RISF,ad_nominal,binary,0.5048,manh
RISF,ad_nominal,binary,0.2633,cheb
RISF,ad_nominal,binary,0.2656,cheb
RISF,ad_nominal,binary,0.2813,cheb
RISF,ad_nominal,binary,0.277,cheb
RISF,ad_nominal,binary,0.2776,cheb
