clf,dataset_name,dataset_type,auc,distances
RISF,COX2,graph,0.6655,Ipse_Port_Manh
RISF,COX2,graph,0.3309,Ipse_Port_Manh
RISF,COX2,graph,0.5309,Ipse_Port_Manh
RISF,COX2,graph,0.4945,Ipse_Port_Manh
RISF,COX2,graph,0.4564,Ipse_Port_Manh
RISF,COX2,graph,0.3927,Ipse_Port_NetS
RISF,COX2,graph,0.3364,Ipse_Port_NetS
RISF,COX2,graph,0.3436,Ipse_Port_NetS
RISF,COX2,graph,0.4655,Ipse_Port_NetS
RISF,COX2,graph,0.4109,Ipse_Port_NetS
RISF,COX2,graph,0.4145,Ipse_Port_Degr
RISF,COX2,graph,0.4164,Ipse_Port_Degr
RISF,COX2,graph,0.3618,Ipse_Port_Degr
RISF,COX2,graph,0.5491,Ipse_Port_Degr
RISF,COX2,graph,0.56,Ipse_Port_Degr
RISF,COX2,graph,0.56,Ipse_Port_NetL
RISF,COX2,graph,0.3673,Ipse_Port_NetL
RISF,COX2,graph,0.4073,Ipse_Port_NetL
RISF,COX2,graph,0.5855,Ipse_Port_NetL
RISF,COX2,graph,0.3818,Ipse_Port_NetL
RISF,COX2,graph,0.2891,Ipse_Port_Eucl
RISF,COX2,graph,0.3527,Ipse_Port_Eucl
RISF,COX2,graph,0.3455,Ipse_Port_Eucl
RISF,COX2,graph,0.56,Ipse_Port_Eucl
RISF,COX2,graph,0.4109,Ipse_Port_Eucl
RISF,COX2,graph,0.3818,Ipse_Port
RISF,COX2,graph,0.3345,Ipse_Port
RISF,COX2,graph,0.4055,Ipse_Port
RISF,COX2,graph,0.4491,Ipse_Port
RISF,COX2,graph,0.4091,Ipse_Port
RISF,COX2,graph,0.4982,Ipse_Manh_NetS
RISF,COX2,graph,0.3745,Ipse_Manh_NetS
RISF,COX2,graph,0.4945,Ipse_Manh_NetS
RISF,COX2,graph,0.5618,Ipse_Manh_NetS
RISF,COX2,graph,0.4018,Ipse_Manh_NetS
RISF,COX2,graph,0.4764,Ipse_Manh_Degr
RISF,COX2,graph,0.3291,Ipse_Manh_Degr
RISF,COX2,graph,0.4909,Ipse_Manh_Degr
RISF,COX2,graph,0.5836,Ipse_Manh_Degr
RISF,COX2,graph,0.5345,Ipse_Manh_Degr
RISF,COX2,graph,0.6218,Ipse_Manh_NetL
RISF,COX2,graph,0.3909,Ipse_Manh_NetL
RISF,COX2,graph,0.4418,Ipse_Manh_NetL
RISF,COX2,graph,0.6291,Ipse_Manh_NetL
RISF,COX2,graph,0.5491,Ipse_Manh_NetL
RISF,COX2,graph,0.5855,Ipse_Manh_Eucl
RISF,COX2,graph,0.3473,Ipse_Manh_Eucl
