clf,dataset_name,dataset_type,auc,distances
RISF,TwoLeadECG,timeseries,0.793,DTWD_Eucl_Manh
RISF,TwoLeadECG,timeseries,0.8165,DTWD_Eucl_Manh
RISF,TwoLeadECG,timeseries,0.5835,DTWD_Eucl_Manh
RISF,TwoLeadECG,timeseries,0.7816,DTWD_Eucl_Manh
RISF,TwoLeadECG,timeseries,0.5943,DTWD_Eucl_Manh
RISF,TwoLeadECG,timeseries,0.8546,DTWD_Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.8114,DTWD_Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.6038,DTWD_Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.7956,DTWD_Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.5778,DTWD_Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.8463,DTWD_Eucl
RISF,TwoLeadECG,timeseries,0.8686,DTWD_Eucl
RISF,TwoLeadECG,timeseries,0.621,DTWD_Eucl
RISF,TwoLeadECG,timeseries,0.8235,DTWD_Eucl
RISF,TwoLeadECG,timeseries,0.6908,DTWD_Eucl
RISF,TwoLeadECG,timeseries,0.7784,DTWD_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.8089,DTWD_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.6222,DTWD_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.7492,DTWD_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.6152,DTWD_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.7702,DTWD_Manh
RISF,TwoLeadECG,timeseries,0.8406,DTWD_Manh
RISF,TwoLeadECG,timeseries,0.579,DTWD_Manh
RISF,TwoLeadECG,timeseries,0.7594,DTWD_Manh
RISF,TwoLeadECG,timeseries,0.5898,DTWD_Manh
RISF,TwoLeadECG,timeseries,0.8514,DTWD_Cheb
RISF,TwoLeadECG,timeseries,0.8597,DTWD_Cheb
RISF,TwoLeadECG,timeseries,0.5848,DTWD_Cheb
RISF,TwoLeadECG,timeseries,0.7879,DTWD_Cheb
RISF,TwoLeadECG,timeseries,0.6,DTWD_Cheb
RISF,TwoLeadECG,timeseries,0.7987,DTWD
RISF,TwoLeadECG,timeseries,0.9194,DTWD
RISF,TwoLeadECG,timeseries,0.6311,DTWD
RISF,TwoLeadECG,timeseries,0.7797,DTWD
RISF,TwoLeadECG,timeseries,0.6546,DTWD
RISF,TwoLeadECG,timeseries,0.8006,Eucl_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.527,Eucl_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.6565,Eucl_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.6362,Eucl_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.5625,Eucl_Manh_Cheb
RISF,TwoLeadECG,timeseries,0.7911,Eucl_Manh
RISF,TwoLeadECG,timeseries,0.6895,Eucl_Manh
RISF,TwoLeadECG,timeseries,0.5613,Eucl_Manh
RISF,TwoLeadECG,timeseries,0.6489,Eucl_Manh
RISF,TwoLeadECG,timeseries,0.5206,Eucl_Manh
RISF,TwoLeadECG,timeseries,0.8292,Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.4851,Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.6375,Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.5517,Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.5346,Eucl_Cheb
RISF,TwoLeadECG,timeseries,0.753,Eucl
RISF,TwoLeadECG,timeseries,0.5968,Eucl
RISF,TwoLeadECG,timeseries,0.7073,Eucl
RISF,TwoLeadECG,timeseries,0.7124,Eucl
RISF,TwoLeadECG,timeseries,0.5927,Eucl
RISF,TwoLeadECG,timeseries,0.8616,Manh_Cheb
RISF,TwoLeadECG,timeseries,0.6552,Manh_Cheb
RISF,TwoLeadECG,timeseries,0.6,Manh_Cheb
RISF,TwoLeadECG,timeseries,0.614,Manh_Cheb
RISF,TwoLeadECG,timeseries,0.6038,Manh_Cheb
RISF,TwoLeadECG,timeseries,0.7238,Manh
RISF,TwoLeadECG,timeseries,0.7143,Manh
RISF,TwoLeadECG,timeseries,0.4756,Manh
RISF,TwoLeadECG,timeseries,0.6463,Manh
RISF,TwoLeadECG,timeseries,0.5213,Manh
RISF,TwoLeadECG,timeseries,0.7543,Cheb
RISF,TwoLeadECG,timeseries,0.5003,Cheb
RISF,TwoLeadECG,timeseries,0.6635,Cheb
RISF,TwoLeadECG,timeseries,0.574,Cheb
RISF,TwoLeadECG,timeseries,0.5162,Cheb
