clf,dataset_name,dataset_type,auc,distances
RSIF,TwoLeadECG,timeseries,0.8044,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.7746,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.6629,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.8095,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.6616,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.7892,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.7854,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.734,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.6768,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.5403,manh_cosi_cheb
RSIF,TwoLeadECG,timeseries,0.8743,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.8483,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.6876,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.8337,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.6216,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.7365,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.7695,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.7137,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.7225,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.5937,manh_cosi_DTWD
RSIF,TwoLeadECG,timeseries,0.8457,manh_cosi
RSIF,TwoLeadECG,timeseries,0.8337,manh_cosi
RSIF,TwoLeadECG,timeseries,0.6806,manh_cosi
RSIF,TwoLeadECG,timeseries,0.814,manh_cosi
RSIF,TwoLeadECG,timeseries,0.6089,manh_cosi
RSIF,TwoLeadECG,timeseries,0.7435,manh_cosi
RSIF,TwoLeadECG,timeseries,0.7162,manh_cosi
RSIF,TwoLeadECG,timeseries,0.687,manh_cosi
RSIF,TwoLeadECG,timeseries,0.6705,manh_cosi
