clf,dataset_name,dataset_type,auc,obj_ratio
RSIF,21_Lymphography,numerical,1.0,0.1
RSIF,21_Lymphography,numerical,1.0,0.1
RSIF,21_Lymphography,numerical,1.0,0.1
RSIF,21_Lymphography,numerical,1.0,0.1
RSIF,21_Lymphography,numerical,1.0,0.1
RSIF,21_Lymphography,numerical,1.0,0.1
RSIF,21_Lymphography,numerical,1.0,0.1
RSIF,21_Lymphography,numerical,0.9884,0.1
RSIF,21_Lymphography,numerical,0.9767,0.1
RSIF,21_Lymphography,numerical,0.9767,0.1
RSIF,21_Lymphography,numerical,0.6628,0.25
RSIF,21_Lymphography,numerical,0.9767,0.25
RSIF,21_Lymphography,numerical,0.9302,0.25
RSIF,21_Lymphography,numerical,1.0,0.25
RSIF,21_Lymphography,numerical,1.0,0.25
RSIF,21_Lymphography,numerical,1.0,0.25
RSIF,21_Lymphography,numerical,0.7674,0.25
RSIF,21_Lymphography,numerical,1.0,0.25
RSIF,21_Lymphography,numerical,0.9651,0.25
RSIF,21_Lymphography,numerical,1.0,0.25
RSIF,21_Lymphography,numerical,0.8721,0.5
RSIF,21_Lymphography,numerical,1.0,0.5
RSIF,21_Lymphography,numerical,0.9767,0.5
RSIF,21_Lymphography,numerical,1.0,0.5
RSIF,21_Lymphography,numerical,0.9767,0.5
RSIF,21_Lymphography,numerical,0.6744,0.5
RSIF,21_Lymphography,numerical,0.9535,0.5
RSIF,21_Lymphography,numerical,1.0,0.5
RSIF,21_Lymphography,numerical,0.9767,0.5
RSIF,21_Lymphography,numerical,0.9884,0.5
RSIF,21_Lymphography,numerical,1.0,0.75
RSIF,21_Lymphography,numerical,1.0,0.75
RSIF,21_Lymphography,numerical,1.0,0.75
RSIF,21_Lymphography,numerical,1.0,0.75
RSIF,21_Lymphography,numerical,1.0,0.75
RSIF,21_Lymphography,numerical,1.0,0.75
RSIF,21_Lymphography,numerical,0.9884,0.75
RSIF,21_Lymphography,numerical,0.9884,0.75
RSIF,21_Lymphography,numerical,0.9651,0.75
RSIF,21_Lymphography,numerical,0.9651,0.75
RSIF,21_Lymphography,numerical,1.0,1.0
RSIF,21_Lymphography,numerical,0.9767,1.0
RSIF,21_Lymphography,numerical,1.0,1.0
RSIF,21_Lymphography,numerical,1.0,1.0
RSIF,21_Lymphography,numerical,1.0,1.0
RSIF,21_Lymphography,numerical,1.0,1.0
RSIF,21_Lymphography,numerical,1.0,1.0
RSIF,21_Lymphography,numerical,1.0,1.0
RSIF,21_Lymphography,numerical,0.9767,1.0
RSIF,21_Lymphography,numerical,0.9767,1.0
RSIF,36_speech,numerical,0.3939,0.1
RSIF,36_speech,numerical,0.5788,0.1
RSIF,36_speech,numerical,0.4974,0.1
RSIF,36_speech,numerical,0.3655,0.1
RSIF,36_speech,numerical,0.4278,0.1
RSIF,36_speech,numerical,0.3691,0.1
RSIF,36_speech,numerical,0.4594,0.1
RSIF,36_speech,numerical,0.3784,0.1
RSIF,36_speech,numerical,0.4829,0.1
RSIF,36_speech,numerical,0.4462,0.1
RSIF,36_speech,numerical,0.4993,0.25
RSIF,36_speech,numerical,0.5339,0.25
RSIF,36_speech,numerical,0.3909,0.25
RSIF,36_speech,numerical,0.5477,0.25
RSIF,36_speech,numerical,0.5142,0.25
RSIF,36_speech,numerical,0.4488,0.25
RSIF,36_speech,numerical,0.4673,0.25
RSIF,36_speech,numerical,0.3519,0.25
RSIF,36_speech,numerical,0.5773,0.25
RSIF,36_speech,numerical,0.4872,0.25
RSIF,36_speech,numerical,0.3796,0.5
RSIF,36_speech,numerical,0.497,0.5
RSIF,36_speech,numerical,0.3629,0.5
RSIF,36_speech,numerical,0.3932,0.5
RSIF,36_speech,numerical,0.4433,0.5
RSIF,36_speech,numerical,0.5017,0.5
RSIF,36_speech,numerical,0.5214,0.5
RSIF,36_speech,numerical,0.3525,0.5
RSIF,36_speech,numerical,0.5204,0.5
RSIF,36_speech,numerical,0.3513,0.5
RSIF,36_speech,numerical,0.4045,0.75
RSIF,36_speech,numerical,0.4918,0.75
RSIF,36_speech,numerical,0.3282,0.75
RSIF,36_speech,numerical,0.4182,0.75
RSIF,36_speech,numerical,0.4005,0.75
RSIF,36_speech,numerical,0.3511,0.75
RSIF,36_speech,numerical,0.257,0.75
RSIF,36_speech,numerical,0.3527,0.75
RSIF,36_speech,numerical,0.5941,0.75
RSIF,36_speech,numerical,0.5163,0.75
RSIF,36_speech,numerical,0.4664,1.0
RSIF,36_speech,numerical,0.5492,1.0
RSIF,36_speech,numerical,0.3971,1.0
RSIF,36_speech,numerical,0.3786,1.0
RSIF,36_speech,numerical,0.5349,1.0
RSIF,36_speech,numerical,0.3027,1.0
RSIF,36_speech,numerical,0.388,1.0
RSIF,36_speech,numerical,0.2921,1.0
RSIF,36_speech,numerical,0.5135,1.0
RSIF,36_speech,numerical,0.5384,1.0
RSIF,6_cardio,numerical,0.9512,0.1
RSIF,6_cardio,numerical,0.9683,0.1
RSIF,6_cardio,numerical,0.9647,0.1
RSIF,6_cardio,numerical,0.952,0.1
RSIF,6_cardio,numerical,0.9526,0.1
RSIF,6_cardio,numerical,0.9815,0.1
RSIF,6_cardio,numerical,0.9524,0.1
RSIF,6_cardio,numerical,0.9675,0.1
RSIF,6_cardio,numerical,0.9442,0.1
RSIF,6_cardio,numerical,0.9704,0.1
RSIF,6_cardio,numerical,0.972,0.25
RSIF,6_cardio,numerical,0.9622,0.25
RSIF,6_cardio,numerical,0.972,0.25
RSIF,6_cardio,numerical,0.9651,0.25
RSIF,6_cardio,numerical,0.9588,0.25
RSIF,6_cardio,numerical,0.9794,0.25
RSIF,6_cardio,numerical,0.9509,0.25
RSIF,6_cardio,numerical,0.9588,0.25
RSIF,6_cardio,numerical,0.9624,0.25
RSIF,6_cardio,numerical,0.9708,0.25
RSIF,6_cardio,numerical,0.9755,0.5
RSIF,6_cardio,numerical,0.9666,0.5
RSIF,6_cardio,numerical,0.974,0.5
RSIF,6_cardio,numerical,0.9603,0.5
RSIF,6_cardio,numerical,0.9569,0.5
RSIF,6_cardio,numerical,0.978,0.5
RSIF,6_cardio,numerical,0.9588,0.5
RSIF,6_cardio,numerical,0.9589,0.5
RSIF,6_cardio,numerical,0.9521,0.5
RSIF,6_cardio,numerical,0.964,0.5
RSIF,6_cardio,numerical,0.9682,0.75
RSIF,6_cardio,numerical,0.9686,0.75
RSIF,6_cardio,numerical,0.9691,0.75
RSIF,6_cardio,numerical,0.9586,0.75
RSIF,6_cardio,numerical,0.9591,0.75
RSIF,6_cardio,numerical,0.9784,0.75
RSIF,6_cardio,numerical,0.9572,0.75
RSIF,6_cardio,numerical,0.9629,0.75
RSIF,6_cardio,numerical,0.9589,0.75
RSIF,6_cardio,numerical,0.966,0.75
RSIF,6_cardio,numerical,0.9652,1.0
RSIF,6_cardio,numerical,0.9651,1.0
RSIF,6_cardio,numerical,0.9639,1.0
RSIF,6_cardio,numerical,0.9546,1.0
RSIF,6_cardio,numerical,0.9605,1.0
RSIF,6_cardio,numerical,0.974,1.0
RSIF,6_cardio,numerical,0.96,1.0
RSIF,6_cardio,numerical,0.9642,1.0
RSIF,6_cardio,numerical,0.9602,1.0
RSIF,6_cardio,numerical,0.964,1.0
RSIF,26_optdigits,numerical,0.4509,0.1
RSIF,26_optdigits,numerical,0.3155,0.1
RSIF,26_optdigits,numerical,0.3812,0.1
RSIF,26_optdigits,numerical,0.3509,0.1
RSIF,26_optdigits,numerical,0.5002,0.1
RSIF,26_optdigits,numerical,0.4532,0.1
RSIF,26_optdigits,numerical,0.4684,0.1
RSIF,26_optdigits,numerical,0.4225,0.1
RSIF,26_optdigits,numerical,0.3964,0.1
RSIF,26_optdigits,numerical,0.5203,0.1
RSIF,26_optdigits,numerical,0.387,0.25
RSIF,26_optdigits,numerical,0.3527,0.25
RSIF,26_optdigits,numerical,0.343,0.25
RSIF,26_optdigits,numerical,0.4646,0.25
RSIF,26_optdigits,numerical,0.4938,0.25
RSIF,26_optdigits,numerical,0.5509,0.25
RSIF,26_optdigits,numerical,0.4552,0.25
RSIF,26_optdigits,numerical,0.3673,0.25
RSIF,26_optdigits,numerical,0.4294,0.25
RSIF,26_optdigits,numerical,0.4834,0.25
RSIF,26_optdigits,numerical,0.4072,0.5
RSIF,26_optdigits,numerical,0.3163,0.5
RSIF,26_optdigits,numerical,0.4365,0.5
RSIF,26_optdigits,numerical,0.4049,0.5
RSIF,26_optdigits,numerical,0.4726,0.5
RSIF,26_optdigits,numerical,0.4473,0.5
RSIF,26_optdigits,numerical,0.3903,0.5
RSIF,26_optdigits,numerical,0.3444,0.5
RSIF,26_optdigits,numerical,0.4039,0.5
RSIF,26_optdigits,numerical,0.3835,0.5
RSIF,26_optdigits,numerical,0.3385,0.75
RSIF,26_optdigits,numerical,0.3371,0.75
RSIF,26_optdigits,numerical,0.3985,0.75
RSIF,26_optdigits,numerical,0.4356,0.75
RSIF,26_optdigits,numerical,0.3777,0.75
RSIF,26_optdigits,numerical,0.3685,0.75
RSIF,26_optdigits,numerical,0.3289,0.75
RSIF,26_optdigits,numerical,0.4149,0.75
RSIF,26_optdigits,numerical,0.3843,0.75
RSIF,26_optdigits,numerical,0.4222,0.75
RSIF,26_optdigits,numerical,0.3071,1.0
RSIF,26_optdigits,numerical,0.3773,1.0
RSIF,26_optdigits,numerical,0.4028,1.0
RSIF,26_optdigits,numerical,0.4326,1.0
RSIF,26_optdigits,numerical,0.406,1.0
RSIF,26_optdigits,numerical,0.4342,1.0
RSIF,26_optdigits,numerical,0.3918,1.0
RSIF,26_optdigits,numerical,0.3916,1.0
RSIF,26_optdigits,numerical,0.2652,1.0
RSIF,26_optdigits,numerical,0.3739,1.0
RSIF,COX2,graph,0.7345,0.1
RSIF,COX2,graph,0.5055,0.1
RSIF,COX2,graph,0.5636,0.1
RSIF,COX2,graph,0.5818,0.1
RSIF,COX2,graph,0.4073,0.1
RSIF,COX2,graph,0.4582,0.1
RSIF,COX2,graph,0.48,0.1
RSIF,COX2,graph,0.3764,0.1
RSIF,COX2,graph,0.5691,0.1
RSIF,COX2,graph,0.5691,0.1
RSIF,COX2,graph,0.5927,0.25
RSIF,COX2,graph,0.3327,0.25
RSIF,COX2,graph,0.7182,0.25
